name,country_code,sub_code,lat,lng,Population 
"Birmingham, AL",US,US-AL-630,33.5277,-86.7987,744189
"Dothan, AL",US,US-AL-606,31.2335,-85.4068,71620
"Huntsville, AL",US,US-AL-691,34.6988,-86.6412,309716
"Montgomery, AL",US,US-AL-698,32.3473,-86.2666,255908
"Anchorage, AK",US,US-AK-743,61.1508,-149.1091,253421
"Fairbanks, AK",US,US-AK-745,64.8353,-147.6534,64732
"Juneau, AK",US,US-AK-747,58.4546,-134.1739,25180
"Phoenix, AZ",US,US-AZ-753,33.5722,-112.0891,4081849
"Tucson, AZ",US,US-AZ-789,32.1545,-110.8782,868391
"Fort Smith, AR",US,US-AR-670,35.3493,-94.3695,125562
"Jonesboro, AR",US,US-AR-734,35.8211,-90.6793,73788
"Little Rock, AR",US,US-AR-693,34.7255,-92.358,442699
"Roe, AR",US,US-LA-628,34.6313,-91.3864,99
"Bakersfield, CA",US,US-CA-800,35.353,-119.0359,574362
"Redding, CA",US,US-CA-868,40.5698,-122.365,120270
"Eureka, CA",US,US-CA-802,40.7941,-124.1568,45010
"Fresno, CA",US,US-CA-866,36.7831,-119.7941,698021
"Los Angeles, CA",US,US-CA-803,34.1139,-118.4068,12815475
"Monterey, CA",US,US-CA-828,36.5922,-121.8807,28639
"Palm Springs, CA",US,US-CA-804,33.8017,-116.5382,48142
"Sacramento, CA",US,US-CA-862,38.5667,-121.4683,1854698
"San Diego, CA",US,US-CA-825,32.8312,-117.1225,3210314
"San Francisco, CA",US,US-CA-807,37.7562,-122.443,3603761
"Santa Barbara, CA",US,US-CA-855,34.4285,-119.7202,204034
"Yuma, CO",US,US-AZ-771,40.1239,-102.7164,3510
"Colorado Springs, CO",US,US-CO-752,38.8674,-104.7606,623946
"Denver, CO",US,US-CO-751,39.7621,-104.8759,2787266
"Grand Junction, CO",US,US-CO-773,39.0877,-108.5673,136688
"New Haven, CT",US,US-CT-533,41.3112,-72.9246,568144
"Naples, FL",US,US-FL-571,26.1505,-81.7936,21948
"Gainesville, FL",US,US-FL-592,29.6804,-82.3458,199695
"Jacksonville, FL",US,US-FL-561,30.3322,-81.6749,1156291
"Miami, FL",US,US-FL-528,25.7839,-80.2102,6381966
"Orlando, FL",US,US-FL-534,28.4772,-81.3369,1776841
"Panama City, FL",US,US-FL-656,30.1995,-85.6003,145239
"Tampa, FL",US,US-FL-539,27.9942,-82.4451,2804240
"West Palm Beach, FL",US,US-FL-548,26.7469,-80.1316,110222
"Albany, GA",US,US-GA-525,31.5776,-84.1762,90515
"Atlanta, GA",US,US-GA-524,33.7627,-84.4225,5228750
"Augusta, GA",US,US-GA-520,33.3645,-82.0708,389383
"Columbus, GA",US,US-GA-522,32.51,-84.8771,259160
"Macon, GA",US,US-GA-503,32.8065,-83.6974,152663
"Savannah, GA",US,US-GA-507,32.0281,-81.1785,280082
"Tallahassee, FL",US,US-FL-530,30.4551,-84.2527,253030
"Honolulu, HI",US,US-HI-744,21.3294,-157.846,833671
"Boise, ID",US,US-ID-757,43.6007,-116.2312,385218
"Idaho Falls, ID",US,US-ID-758,43.4872,-112.0363,97548
"Twin Falls, ID",US,US-ID-760,42.5648,-114.4617,54455
"Champaign, IL",US,US-NA-648,40.1144,-88.2735,156794
"Chicago, IL",US,US-IL-602,41.8373,-87.6862,8675982
"Davenport, IA",US,US-NA-682,41.5563,-90.6052,287413
"Paducah, KY",US,US-KY-632,37.0711,-88.6435,48629
"Bloomington, IL",US,US-IL-675,40.4757,-88.9703,134892
"Rockford, IL",US,US-IL-610,42.2598,-89.0641,285562
"Evansville, IN",US,US-IN-649,37.9881,-87.5341,232285
"Fort Wayne, IN",US,US-IN-509,41.0885,-85.1436,328564
"Indianapolis, IN",US,US-IN-527,39.7771,-86.1458,1564699
"Lafayette, IN",US,US-IN-582,40.399,-86.8593,159293
"South Bend, IN",US,US-IN-588,41.6771,-86.2692,281100
"Terre Haute, IN",US,US-IN-581,39.4654,-87.3763,92722
"Cedar Rapids, IA",US,US-IA-637,41.9667,-91.6781,186160
"Des Moines, IA",US,US-IA-679,41.5725,-93.6105,481222
"Sioux City, IA",US,US-IA-624,42.4959,-96.3901,106279
"Pittsburg, KS",US,US-MO-603,37.4129,-94.6984,22899
"Topeka, KS",US,US-KS-605,39.0346,-95.6955,148960
"Wichita, KS",US,US-KS-678,37.6897,-97.3441,483057
"Bowling Green, KY",US,US-KY-736,36.9715,-86.4375,90448
"Lexington, KY",US,US-KY-541,38.0423,-84.4587,315939
