"name","country_code","sub_code","lat","lng","Population","r2value","pvalue"
"Birmingham, AL","US","US-AL-630",33.5277,-86.7987,744189,6.11799208123282e-05,0.881613435653104
"Dothan, AL","US","US-AL-606",31.2335,-85.4068,71620,0.00319533108317551,0.281431616376145
"Huntsville, AL","US","US-AL-691",34.6988,-86.6412,309716,0.000101247239216499,0.848068917549199
"Montgomery, AL","US","US-AL-698",32.3473,-86.2666,255908,0.000894325075006667,0.571151667910992
"Anchorage, AK","US","US-AK-743",61.1508,-149.1091,253421,0.0041187759444562,0.221265985644345
"Fairbanks, AK","US","US-AK-745",64.8353,-147.6534,64732,0.00298243461116306,0.298750697708375
"Phoenix, AZ","US","US-AZ-753",33.5722,-112.0891,4081849,0.0162820420208402,0.014710313143274
"Tucson, AZ","US","US-AZ-789",32.1545,-110.8782,868391,0.000916213076512586,0.564319713006437
"Fort Smith, AR","US","US-AR-670",35.3493,-94.3695,125562,0.000965191099157106,0.55408420197197
"Jonesboro, AR","US","US-AR-734",35.8211,-90.6793,73788,0.00403758728043018,0.225884454617965
"Little Rock, AR","US","US-AR-693",34.7255,-92.358,442699,0.00248271382252697,0.342485879618313
"Bakersfield, CA","US","US-CA-800",35.353,-119.0359,574362,0.00166909653995705,0.436466852235626
"Redding, CA","US","US-CA-868",40.5698,-122.365,120270,0.0192623665780199,0.00792317421797914
"Fresno, CA","US","US-CA-866",36.7831,-119.7941,698021,1.91744656526254e-07,0.993431113811592
"Los Angeles, CA","US","US-CA-803",34.1139,-118.4068,12815475,0.0534688668825121,0.188243265255542
"San Diego, CA","US","US-CA-825",32.8312,-117.1225,3210314,0.052086160185373,1.06515230294993e-05
"Santa Barbara, CA","US","US-CA-855",34.4285,-119.7202,204034,0.00257765453777478,0.333410100313729
"Colorado Springs, CO","US","US-CO-752",38.8674,-104.7606,623946,0.0124313086565141,0.033216132424822
"Denver, CO","US","US-CO-751",39.7621,-104.8759,2787266,0.00191452413577312,0.404576742526368
"Grand Junction, CO","US","US-CO-773",39.0877,-108.5673,136688,0.00106033359168468,0.535164746318141
"New Haven, CT","US","US-CT-533",41.3112,-72.9246,568144,0.00221960986687917,0.369452892243741
"Gainesville, FL","US","US-FL-592",29.6804,-82.3458,199695,0.000377851128572963,0.71128478741025
"Jacksonville, FL","US","US-FL-561",30.3322,-81.6749,1156291,0.00300311405426107,0.296411797153002
"Miami, FL","US","US-FL-528",25.7839,-80.2102,6381966,0.0238842461800495,0.00307378762964398
"Orlando, FL","US","US-FL-534",28.4772,-81.3369,1776841,0.000827383817190586,0.583850391572239
"Panama City, FL","US","US-FL-656",30.1995,-85.6003,145239,0.000435206704537172,0.691192984136769
"Tampa, FL","US","US-FL-539",27.9942,-82.4451,2804240,0.00302529478815597,0.301389886310713
"West Palm Beach, FL","US","US-FL-548",26.7469,-80.1316,110222,0.015910009236207,0.0159012008493609
"Albany, GA","US","US-GA-525",31.5776,-84.1762,90515,0.000320757309116557,0.733090014408626
"Atlanta, GA","US","US-GA-524",33.7627,-84.4225,5228750,0.00341703199727334,0.26930970850773
"Augusta, GA","US","US-GA-520",33.3645,-82.0708,389383,0.00201866725502985,0.392071667623857
"Columbus, GA","US","US-GA-522",32.51,-84.8771,259160,0.00244766751901862,0.345919885798691
"Macon, GA","US","US-GA-503",32.8065,-83.6974,152663,2.69639897494173e-05,0.921244257355299
"Savannah, GA","US","US-GA-507",32.0281,-81.1785,280082,0.00623474235409562,0.133212335761761
"Tallahassee, FL","US","US-FL-530",30.4551,-84.2527,253030,0.00150014906968178,0.460691968136481
