"date","gtrend.hits","temperature"
"2017-01-01",35,40.3589743589744
"2017-01-02",29,37.1470588235294
"2017-01-03",28,39.84375
"2017-01-04",28,45.030303030303
"2017-01-05",42,47.8387096774194
"2017-01-06",29,23.6808510638298
"2017-01-07",31,26.5625
"2017-01-08",31,39.9375
"2017-01-09",27,43.9375
"2017-01-10",40,48.40625
"2017-01-11",40,48.9375
"2017-01-12",27,44.8125
"2017-01-13",56,44.34375
"2017-01-14",62,45.7777777777778
"2017-01-15",30,39.5614035087719
"2017-01-16",41,40.2439024390244
"2017-01-17",40,41.6285714285714
"2017-01-18",54,40.8125
"2017-01-19",40,40.1666666666667
"2017-01-20",37,37.4418604651163
"2017-01-21",31,38.3809523809524
"2017-01-22",45,37.1875
"2017-01-23",27,44.2424242424242
"2017-01-24",53,36.4
"2017-01-25",27,30.1515151515152
"2017-01-26",0,27.1666666666667
"2017-01-27",28,27.78125
"2017-01-28",31,32.09375
"2017-01-29",46,37
"2017-01-30",26,41.15625
"2017-01-31",27,43.96875
"2017-02-01",0,44.15625
"2017-02-02",54,44.1875
"2017-02-03",83,46
"2017-02-04",46,45.25
"2017-02-05",30,46.0625
"2017-02-06",26,44.59375
"2017-02-07",0,44.78125
"2017-02-08",26,50.09375
"2017-02-09",40,50.90625
"2017-02-10",28,56.84375
"2017-02-11",30,58.0625
"2017-02-12",0,43.0909090909091
"2017-02-13",26,34.9830508474576
"2017-02-14",79,37.6136363636364
"2017-02-15",0,41.0625
"2017-02-16",0,43.46875
"2017-02-17",78,46.5
"2017-02-18",45,47.4375
"2017-02-19",50,44.7692307692308
"2017-02-20",66,49.3125
"2017-02-21",0,53.84375
"2017-02-22",26,53.46875
"2017-02-23",54,47.25
"2017-02-24",27,38.1875
"2017-02-25",30,38.9375
"2017-02-26",0,39.625
"2017-02-27",38,44.5
"2017-02-28",26,48.5625
"2017-03-01",25,39.9375
"2017-03-02",26,41.15625
"2017-03-03",54,44.53125
"2017-03-04",29,51.59375
"2017-03-05",29,53.1875
"2017-03-06",0,49.5
"2017-03-07",50,44.1875
"2017-03-08",61,50.21875
"2017-03-09",26,56.875
"2017-03-10",27,58.40625
"2017-03-11",50,55
"2017-03-12",71,55.09375
