"date","gtrend.hits","temperature"
"2017-01-01",27,60.9411764705882
"2017-01-02",22,61.3783783783784
"2017-01-03",32,58.625
"2017-01-04",21,42.125
"2017-01-05",65,46.34375
"2017-01-06",0,29.3076923076923
"2017-01-07",24,30.3478260869565
"2017-01-08",39,37.6666666666667
"2017-01-09",31,57.8928571428571
"2017-01-10",41,66.2692307692308
"2017-01-11",27,68.3928571428571
"2017-01-12",62,71.1212121212121
"2017-01-13",50,67.7647058823529
"2017-01-14",47,50.9583333333333
"2017-01-15",23,60.3538461538462
"2017-01-16",21,63.075
"2017-01-17",40,50.8627450980392
"2017-01-18",30,50.1836734693878
"2017-01-19",41,58.1153846153846
"2017-01-20",42,59.0714285714286
"2017-01-21",69,60.4888888888889
"2017-01-22",54,61.625
"2017-01-23",40,59.5833333333333
"2017-01-24",47,66.625
"2017-01-25",20,62
"2017-01-26",34,47.625
"2017-01-27",21,48.0833333333333
"2017-01-28",40,49.2083333333333
"2017-01-29",23,53.4583333333333
"2017-01-30",40,60.2916666666667
"2017-01-31",47,60.8695652173913
"2017-02-01",40,63.2121212121212
"2017-02-02",41,54.5555555555556
"2017-02-03",21,48.7142857142857
"2017-02-04",31,49.5434782608696
"2017-02-05",56,61.5909090909091
"2017-02-06",50,70.8529411764706
"2017-02-07",30,70.34375
"2017-02-08",20,65.9523809523809
"2017-02-09",47,54.8333333333333
"2017-02-10",21,60.875
"2017-02-11",23,73.3
"2017-02-12",46,70.3055555555556
"2017-02-13",33,68.7272727272727
"2017-02-14",40,52.4807692307692
"2017-02-15",41,52.12
"2017-02-16",100,54.4166666666667
"2017-02-17",47,62.2692307692308
"2017-02-18",38,71.2068965517241
"2017-02-19",46,72.3611111111111
"2017-02-20",20,60.6382978723404
"2017-02-21",46,64.75
"2017-02-22",53,68.7083333333333
"2017-02-23",34,71.8333333333333
"2017-02-24",31,68
"2017-02-25",31,52.4166666666667
"2017-02-26",38,58.9411764705882
"2017-02-27",52,71.7567567567568
"2017-02-28",59,73.3030303030303
"2017-03-01",29,66.9259259259259
"2017-03-02",19,56.5
"2017-03-03",20,57.375
"2017-03-04",45,56.4166666666667
"2017-03-05",45,62.38
"2017-03-06",19,72.0526315789474
"2017-03-07",47,67.0967741935484
"2017-03-08",53,67.6666666666667
"2017-03-09",26,70.0416666666667
"2017-03-10",31,69.6785714285714
"2017-03-11",46,63.8928571428571
"2017-03-12",22,50.0625
"2017-03-13",24,53.8974358974359
"2017-03-14",30,57.375
"2017-03-15",46,62.2142857142857
"2017-03-16",54,65
"2017-03-17",42,70.7777777777778
"2017-03-18",46,71.4857142857143
