"date","gtrend.hits","temperature"
"2017-01-01",37,46.625
"2017-01-02",21,43
"2017-01-03",35,44.875
"2017-01-04",15,47.2083333333333
"2017-01-05",26,33.2083333333333
"2017-01-06",17,30.4
"2017-01-07",25,23.6428571428571
"2017-01-08",22,19.5
"2017-01-09",14,22.2592592592593
"2017-01-10",22,31
"2017-01-11",15,44.8333333333333
"2017-01-12",31,61.5416666666667
"2017-01-13",17,51.4583333333333
"2017-01-14",28,35.1666666666667
"2017-01-15",44,38.8333333333333
"2017-01-16",29,38.125
"2017-01-17",24,43.0416666666667
"2017-01-18",34,50.625
"2017-01-19",77,47.7083333333333
"2017-01-20",17,42.5
"2017-01-21",27,46.4583333333333
"2017-01-22",19,49.2083333333333
"2017-01-23",29,43.6666666666667
"2017-01-24",19,44
"2017-01-25",20,49.7083333333333
"2017-01-26",38,48.4583333333333
"2017-01-27",42,41.375
"2017-01-28",33,40.1666666666667
"2017-01-29",24,40.25
"2017-01-30",29,34.9583333333333
"2017-01-31",21,40.5
"2017-02-01",29,47.0833333333333
"2017-02-02",30,43.1666666666667
"2017-02-03",34,34.375
"2017-02-04",17,32.1666666666667
"2017-02-05",36,40.1666666666667
"2017-02-06",43,46.375
"2017-02-07",24,56.6666666666667
"2017-02-08",22,61.8333333333333
"2017-02-09",40,35.25
"2017-02-10",33,31.75
"2017-02-11",22,46.3333333333333
"2017-02-12",25,46.5833333333333
"2017-02-13",59,39.75
"2017-02-14",25,39.125
"2017-02-15",20,41.125
"2017-02-16",23,35.375
"2017-02-17",17,38.0416666666667
"2017-02-18",17,52.1666666666667
"2017-02-19",15,63.875
"2017-02-20",14,55.5833333333333
"2017-02-21",36,46.75
"2017-02-22",34,50.8333333333333
"2017-02-23",35,59.4583333333333
"2017-02-24",34,62.0833333333333
"2017-02-25",32,58.7083333333333
"2017-02-26",14,41.3333333333333
"2017-02-27",14,46.5833333333333
"2017-02-28",14,55.3333333333333
"2017-03-01",14,65.1666666666667
"2017-03-02",37,47.7916666666667
"2017-03-03",33,37.0833333333333
"2017-03-04",16,33.1666666666667
"2017-03-05",21,31.5833333333333
"2017-03-06",19,43.3333333333333
"2017-03-07",36,55.75
"2017-03-08",65,58.75
"2017-03-09",15,61.875
"2017-03-10",22,41.0833333333333
"2017-03-11",25,30.4583333333333
"2017-03-12",33,32
"2017-03-13",21,32.8333333333333
"2017-03-14",14,32.7916666666667
"2017-03-15",45,27.75
"2017-03-16",15,33.9166666666667
"2017-03-17",28,41.375
"2017-03-18",16,44.8333333333333
"2017-03-19",43,43.0416666666667
"2017-03-20",14,47
"2017-03-21",28,53.9583333333333
"2017-03-22",29,44.5416666666667
"2017-03-23",15,37.625
"2017-03-24",34,48.9166666666667
"2017-03-25",25,65
"2017-03-26",15,47.4583333333333
"2017-03-27",14,54.4166666666667
"2017-03-28",15,61.5
"2017-03-29",15,57.2083333333333
"2017-03-30",22,47.4166666666667
"2017-03-31",34,47.4583333333333
"2017-04-01",34,51.75
"2017-04-02",38,54.8636363636364
"2017-04-03",29,58.5652173913044
"2017-04-04",15,71.2380952380952
"2017-04-05",44,64.3333333333333
"2017-04-06",15,54.5416666666667
"2017-04-07",34,46.7916666666667
"2017-04-08",25,52.2083333333333
"2017-04-09",22,58.4583333333333
"2017-04-10",57,66
"2017-04-11",44,70.875
"2017-04-12",24,70.9583333333333
"2017-04-13",15,62.0833333333333
"2017-04-14",25,60.5833333333333
"2017-04-15",100,63.5833333333333
"2017-04-16",38,76.7083333333333
"2017-04-17",29,68.75
"2017-04-18",24,63.2083333333333
"2017-04-19",22,53.5
"2017-04-20",38,70.7333333333333
"2017-04-21",23,64.9583333333333
"2017-04-22",28,57.1666666666667
"2017-04-23",33,56.0416666666667
"2017-04-24",33,56.375
"2017-04-25",22,57.9166666666667
"2017-04-26",39,62.2083333333333
"2017-04-27",31,69.0416666666667
"2017-04-28",17,75.625
"2017-04-29",25,79.3636363636364
"2017-04-30",35,72.0416666666667
"2017-05-01",31,73.2916666666667
"2017-05-02",19,72.375
"2017-05-03",14,62.6666666666667
"2017-05-04",30,59.4583333333333
