"date","gtrend.hits","temperature"
"2017-01-01",78,38.8484848484849
"2017-01-02",36,36.3939393939394
"2017-01-03",56,41.9047619047619
"2017-01-04",65,40.96
"2017-01-05",37,30.0322580645161
"2017-01-06",38,27.5238095238095
"2017-01-07",36,20.5454545454545
"2017-01-08",85,17.6060606060606
"2017-01-09",49,15.46875
"2017-01-10",67,29.0857142857143
"2017-01-11",47,46.1388888888889
"2017-01-12",50,52.175
"2017-01-13",69,42.78125
"2017-01-14",46,25.5625
"2017-01-15",70,31.09375
"2017-01-16",67,33.15625
"2017-01-17",73,37.5277777777778
"2017-01-18",57,37.25
"2017-01-19",58,37.9142857142857
"2017-01-20",50,37.7777777777778
"2017-01-21",81,43.9
"2017-01-22",50,41.7777777777778
"2017-01-23",33,37.1929824561403
"2017-01-24",57,38.7377049180328
"2017-01-25",35,38.8611111111111
"2017-01-26",31,43.2727272727273
"2017-01-27",32,39.9677419354839
"2017-01-28",62,36.71875
"2017-01-29",35,35.969696969697
"2017-01-30",52,31.125
"2017-01-31",31,25.3958333333333
"2017-02-01",30,33.4
"2017-02-02",49,34.375
"2017-02-03",46,28.8181818181818
"2017-02-04",76,26.7741935483871
"2017-02-05",52,34.3125
"2017-02-06",39,35.09375
"2017-02-07",43,35.48
"2017-02-08",61,35.8636363636364
"2017-02-09",40,25.271186440678
"2017-02-10",55,17.4117647058824
"2017-02-11",35,21.134328358209
"2017-02-12",55,29.5573770491803
"2017-02-13",73,28.1176470588235
"2017-02-14",48,28.0625
"2017-02-15",62,34.5111111111111
"2017-02-16",100,31.7377049180328
"2017-02-17",39,31.4375
"2017-02-18",35,39.21875
"2017-02-19",45,49.9375
"2017-02-20",39,40.9375
"2017-02-21",77,35.71875
"2017-02-22",65,43.34375
"2017-02-23",71,52.21875
"2017-02-24",50,57.2121212121212
"2017-02-25",56,55.9433962264151
"2017-02-26",74,39.6875
"2017-02-27",64,41.78125
"2017-02-28",56,45.5277777777778
"2017-03-01",50,55.6222222222222
"2017-03-02",63,43.5757575757576
"2017-03-03",49,28.6410256410256
"2017-03-04",59,15.875
"2017-03-05",39,20.625
"2017-03-06",50,27.15625
"2017-03-07",78,40.2
"2017-03-08",69,51.1081081081081
"2017-03-09",56,44.8125
"2017-03-10",40,29.7246376811594
"2017-03-11",30,16.3061224489796
"2017-03-12",85,18
"2017-03-13",84,23.46875
"2017-03-14",56,32.2272727272727
"2017-03-15",35,24
"2017-03-16",48,27.875
"2017-03-17",64,33.75
"2017-03-18",55,31.875
"2017-03-19",39,34.2926829268293
