"date","gtrend.hits","temperature"
"2017-01-01",0,9.6734693877551
"2017-01-02",0,-0.45
"2017-01-03",45,-8.03448275862069
"2017-01-04",45,-7.5
"2017-01-05",46,-12.59375
"2017-01-06",47,1.625
"2017-01-07",50,4.08823529411765
"2017-01-08",0,16.7666666666667
"2017-01-09",0,33.8709677419355
"2017-01-10",0,17.6857142857143
"2017-01-11",0,4.02380952380952
"2017-01-12",0,3.76666666666667
"2017-01-13",45,-3.81481481481481
"2017-01-14",50,-7.5625
"2017-01-15",0,-0.291666666666667
"2017-01-16",0,2.45833333333333
"2017-01-17",0,11.7083333333333
"2017-01-18",43,18.0416666666667
"2017-01-19",43,29.2916666666667
"2017-01-20",0,23.8333333333333
"2017-01-21",0,15.6666666666667
"2017-01-22",0,20.4166666666667
"2017-01-23",0,17.6486486486486
"2017-01-24",43,16.5405405405405
"2017-01-25",43,16.2916666666667
"2017-01-26",0,16.125
"2017-01-27",0,7.625
"2017-01-28",0,15.7916666666667
"2017-01-29",0,23.2083333333333
"2017-01-30",0,31.2916666666667
"2017-01-31",43,22.7176470588235
"2017-02-01",0,8.49019607843137
"2017-02-02",44,-5.25806451612903
"2017-02-03",0,-3.84375
"2017-02-04",0,20.0689655172414
"2017-02-05",48,38
"2017-02-06",42,28.609756097561
"2017-02-07",0,10.53125
"2017-02-08",43,10.9615384615385
"2017-02-09",0,38.2916666666667
"2017-02-10",0,36
"2017-02-11",0,28.4
"2017-02-12",0,18.5833333333333
"2017-02-13",43,23.25
"2017-02-14",43,24.875
"2017-02-15",0,27.9583333333333
"2017-02-16",0,37.1666666666667
"2017-02-17",0,38.5
"2017-02-18",0,37.4166666666667
"2017-02-19",0,35.6363636363636
"2017-02-20",43,40.0740740740741
"2017-02-21",0,42.8846153846154
"2017-02-22",0,33.0285714285714
"2017-02-23",0,29.1935483870968
"2017-02-24",0,25.3703703703704
"2017-02-25",0,22.4313725490196
"2017-02-26",0,25.4166666666667
"2017-02-27",0,22.6
"2017-02-28",42,27.2
"2017-03-01",0,32.36
"2017-03-02",41,39.25
"2017-03-03",44,44
"2017-03-04",0,42.625
"2017-03-05",0,37.7666666666667
"2017-03-06",0,28.3333333333333
"2017-03-07",0,31.9230769230769
"2017-03-08",42,41.48
"2017-03-09",0,28.2133333333333
"2017-03-10",0,32.1851851851852
"2017-03-11",0,40.7916666666667
"2017-03-12",0,40.1785714285714
"2017-03-13",0,44.6538461538462
"2017-03-14",0,49.1666666666667
"2017-03-15",0,54.9166666666667
"2017-03-16",0,45.4838709677419
"2017-03-17",0,42.7916666666667
"2017-03-18",49,55
"2017-03-19",0,47.7037037037037
"2017-03-20",0,37.5405405405405
"2017-03-21",0,38.1666666666667
"2017-03-22",0,44.5
"2017-03-23",43,43.1666666666667
"2017-03-24",0,44.7391304347826
"2017-03-25",100,43.6333333333333
"2017-03-26",49,43.0416666666667
"2017-03-27",42,43.8333333333333
"2017-03-28",42,41.0833333333333
"2017-03-29",0,44.48
"2017-03-30",0,44.8333333333333
"2017-03-31",0,44.5185185185185
"2017-04-01",0,46.4583333333333
"2017-04-02",0,43.88
"2017-04-03",0,32.7777777777778
"2017-04-04",42,33.3636363636364
"2017-04-05",42,42.7916666666667
"2017-04-06",0,49.9583333333333
"2017-04-07",0,53.5357142857143
"2017-04-08",0,42.2058823529412
"2017-04-09",0,34.4473684210526
"2017-04-10",0,35.5909090909091
"2017-04-11",43,35.2972972972973
"2017-04-12",0,45.9375
"2017-04-13",45,50.1379310344828
"2017-04-14",0,35.8909090909091
"2017-04-15",0,33.0526315789474
"2017-04-16",0,43.9285714285714
"2017-04-17",0,43.5172413793103
"2017-04-18",0,46.08
"2017-04-19",0,44.6
"2017-04-20",0,43.4074074074074
"2017-04-21",0,39.7948717948718
"2017-04-22",0,46.0833333333333
"2017-04-23",0,47.5806451612903
"2017-04-24",42,44.1818181818182
"2017-04-25",42,43.4210526315789
"2017-04-26",0,43
"2017-04-27",0,37.8205128205128
"2017-04-28",0,39.7307692307692
"2017-04-29",0,41.7307692307692
"2017-04-30",0,46.4
"2017-05-01",0,46.12
"2017-05-02",0,43
"2017-05-03",42,48.5416666666667
"2017-05-04",0,57.4583333333333
"2017-05-05",0,65.5
"2017-05-06",50,61.5833333333333
"2017-05-07",49,52.34375
"2017-05-08",0,49.2916666666667
"2017-05-09",42,52.25
"2017-05-10",0,57.25
"2017-05-11",43,61.5769230769231
"2017-05-12",0,62.1481481481481
"2017-05-13",0,39.74
"2017-05-14",0,43.68
"2017-05-15",44,44.125
"2017-05-16",0,46.4285714285714
"2017-05-17",0,36.3484848484849
"2017-05-18",0,40.6666666666667
"2017-05-19",0,46.8333333333333
"2017-05-20",0,50.1153846153846
"2017-05-21",0,51.5833333333333
"2017-05-22",0,54.08
"2017-05-23",44,58.9166666666667
"2017-05-24",0,60.04
"2017-05-25",46,44.9677419354839
"2017-05-26",0,48.75
"2017-05-27",0,55.36
"2017-05-28",0,59.2
"2017-05-29",0,59.8333333333333
"2017-05-30",44,62.875
"2017-05-31",0,65.125
"2017-06-01",0,63.6538461538462
"2017-06-02",0,62.24
"2017-06-03",0,64.3333333333333
"2017-06-04",0,69.4848484848485
"2017-06-05",45,58.5172413793103
"2017-06-06",0,62.0416666666667
"2017-06-07",0,66.8461538461538
"2017-06-08",0,72.1153846153846
"2017-06-09",0,55.5714285714286
"2017-06-10",54,49.0357142857143
"2017-06-11",0,51.12
"2017-06-12",44,54.5483870967742
"2017-06-13",0,45.9
"2017-06-14",45,57.68
"2017-06-15",0,57.8076923076923
"2017-06-16",47,59.5416666666667
"2017-06-17",0,57.56
"2017-06-18",0,59.1666666666667
"2017-06-19",0,64.6666666666667
"2017-06-20",0,68.2222222222222
"2017-06-21",0,68
"2017-06-22",0,57.625
"2017-06-23",0,56.9583333333333
