"date","gtrend.hits","temperature"
"2017-01-01",54,NA
"2017-01-02",46,NA
"2017-01-03",44,NA
"2017-01-04",44,NA
"2017-01-05",88,NA
"2017-01-06",0,NA
"2017-01-07",48,NA
"2017-01-08",97,NA
"2017-01-09",42,NA
"2017-01-10",0,NA
"2017-01-11",42,NA
"2017-01-12",0,NA
"2017-01-13",44,NA
"2017-01-14",48,NA
"2017-01-15",47,NA
"2017-01-16",85,NA
"2017-01-17",41,NA
"2017-01-18",0,NA
"2017-01-19",83,NA
"2017-01-20",43,NA
"2017-01-21",0,NA
"2017-01-22",0,NA
"2017-01-23",41,NA
"2017-01-24",42,NA
"2017-01-25",0,NA
"2017-01-26",62,NA
"2017-01-27",43,NA
"2017-01-28",0,NA
"2017-01-29",47,NA
"2017-01-30",82,NA
"2017-01-31",83,NA
"2017-02-01",41,NA
"2017-02-02",0,NA
"2017-02-03",43,NA
"2017-02-04",0,NA
"2017-02-05",0,NA
"2017-02-06",0,NA
"2017-02-07",0,NA
"2017-02-08",82,NA
"2017-02-09",42,NA
"2017-02-10",43,NA
"2017-02-11",71,NA
"2017-02-12",0,NA
"2017-02-13",40,NA
"2017-02-14",0,NA
"2017-02-15",69,NA
"2017-02-16",41,NA
"2017-02-17",0,NA
"2017-02-18",0,NA
"2017-02-19",47,NA
"2017-02-20",41,NA
"2017-02-21",41,NA
"2017-02-22",61,NA
"2017-02-23",42,NA
"2017-02-24",0,NA
"2017-02-25",47,NA
"2017-02-26",47,NA
"2017-02-27",80,NA
"2017-02-28",40,NA
"2017-03-01",39,NA
"2017-03-02",0,NA
"2017-03-03",0,NA
"2017-03-04",46,NA
"2017-03-05",0,NA
"2017-03-06",0,NA
"2017-03-07",58,NA
"2017-03-08",81,NA
"2017-03-09",40,NA
"2017-03-10",42,NA
"2017-03-11",0,NA
"2017-03-12",0,NA
"2017-03-13",37,NA
"2017-03-14",40,NA
"2017-03-15",0,NA
"2017-03-16",0,NA
"2017-03-17",0,NA
"2017-03-18",0,NA
"2017-03-19",69,NA
"2017-03-20",80,NA
"2017-03-21",41,NA
"2017-03-22",40,NA
"2017-03-23",0,NA
"2017-03-24",42,NA
"2017-03-25",48,NA
"2017-03-26",70,NA
"2017-03-27",54,NA
"2017-03-28",41,NA
"2017-03-29",83,NA
"2017-03-30",0,NA
"2017-03-31",0,NA
"2017-04-01",0,NA
"2017-04-02",0,NA
"2017-04-03",0,NA
"2017-04-04",41,NA
"2017-04-05",41,NA
"2017-04-06",0,NA
"2017-04-07",42,NA
"2017-04-08",0,NA
"2017-04-09",48,NA
"2017-04-10",0,NA
"2017-04-11",83,NA
"2017-04-12",0,NA
"2017-04-13",0,NA
"2017-04-14",47,NA
"2017-04-15",49,NA
"2017-04-16",0,NA
"2017-04-17",43,NA
"2017-04-18",0,NA
"2017-04-19",40,NA
"2017-04-20",62,NA
"2017-04-21",0,NA
"2017-04-22",95,NA
"2017-04-23",46,NA
"2017-04-24",61,NA
"2017-04-25",0,NA
"2017-04-26",40,NA
"2017-04-27",41,NA
"2017-04-28",42,NA
"2017-04-29",0,NA
"2017-04-30",47,NA
"2017-05-01",44,NA
"2017-05-02",0,NA
"2017-05-03",0,NA
"2017-05-04",0,NA
"2017-05-05",42,NA
"2017-05-06",96,NA
"2017-05-07",0,NA
"2017-05-08",61,NA
"2017-05-09",41,NA
"2017-05-10",41,NA
"2017-05-11",41,NA
"2017-05-12",64,NA
"2017-05-13",48,NA
"2017-05-14",48,NA
"2017-05-15",0,NA
"2017-05-16",0,NA
"2017-05-17",87,NA
"2017-05-18",44,NA
"2017-05-19",46,NA
"2017-05-20",0,NA
"2017-05-21",50,NA
"2017-05-22",0,NA
"2017-05-23",42,NA
"2017-05-24",44,NA
"2017-05-25",0,NA
"2017-05-26",0,NA
"2017-05-27",53,NA
"2017-05-28",0,NA
"2017-05-29",91,NA
"2017-05-30",43,NA
"2017-05-31",43,NA
"2017-06-01",0,NA
"2017-06-02",46,NA
"2017-06-03",51,NA
"2017-06-04",100,NA
"2017-06-05",44,NA
"2017-06-06",42,NA
"2017-06-07",0,NA
"2017-06-08",42,NA
"2017-06-09",0,NA
"2017-06-10",52,NA
"2017-06-11",0,NA
"2017-06-12",0,NA
"2017-06-13",42,NA
"2017-06-14",65,NA
"2017-06-15",44,NA
"2017-06-16",45,NA
"2017-06-17",0,NA
"2017-06-18",52,NA
"2017-06-19",0,NA
"2017-06-20",42,NA
"2017-06-21",42,NA
"2017-06-22",42,NA
"2017-06-23",0,NA
"2017-06-24",51,NA
"2017-06-25",77,NA
"2017-06-26",44,NA
"2017-06-27",0,NA
"2017-06-28",45,NA
"2017-06-29",45,NA
"2017-06-30",46,NA
"2017-07-01",47,NA
