"date","gtrend.hits","temperature"
"2017-01-01",41,31.2857142857143
"2017-01-02",47,37.8461538461538
"2017-01-03",57,38.1590909090909
"2017-01-04",57,14.75
"2017-01-05",49,9.85185185185185
"2017-01-06",61,5.03448275862069
"2017-01-07",34,10.1071428571429
"2017-01-08",41,12.4285714285714
"2017-01-09",38,26.90625
"2017-01-10",45,40.7857142857143
"2017-01-11",39,36.5365853658537
"2017-01-12",55,25.5
"2017-01-13",64,24.1764705882353
"2017-01-14",67,30.0357142857143
"2017-01-15",77,29.4642857142857
"2017-01-16",46,35.3111111111111
"2017-01-17",43,36.5217391304348
"2017-01-18",64,33.6969696969697
"2017-01-19",61,36.5
"2017-01-20",60,40.0238095238095
"2017-01-21",62,48.8139534883721
"2017-01-22",46,42.6603773584906
"2017-01-23",49,40.3125
"2017-01-24",61,37.5
"2017-01-25",59,38.6888888888889
"2017-01-26",70,33.1351351351351
"2017-01-27",88,27.6666666666667
"2017-01-28",100,28
"2017-01-29",67,26.7931034482759
"2017-01-30",20,27.1935483870968
"2017-01-31",81,38.8965517241379
"2017-02-01",53,33.6571428571429
"2017-02-02",60,19.9285714285714
"2017-02-03",40,21.5
"2017-02-04",63,26.8928571428571
"2017-02-05",64,33.6428571428571
"2017-02-06",26,42
"2017-02-07",66,44.4189189189189
"2017-02-08",35,28.45
"2017-02-09",36,19.25
"2017-02-10",54,31.8928571428571
"2017-02-11",33,42.9642857142857
"2017-02-12",68,39.9642857142857
"2017-02-13",56,36.7857142857143
"2017-02-14",35,41.9
"2017-02-15",33,32.7142857142857
"2017-02-16",52,36.4285714285714
"2017-02-17",34,50.75
"2017-02-18",43,55.5172413793103
"2017-02-19",44,50.6129032258064
"2017-02-20",52,58
"2017-02-21",32,59.4242424242424
"2017-02-22",35,57.7555555555556
"2017-02-23",87,45.7575757575758
"2017-02-24",40,40.48
"2017-02-25",55,27.21875
"2017-02-26",57,37.0357142857143
"2017-02-27",46,44.5
"2017-02-28",54,54.7368421052632
"2017-03-01",54,40.7142857142857
"2017-03-02",54,31.1612903225806
"2017-03-03",69,27.9642857142857
"2017-03-04",62,33.8125
"2017-03-05",65,47.8
"2017-03-06",68,56.8529411764706
"2017-03-07",43,51.8571428571429
"2017-03-08",50,45.9642857142857
"2017-03-09",57,37.4642857142857
"2017-03-10",70,28.9285714285714
"2017-03-11",66,24.1071428571429
"2017-03-12",85,28.1935483870968
"2017-03-13",66,28.8620689655172
"2017-03-14",74,24.48
"2017-03-15",49,25.5714285714286
"2017-03-16",48,32.4285714285714
"2017-03-17",53,40.5813953488372
"2017-03-18",46,41.1
"2017-03-19",17,43.21875
"2017-03-20",60,46.7105263157895
"2017-03-21",60,40.9032258064516
"2017-03-22",35,31.5
"2017-03-23",33,42.7741935483871
"2017-03-24",64,54.8947368421053
"2017-03-25",40,44.4081632653061
"2017-03-26",52,54.3333333333333
"2017-03-27",44,47.4210526315789
"2017-03-28",57,42.2941176470588
"2017-03-29",37,43
"2017-03-30",46,42.9838709677419
"2017-03-31",27,39.1714285714286
"2017-04-01",52,46.25
"2017-04-02",52,50.9285714285714
"2017-04-03",84,48.8163265306122
"2017-04-04",43,48.8157894736842
"2017-04-05",42,42.7631578947368
"2017-04-06",61,42.46875
"2017-04-07",40,44.8571428571429
"2017-04-08",47,55.3571428571429
"2017-04-09",49,67.2142857142857
"2017-04-10",86,60.5
"2017-04-11",54,47.7567567567568
"2017-04-12",44,48.7142857142857
"2017-04-13",40,51.7142857142857
"2017-04-14",54,58.5333333333333
"2017-04-15",63,72.9642857142857
"2017-04-16",63,64.8823529411765
"2017-04-17",52,56.1034482758621
"2017-04-18",35,64.3928571428571
"2017-04-19",39,58.125
"2017-04-20",58,60.6206896551724
"2017-04-21",31,49.0357142857143
"2017-04-22",34,50.8214285714286
"2017-04-23",60,56.4285714285714
"2017-04-24",57,58.9285714285714
"2017-04-25",49,69.4642857142857
"2017-04-26",23,68.8064516129032
"2017-04-27",37,51.5813953488372
"2017-04-28",52,50.4516129032258
"2017-04-29",57,43.8928571428571
"2017-04-30",36,46.4528301886792
"2017-05-01",37,51.1020408163265
"2017-05-02",61,45.4285714285714
"2017-05-03",41,48.7142857142857
"2017-05-04",45,48.8928571428571
"2017-05-05",58,49
"2017-05-06",44,50.0357142857143
"2017-05-07",26,47.1428571428571
"2017-05-08",32,47.0357142857143
"2017-05-09",35,49.8
"2017-05-10",50,55.7297297297297
"2017-05-11",54,54.7352941176471
"2017-05-12",37,59.0714285714286
"2017-05-13",41,66.2142857142857
"2017-05-14",44,59.8928571428571
"2017-05-15",46,70.0333333333333
"2017-05-16",26,78.2857142857143
"2017-05-17",53,78.1
"2017-05-18",61,69.3548387096774
"2017-05-19",44,46.8108108108108
"2017-05-20",75,56.8378378378378
"2017-05-21",45,59.9487179487179
"2017-05-22",52,61.7931034482759
"2017-05-23",62,59.5625
"2017-05-24",44,55.7692307692308
"2017-05-25",47,59.5151515151515
"2017-05-26",34,60.3235294117647
"2017-05-27",55,63.6875
"2017-05-28",40,68.4333333333333
"2017-05-29",49,69.8214285714286
"2017-05-30",41,65.2857142857143
"2017-05-31",48,65.2758620689655
"2017-06-01",83,67.5
"2017-06-02",31,73.6785714285714
"2017-06-03",62,76.8965517241379
"2017-06-04",44,80
"2017-06-05",49,67.0714285714286
"2017-06-06",56,65.4642857142857
"2017-06-07",62,67.6428571428571
"2017-06-08",52,72.1071428571429
"2017-06-09",58,74.4137931034483
"2017-06-10",27,79.5714285714286
"2017-06-11",51,82.9285714285714
"2017-06-12",51,84.4827586206897
"2017-06-13",38,78.1612903225806
"2017-06-14",52,76.2608695652174
"2017-06-15",58,79.258064516129
"2017-06-16",41,77.4827586206897
"2017-06-17",40,79.2857142857143
"2017-06-18",46,74.4137931034483
"2017-06-19",37,68.5454545454545
"2017-06-20",43,66.9333333333333
"2017-06-21",46,70.3214285714286
"2017-06-22",61,81
"2017-06-23",37,74.4864864864865
"2017-06-24",40,68.3793103448276
"2017-06-25",57,64.6785714285714
"2017-06-26",52,64.5
"2017-06-27",46,67.3214285714286
"2017-06-28",70,71.3666666666667
"2017-06-29",40,74.8181818181818
"2017-06-30",47,75.1071428571429
"2017-07-01",41,75.75
"2017-07-02",19,76.4193548387097
"2017-07-03",27,74
"2017-07-04",28,75.7857142857143
"2017-07-05",28,79.3928571428571
"2017-07-06",32,83.6333333333333
"2017-07-07",26,78.7575757575758
"2017-07-08",31,71.25
"2017-07-09",33,77.2857142857143
"2017-07-10",31,76.625
"2017-07-11",27,78.6944444444444
"2017-07-12",37,76.6842105263158
"2017-07-13",53,77.8214285714286
"2017-07-14",34,69.9393939393939
"2017-07-15",34,72.7857142857143
"2017-07-16",25,71.5483870967742
"2017-07-17",45,69.8214285714286
"2017-07-18",27,78.962962962963
"2017-07-19",39,78.7741935483871
"2017-07-20",32,75.7727272727273
"2017-07-21",28,79.3863636363636
"2017-07-22",44,77.3529411764706
"2017-07-23",24,78.9655172413793
"2017-07-24",18,70.6060606060606
"2017-07-25",44,74.5
"2017-07-26",31,77.8928571428571
"2017-07-27",32,76.34375
"2017-07-28",100,74.1785714285714
"2017-07-29",38,72.2142857142857
"2017-07-30",41,74.5714285714286
"2017-07-31",53,77.4285714285714
"2017-08-01",30,77.7333333333333
"2017-08-02",23,77.1176470588235
"2017-08-03",26,74.9761904761905
"2017-08-04",21,60.9677419354839
"2017-08-05",37,69.9642857142857
"2017-08-06",30,71.6071428571429
"2017-08-07",26,69.8148148148148
"2017-08-08",26,72.4285714285714
"2017-08-09",34,74.75
