"date","gtrend.hits","temperature"
"2017-01-01",29,34.9264705882353
"2017-01-02",49,48
"2017-01-03",35,52.3846153846154
"2017-01-04",23,31.3793103448276
"2017-01-05",24,21.0208333333333
"2017-01-06",49,12.2142857142857
"2017-01-07",26,11.4583333333333
"2017-01-08",0,16.0833333333333
"2017-01-09",23,27.75
"2017-01-10",68,45.6333333333333
"2017-01-11",0,42.4468085106383
"2017-01-12",34,56.9677419354839
"2017-01-13",23,36.08
"2017-01-14",26,35.5384615384615
"2017-01-15",0,36.4864864864865
"2017-01-16",34,44.0277777777778
"2017-01-17",44,55.2888888888889
"2017-01-18",0,41.3636363636364
"2017-01-19",34,44.037037037037
"2017-01-20",69,52.3076923076923
"2017-01-21",0,46.3061224489796
"2017-01-22",25,51.3225806451613
"2017-01-23",56,48.8648648648649
"2017-01-24",22,42.4
"2017-01-25",67,46.7741935483871
"2017-01-26",67,36.9487179487179
"2017-01-27",24,32.4
"2017-01-28",39,32.0714285714286
"2017-01-29",0,31.3823529411765
"2017-01-30",22,29.32
"2017-01-31",22,43.4166666666667
"2017-02-01",22,41.1153846153846
"2017-02-02",22,32.5416666666667
"2017-02-03",23,26.0833333333333
"2017-02-04",51,25.4166666666667
"2017-02-05",25,42
"2017-02-06",22,45.6785714285714
"2017-02-07",22,58.4782608695652
"2017-02-08",22,39.1627906976744
"2017-02-09",45,25.84375
"2017-02-10",70,36.1666666666667
"2017-02-11",26,58.3333333333333
"2017-02-12",25,54.7567567567568
"2017-02-13",22,37.625
"2017-02-14",22,43.1923076923077
"2017-02-15",34,39.44
"2017-02-16",44,34.4166666666667
"2017-02-17",22,48.4583333333333
"2017-02-18",25,48.8518518518519
"2017-02-19",38,48.3548387096774
"2017-02-20",22,47.2068965517241
"2017-02-21",66,53.5185185185185
"2017-02-22",22,56.2033898305085
"2017-02-23",45,62.2592592592593
"2017-02-24",23,64.7666666666667
"2017-02-25",26,37.8333333333333
"2017-02-26",100,36.2916666666667
"2017-02-27",43,41.9428571428571
"2017-02-28",22,49.3653846153846
"2017-03-01",21,56.4468085106383
"2017-03-02",32,39.9583333333333
"2017-03-03",56,32.8518518518519
"2017-03-04",50,31.8684210526316
"2017-03-05",0,47.4166666666667
"2017-03-06",21,54.7692307692308
"2017-03-07",42,54.8235294117647
"2017-03-08",44,48.75
"2017-03-09",55,50.9583333333333
"2017-03-10",23,37.8571428571429
"2017-03-11",0,30.25
"2017-03-12",0,31.0416666666667
"2017-03-13",20,34.0857142857143
"2017-03-14",66,26.7297297297297
"2017-03-15",0,26.9583333333333
"2017-03-16",44,31.375
"2017-03-17",0,36.780487804878
"2017-03-18",0,41.3170731707317
"2017-03-19",25,40.4333333333333
"2017-03-20",22,41.45
"2017-03-21",22,50.4166666666667
"2017-03-22",44,35.7083333333333
"2017-03-23",44,43.5
"2017-03-24",0,61.5
"2017-03-25",39,66.125
"2017-03-26",76,57.7450980392157
"2017-03-27",22,54.5757575757576
"2017-03-28",22,57.125
"2017-03-29",22,50.7142857142857
"2017-03-30",23,62.6551724137931
"2017-03-31",46,54
"2017-04-01",51,44.6333333333333
"2017-04-02",25,41.3090909090909
"2017-04-03",22,57.9166666666667
"2017-04-04",22,59.8125
"2017-04-05",22,59.7
"2017-04-06",34,46.5714285714286
"2017-04-07",23,45.4230769230769
"2017-04-08",52,48.3333333333333
"2017-04-09",26,59.2083333333333
"2017-04-10",56,67.8333333333333
"2017-04-11",23,61.6944444444444
"2017-04-12",23,54.5357142857143
"2017-04-13",35,52.4878048780488
"2017-04-14",38,63.6666666666667
"2017-04-15",0,67.7777777777778
"2017-04-16",26,66.6666666666667
"2017-04-17",0,62.6333333333333
"2017-04-18",22,61.8461538461538
"2017-04-19",44,68.4285714285714
"2017-04-20",22,64.2131147540984
"2017-04-21",23,59.1428571428571
"2017-04-22",38,49.7307692307692
"2017-04-23",75,52
"2017-04-24",44,59.6666666666667
"2017-04-25",44,62.8
"2017-04-26",22,61.95
"2017-04-27",0,63.1428571428571
"2017-04-28",23,57.94
"2017-04-29",52,66.063829787234
"2017-04-30",26,71.3870967741936
"2017-05-01",24,61.0384615384615
"2017-05-02",0,56.2142857142857
"2017-05-03",22,52.2083333333333
"2017-05-04",22,56.0625
"2017-05-05",46,49.0727272727273
"2017-05-06",39,51.7916666666667
"2017-05-07",25,52
"2017-05-08",22,51.75
"2017-05-09",66,54.4
"2017-05-10",44,63.6764705882353
"2017-05-11",45,64.8484848484848
"2017-05-12",35,57.2941176470588
"2017-05-13",26,51.1090909090909
"2017-05-14",26,68.7916666666667
"2017-05-15",23,67.76
"2017-05-16",35,69.1
"2017-05-17",47,73.875
"2017-05-18",47,75.5416666666667
"2017-05-19",50,68.7380952380952
"2017-05-20",28,67.2641509433962
"2017-05-21",27,69.53125
"2017-05-22",59,60.5416666666667
"2017-05-23",23,59
"2017-05-24",0,63.28
"2017-05-25",36,61.5555555555556
"2017-05-26",38,67.9583333333333
"2017-05-27",29,74.2352941176471
"2017-05-28",28,68.8529411764706
"2017-05-29",25,65.2
"2017-05-30",35,68.9615384615385
"2017-05-31",0,68.36
"2017-06-01",24,65.8333333333333
"2017-06-02",0,64.0333333333333
"2017-06-03",27,69.0384615384615
"2017-06-04",0,68.7
"2017-06-05",24,72.4814814814815
"2017-06-06",23,67.3333333333333
"2017-06-07",23,61
"2017-06-08",23,59.8181818181818
"2017-06-09",61,62.2571428571429
"2017-06-10",28,72
"2017-06-11",55,73.0357142857143
"2017-06-12",23,78
"2017-06-13",23,75.34375
"2017-06-14",23,71.6428571428571
"2017-06-15",24,74.0909090909091
"2017-06-16",25,76.0344827586207
