"date","gtrend.hits","temperature"
"2017-01-01",25,34.2083333333333
"2017-01-02",61,39.6875
"2017-01-03",40,42.7021276595745
"2017-01-04",59,30.25
"2017-01-05",0,18.6491228070175
"2017-01-06",41,12.6875
"2017-01-07",33,12.8775510204082
"2017-01-08",44,16.1388888888889
"2017-01-09",45,22.75
"2017-01-10",44,35.5116279069767
"2017-01-11",19,45.9230769230769
"2017-01-12",68,40.156862745098
"2017-01-13",59,28.5757575757576
"2017-01-14",51,29.625
"2017-01-15",29,29.7083333333333
"2017-01-16",51,34
"2017-01-17",37,47.6904761904762
"2017-01-18",38,37.7209302325581
"2017-01-19",37,37.3142857142857
"2017-01-20",58,44.3555555555556
"2017-01-21",22,53.7857142857143
"2017-01-22",32,46.2222222222222
"2017-01-23",28,37.8039215686275
"2017-01-24",38,36.2641509433962
"2017-01-25",31,42.8461538461538
"2017-01-26",25,36.8823529411765
"2017-01-27",58,32
"2017-01-28",55,29.1875
"2017-01-29",57,28.96875
"2017-01-30",49,25.9242424242424
"2017-01-31",31,31.6666666666667
"2017-02-01",37,34.4242424242424
"2017-02-02",38,27.6363636363636
"2017-02-03",39,22.8717948717949
"2017-02-04",22,26.04
"2017-02-05",35,34.72
"2017-02-06",55,38
"2017-02-07",18,52.625
"2017-02-08",65,32.7586206896552
"2017-02-09",19,23.6222222222222
"2017-02-10",29,23.9677419354839
"2017-02-11",29,41.2083333333333
"2017-02-12",32,35.4130434782609
"2017-02-13",31,33.7916666666667
"2017-02-14",44,41.5416666666667
"2017-02-15",25,31.2692307692308
"2017-02-16",37,27.3513513513514
"2017-02-17",19,39.375
"2017-02-18",36,58.9583333333333
"2017-02-19",28,47.3333333333333
"2017-02-20",47,38.5416666666667
"2017-02-21",43,52.4583333333333
"2017-02-22",46,59.0333333333333
"2017-02-23",19,56.08
"2017-02-24",39,59.5483870967742
"2017-02-25",32,41.8857142857143
"2017-02-26",42,31.275
"2017-02-27",48,44.44
"2017-02-28",18,53.9354838709677
"2017-03-01",36,51.825
"2017-03-02",42,30.6744186046512
"2017-03-03",32,27.1219512195122
"2017-03-04",21,25.3333333333333
"2017-03-05",21,34.3333333333333
"2017-03-06",41,52.8965517241379
"2017-03-07",23,52.4571428571429
"2017-03-08",28,47.7916666666667
"2017-03-09",18,38.3103448275862
"2017-03-10",19,29.5957446808511
"2017-03-11",57,22.7916666666667
"2017-03-12",40,24.5833333333333
"2017-03-13",28,26.6585365853659
"2017-03-14",18,22.4861111111111
"2017-03-15",55,24.8709677419355
"2017-03-16",38,30.6666666666667
"2017-03-17",65,33.9090909090909
"2017-03-18",86,35.7962962962963
"2017-03-19",63,35.1698113207547
"2017-03-20",56,41.4642857142857
"2017-03-21",46,38.1960784313725
"2017-03-22",31,28.1034482758621
"2017-03-23",31,35.6666666666667
"2017-03-24",29,61.5833333333333
"2017-03-25",58,42.9166666666667
"2017-03-26",28,51.5
"2017-03-27",31,54.125
"2017-03-28",25,41.2888888888889
"2017-03-29",28,40.2432432432432
"2017-03-30",57,45.725
"2017-03-31",78,44.56
"2017-04-01",21,38.974358974359
"2017-04-02",65,46.625
"2017-04-03",28,61.4166666666667
"2017-04-04",25,54.4324324324324
"2017-04-05",28,47.0571428571429
"2017-04-06",28,44.5178571428571
"2017-04-07",87,37.3333333333333
"2017-04-08",22,43.4583333333333
"2017-04-09",43,62.3333333333333
"2017-04-10",44,71.0833333333333
"2017-04-11",57,58.969696969697
"2017-04-12",48,47.6428571428571
"2017-04-13",60,46.8333333333333
"2017-04-14",53,48.7307692307692
"2017-04-15",100,69.375
"2017-04-16",37,63.96
"2017-04-17",32,52
"2017-04-18",27,52.6666666666667
"2017-04-19",37,62.5098039215686
"2017-04-20",31,59.1176470588235
"2017-04-21",49,52.1142857142857
"2017-04-22",43,45.3666666666667
"2017-04-23",42,49.4166666666667
"2017-04-24",18,55.5416666666667
"2017-04-25",31,61.9166666666667
"2017-04-26",36,70.2083333333333
"2017-04-27",62,66.6296296296296
"2017-04-28",39,55.8333333333333
"2017-04-29",36,50.36
"2017-04-30",65,60.5172413793103
"2017-05-01",79,62.2857142857143
"2017-05-02",31,49.2727272727273
"2017-05-03",28,47.9230769230769
"2017-05-04",37,50.8846153846154
"2017-05-05",19,48.5094339622642
"2017-05-06",54,46.1428571428571
"2017-05-07",43,48.2083333333333
"2017-05-08",25,47.0416666666667
"2017-05-09",55,49.92
"2017-05-10",25,52.9166666666667
"2017-05-11",37,52.1666666666667
"2017-05-12",65,52.3461538461538
"2017-05-13",22,55.7083333333333
"2017-05-14",0,54.8928571428571
"2017-05-15",19,54.3333333333333
"2017-05-16",59,71.12
"2017-05-17",53,79.6666666666667
"2017-05-18",20,79.68
"2017-05-19",35,54.3030303030303
"2017-05-20",0,60.2307692307692
"2017-05-21",35,68.7272727272727
"2017-05-22",40,60.0416666666667
"2017-05-23",29,62.1785714285714
"2017-05-24",27,61.6666666666667
"2017-05-25",20,59.5405405405405
"2017-05-26",64,59.2857142857143
"2017-05-27",40,62.96
"2017-05-28",40,63.9024390243902
"2017-05-29",48,68.21875
"2017-05-30",26,66.125
"2017-05-31",19,64.8571428571429
"2017-06-01",41,62.8518518518519
"2017-06-02",35,65.76
"2017-06-03",46,67.625
"2017-06-04",34,73.2692307692308
"2017-06-05",39,62.9444444444444
"2017-06-06",45,59.8965517241379
"2017-06-07",39,58.5151515151515
"2017-06-08",29,61.84
"2017-06-09",41,65.8461538461538
"2017-06-10",24,77.52
"2017-06-11",23,80.16
"2017-06-12",29,81.7083333333333
"2017-06-13",58,79.4074074074074
"2017-06-14",39,72.741935483871
"2017-06-15",30,75.4166666666667
"2017-06-16",31,77.3333333333333
"2017-06-17",56,82.7083333333333
"2017-06-18",23,78.7142857142857
"2017-06-19",29,69.1111111111111
"2017-06-20",19,67.8888888888889
"2017-06-21",38,66.8076923076923
"2017-06-22",25,77.0384615384615
"2017-06-23",40,73.8181818181818
"2017-06-24",46,71.1666666666667
"2017-06-25",23,68.24
"2017-06-26",20,64.59375
"2017-06-27",41,61.875
"2017-06-28",20,70.25
"2017-06-29",27,77.25
"2017-06-30",31,72.1111111111111
"2017-07-01",22,71.9210526315789
"2017-07-02",43,74.25
"2017-07-03",38,72.7307692307692
"2017-07-04",29,71
"2017-07-05",0,71.5384615384615
"2017-07-06",32,73.9230769230769
"2017-07-07",49,73.4
"2017-07-08",22,70.0681818181818
"2017-07-09",29,71.75
"2017-07-10",0,69.7272727272727
"2017-07-11",37,74.7857142857143
"2017-07-12",49,79.6666666666667
"2017-07-13",28,78.425
"2017-07-14",38,75
"2017-07-15",22,71.3428571428571
"2017-07-16",32,73.7058823529412
"2017-07-17",28,70.5263157894737
"2017-07-18",43,75.5416666666667
"2017-07-19",37,79.9166666666667
"2017-07-20",61,79.8333333333333
"2017-07-21",38,79.5555555555556
"2017-07-22",43,77.7941176470588
"2017-07-23",21,76.725
"2017-07-24",36,70.3870967741936
"2017-07-25",42,68.7575757575758
"2017-07-26",18,70.68
"2017-07-27",30,75.6333333333333
"2017-07-28",32,72.6551724137931
"2017-07-29",32,70
"2017-07-30",42,72.75
"2017-07-31",100,74.875
"2017-08-01",47,76.36
"2017-08-02",34,77.1785714285714
"2017-08-03",42,73.6862745098039
"2017-08-04",19,71.25
"2017-08-05",42,66.3214285714286
"2017-08-06",42,69.1666666666667
"2017-08-07",23,70.2083333333333
"2017-08-08",86,71.25
"2017-08-09",29,71.875
"2017-08-10",48,73.4230769230769
"2017-08-11",28,72.9375
"2017-08-12",73,70.7666666666667
"2017-08-13",21,70.53125
"2017-08-14",67,72.75
"2017-08-15",18,74.2916666666667
"2017-08-16",30,74.2083333333333
"2017-08-17",27,79.4583333333333
"2017-08-18",37,76.2916666666667
"2017-08-19",0,71.8846153846154
"2017-08-20",48,75.0384615384615
"2017-08-21",44,79.4615384615385
"2017-08-22",17,76.7096774193548
"2017-08-23",48,70.9583333333333
"2017-08-24",48,66.3846153846154
"2017-08-25",19,66
"2017-08-26",41,65.6923076923077
"2017-08-27",20,68.0416666666667
"2017-08-28",54,72
"2017-08-29",53,68.5416666666667
"2017-08-30",44,70.0833333333333
"2017-08-31",27,67.6896551724138
"2017-09-01",25,61.0833333333333
"2017-09-02",42,61.4166666666667
"2017-09-03",21,64.5
"2017-09-04",46,75.4210526315789
"2017-09-05",35,65.2380952380952
"2017-09-06",29,58.7575757575758
"2017-09-07",18,56.304347826087
"2017-09-08",18,59.1111111111111
"2017-09-09",40,59.3055555555556
"2017-09-10",40,59.875
"2017-09-11",29,62.9166666666667
"2017-09-12",26,65.4166666666667
"2017-09-13",34,69.375
"2017-09-14",35,65.2857142857143
"2017-09-15",36,67.9166666666667
"2017-09-16",30,69.12
"2017-09-17",0,71.6
"2017-09-18",44,72.2222222222222
"2017-09-19",34,72.04
"2017-09-20",35,73.1034482758621
"2017-09-21",35,74.56
"2017-09-22",37,73.68
"2017-09-23",30,73.2
"2017-09-24",33,75.125
"2017-09-25",34,76.84
"2017-09-26",35,77.7307692307692
"2017-09-27",26,74.5384615384615
"2017-09-28",29,63.5
"2017-09-29",37,60.875
"2017-09-30",47,56.6923076923077
"2017-10-01",47,56.4583333333333
"2017-10-02",0,62.9166666666667
"2017-10-03",35,70.8333333333333
"2017-10-04",40,74.25
"2017-10-05",47,65.4848484848485
"2017-10-06",18,67.4
"2017-10-07",53,76.9047619047619
"2017-10-08",30,67.8787878787879
"2017-10-09",26,66.25
"2017-10-10",42,65.7941176470588
"2017-10-11",34,62
"2017-10-12",18,62.8
"2017-10-13",27,64
"2017-10-14",20,67.4166666666667
"2017-10-15",40,66.625
"2017-10-16",40,52.0344827586207
"2017-10-17",17,56.4166666666667
"2017-10-18",17,59.7083333333333
"2017-10-19",18,62.6666666666667
"2017-10-20",36,62.0833333333333
"2017-10-21",20,64.375
"2017-10-22",19,67.0833333333333
"2017-10-23",28,64.0967741935484
"2017-10-24",34,52.3870967741936
"2017-10-25",34,47.53125
"2017-10-26",41,48.2142857142857
"2017-10-27",36,54.8888888888889
"2017-10-28",33,40.6060606060606
"2017-10-29",19,43.9444444444444
"2017-10-30",26,42.4848484848485
"2017-10-31",35,40.0833333333333
"2017-11-01",18,43.5161290322581
"2017-11-02",35,61.6666666666667
"2017-11-03",30,53.0208333333333
"2017-11-04",38,51.2307692307692
"2017-11-05",28,62.7903225806452
"2017-11-06",22,50.42
"2017-11-07",22,45.1111111111111
"2017-11-08",23,43.4166666666667
"2017-11-09",17,42.2592592592593
"2017-11-10",44,28.72
"2017-11-11",32,29.5384615384615
"2017-11-12",29,39.3333333333333
"2017-11-13",28,42.78125
"2017-11-14",17,42.0769230769231
"2017-11-15",44,43.21875
"2017-11-16",45,43.2352941176471
"2017-11-17",17,41.6538461538462
"2017-11-18",26,47.5
"2017-11-19",32,38.34375
"2017-11-20",22,37.8928571428571
"2017-11-21",0,46.1538461538462
"2017-11-22",50,35.6451612903226
"2017-11-23",34,35.25
"2017-11-24",23,44.5833333333333
"2017-11-25",19,47.8787878787879
"2017-11-26",38,39
"2017-11-27",65,43.5416666666667
"2017-11-28",33,56.5416666666667
"2017-11-29",45,45.3461538461538
"2017-11-30",28,45.1153846153846
"2017-12-01",35,39.8461538461538
"2017-12-02",29,40.4166666666667
"2017-12-03",32,41.625
"2017-12-04",25,50.0416666666667
"2017-12-05",17,46.6206896551724
"2017-12-06",45,34.5416666666667
"2017-12-07",34,29.3333333333333
"2017-12-08",18,26.7083333333333
"2017-12-09",29,28.3823529411765
"2017-12-10",31,30.25
"2017-12-11",17,31.3243243243243
"2017-12-12",44,26.925
"2017-12-13",28,21.859649122807
"2017-12-14",57,24.3636363636364
"2017-12-15",30,21.2333333333333
"2017-12-16",49,33.84375
"2017-12-17",19,34.8
"2017-12-18",26,42.0606060606061
"2017-12-19",29,44.9642857142857
"2017-12-20",17,34.7083333333333
"2017-12-21",18,34.9166666666667
"2017-12-22",32,37.3548387096774
"2017-12-23",41,34.6909090909091
"2017-12-24",43,32.2181818181818
"2017-12-25",44,22.7272727272727
"2017-12-26",37,12.8620689655172
"2017-12-27",18,11.75
"2017-12-28",37,14
"2017-12-29",38,16.6052631578947
"2017-12-30",20,16.8852459016393
"2017-12-31",21,17.5757575757576
