"date","gtrend.hits","temperature"
"2017-01-01",0,57
"2017-01-02",0,61.3837209302326
"2017-01-03",0,60.8461538461538
"2017-01-04",35,52.2
"2017-01-05",0,47.9583333333333
"2017-01-06",39,39.0120481927711
"2017-01-07",0,30.65625
"2017-01-08",34,29.7916666666667
"2017-01-09",0,35.5
"2017-01-10",34,46.1111111111111
"2017-01-11",0,60.7083333333333
"2017-01-12",35,58.7083333333333
"2017-01-13",39,60.7083333333333
"2017-01-14",0,60.4166666666667
"2017-01-15",0,59.75
"2017-01-16",0,63.75
"2017-01-17",33,62.7916666666667
"2017-01-18",0,65.1666666666667
"2017-01-19",0,59.4791666666667
"2017-01-20",39,64.9772727272727
"2017-01-21",57,62.8529411764706
"2017-01-22",0,58.9333333333333
"2017-01-23",34,54.2307692307692
"2017-01-24",50,53.0416666666667
"2017-01-25",34,56.92
"2017-01-26",0,58.8
"2017-01-27",39,41.7083333333333
"2017-01-28",77,40.9583333333333
"2017-01-29",50,44.8333333333333
"2017-01-30",67,47.1666666666667
"2017-01-31",0,53.5833333333333
"2017-02-01",34,58.375
"2017-02-02",35,59.0833333333333
"2017-02-03",39,53.027027027027
"2017-02-04",38,43.3333333333333
"2017-02-05",0,47.1578947368421
"2017-02-06",0,57.6774193548387
"2017-02-07",67,58.4418604651163
"2017-02-08",0,61.1020408163265
"2017-02-09",0,52.7878787878788
"2017-02-10",39,49.1666666666667
"2017-02-11",38,57.9583333333333
"2017-02-12",34,66.1944444444444
"2017-02-13",0,59.7916666666667
"2017-02-14",34,57.125
"2017-02-15",0,59.6829268292683
"2017-02-16",36,49.5833333333333
"2017-02-17",39,52.25
"2017-02-18",39,54.3870967741936
"2017-02-19",34,58.3157894736842
"2017-02-20",33,61.2916666666667
"2017-02-21",0,61.1395348837209
"2017-02-22",33,63.18
"2017-02-23",0,65.9736842105263
"2017-02-24",38,66.9166666666667
"2017-02-25",38,61.3939393939394
"2017-02-26",33,50.8333333333333
"2017-02-27",33,53.8928571428571
"2017-02-28",0,59.5
"2017-03-01",0,66.4423076923077
"2017-03-02",35,54.7083333333333
"2017-03-03",0,50.6666666666667
"2017-03-04",37,51.0833333333333
"2017-03-05",32,55
"2017-03-06",0,63.5833333333333
"2017-03-07",0,62.92
"2017-03-08",0,60.8275862068966
"2017-03-09",35,59.7916666666667
"2017-03-10",0,62.7241379310345
"2017-03-11",38,54
"2017-03-12",0,44.025641025641
"2017-03-13",66,43.4358974358974
"2017-03-14",100,43.75
"2017-03-15",0,38.2916666666667
"2017-03-16",35,42.2083333333333
"2017-03-17",0,51.9
"2017-03-18",0,60.3461538461538
"2017-03-19",68,59.48
"2017-03-20",66,61.4166666666667
"2017-03-21",0,72.0416666666667
"2017-03-22",0,68.75
"2017-03-23",0,63.1666666666667
"2017-03-24",0,67.2916666666667
"2017-03-25",0,69
"2017-03-26",34,70.0769230769231
"2017-03-27",34,70.9166666666667
"2017-03-28",0,70.53125
"2017-03-29",36,72.8888888888889
"2017-03-30",0,71
"2017-03-31",0,69.0666666666667
"2017-04-01",0,69.2083333333333
"2017-04-02",35,71.8333333333333
"2017-04-03",33,64.6274509803922
"2017-04-04",0,70.7741935483871
"2017-04-05",34,70.1323529411765
"2017-04-06",0,58.8333333333333
"2017-04-07",39,59.0833333333333
"2017-04-08",38,60.6785714285714
"2017-04-09",0,62.9166666666667
"2017-04-10",0,67.5416666666667
"2017-04-11",33,69.8333333333333
"2017-04-12",34,70.4166666666667
"2017-04-13",35,71.7916666666667
"2017-04-14",0,71.875
"2017-04-15",0,73.1666666666667
"2017-04-16",33,73.4166666666667
"2017-04-17",33,74.0416666666667
"2017-04-18",0,74
"2017-04-19",0,74.0357142857143
"2017-04-20",35,75.75
"2017-04-21",0,74.8888888888889
"2017-04-22",0,74.6666666666667
"2017-04-23",33,67.1702127659574
"2017-04-24",33,60.4736842105263
"2017-04-25",33,69.1666666666667
"2017-04-26",0,71.2916666666667
"2017-04-27",0,73.051948051948
"2017-04-28",0,75.8571428571429
"2017-04-29",0,79.4166666666667
"2017-04-30",35,77.3928571428571
"2017-05-01",36,70.4864864864865
"2017-05-02",0,69
"2017-05-03",0,73.375
"2017-05-04",0,64.8461538461538
"2017-05-05",0,52.4807692307692
"2017-05-06",0,61.7777777777778
"2017-05-07",0,67.0833333333333
"2017-05-08",33,68.75
"2017-05-09",0,74.5
"2017-05-10",34,77.125
"2017-05-11",35,76.2916666666667
"2017-05-12",0,74.551724137931
"2017-05-13",0,69.3829787234042
"2017-05-14",0,74.625
"2017-05-15",33,77.0416666666667
"2017-05-16",0,79.125
"2017-05-17",34,80.125
"2017-05-18",71,81.6923076923077
"2017-05-19",0,80.84
"2017-05-20",40,75.4
"2017-05-21",34,74.3958333333333
"2017-05-22",50,76.8484848484848
"2017-05-23",0,69.5694444444444
"2017-05-24",34,71.6086956521739
"2017-05-25",72,65.8333333333333
"2017-05-26",0,72.5
"2017-05-27",0,76.8333333333333
"2017-05-28",34,79.4411764705882
"2017-05-29",34,78.9285714285714
"2017-05-30",34,78.875
"2017-05-31",34,76.875
"2017-06-01",0,74.65625
"2017-06-02",40,78.9583333333333
"2017-06-03",0,79.2258064516129
"2017-06-04",0,77.7428571428571
"2017-06-05",34,76.2380952380952
"2017-06-06",34,75.7954545454545
"2017-06-07",0,74.4857142857143
"2017-06-08",35,74.9166666666667
"2017-06-09",40,77.0416666666667
"2017-06-10",59,78.2916666666667
"2017-06-11",0,79.7666666666667
"2017-06-12",31,75.4523809523809
"2017-06-13",31,78.5
"2017-06-14",0,77.2571428571429
"2017-06-15",35,79.25
"2017-06-16",0,75.3783783783784
"2017-06-17",0,79.4666666666667
