"date","gtrend.hits","temperature"
"2017-01-01",31,38.2222222222222
"2017-01-02",34,46.6607142857143
"2017-01-03",37,51.74
"2017-01-04",57,31.3333333333333
"2017-01-05",58,20.5116279069767
"2017-01-06",59,11.4545454545455
"2017-01-07",27,10.8333333333333
"2017-01-08",54,14.9642857142857
"2017-01-09",59,23.9642857142857
"2017-01-10",70,40.4871794871795
"2017-01-11",0,48.9736842105263
"2017-01-12",36,55.7291666666667
"2017-01-13",49,33.6774193548387
"2017-01-14",27,33.3076923076923
"2017-01-15",44,32.9428571428571
"2017-01-16",59,41.7837837837838
"2017-01-17",58,55.5121951219512
"2017-01-18",23,41.4634146341463
"2017-01-19",46,41.6451612903226
"2017-01-20",72,50.5
"2017-01-21",27,55.4642857142857
"2017-01-22",52,56.0357142857143
"2017-01-23",46,49.2291666666667
"2017-01-24",39,41.4615384615385
"2017-01-25",39,43.4857142857143
"2017-01-26",35,34.6486486486486
"2017-01-27",36,28.4814814814815
"2017-01-28",36,27.46875
"2017-01-29",26,26.5641025641026
"2017-01-30",23,23.5384615384615
"2017-01-31",23,36.3333333333333
"2017-02-01",23,34.4285714285714
"2017-02-02",0,25.8928571428571
"2017-02-03",32,19.7857142857143
"2017-02-04",27,20.5714285714286
"2017-02-05",52,35.5714285714286
"2017-02-06",68,39.7666666666667
"2017-02-07",30,53.26
"2017-02-08",31,35.625
"2017-02-09",23,20.625
"2017-02-10",24,26
"2017-02-11",79,52.3793103448276
"2017-02-12",26,51.84
"2017-02-13",22,37.6785714285714
"2017-02-14",58,42.8214285714286
"2017-02-15",70,36.2
"2017-02-16",57,33.7741935483871
"2017-02-17",38,47.6785714285714
"2017-02-18",26,53.8214285714286
"2017-02-19",53,48
"2017-02-20",31,46.3658536585366
"2017-02-21",23,57.8571428571429
"2017-02-22",23,57.390243902439
"2017-02-23",35,62.1590909090909
"2017-02-24",36,66.8857142857143
"2017-02-25",40,41.48
"2017-02-26",52,36.1379310344828
"2017-02-27",33,44.2647058823529
"2017-02-28",23,51.8333333333333
"2017-03-01",33,55.4423076923077
"2017-03-02",22,35.5294117647059
"2017-03-03",35,29.8181818181818
"2017-03-04",34,29.6428571428571
"2017-03-05",26,43.6785714285714
"2017-03-06",66,53.4857142857143
"2017-03-07",51,54.390243902439
"2017-03-08",38,49.7857142857143
"2017-03-09",22,49.2857142857143
"2017-03-10",0,34.8695652173913
"2017-03-11",77,26.2142857142857
"2017-03-12",50,29.2333333333333
"2017-03-13",42,30.975
"2017-03-14",23,24.609756097561
"2017-03-15",68,24.7666666666667
"2017-03-16",34,32.4642857142857
"2017-03-17",48,32.265306122449
"2017-03-18",40,40.1395348837209
"2017-03-19",34,39.975
"2017-03-20",23,41.0975609756098
"2017-03-21",0,47.5
"2017-03-22",23,33.3928571428571
"2017-03-23",23,39.9642857142857
"2017-03-24",24,62.0357142857143
"2017-03-25",54,66.5357142857143
"2017-03-26",61,59.6304347826087
"2017-03-27",23,58.1212121212121
"2017-03-28",23,55.4
"2017-03-29",23,50.2121212121212
"2017-03-30",23,60.78125
"2017-03-31",48,53.5714285714286
"2017-04-01",67,46.027027027027
"2017-04-02",27,50.4285714285714
"2017-04-03",34,59.4838709677419
"2017-04-04",23,57.8611111111111
"2017-04-05",23,57.8947368421053
"2017-04-06",46,46.4102564102564
"2017-04-07",48,41.125
"2017-04-08",27,47.4642857142857
"2017-04-09",27,60.3928571428571
"2017-04-10",46,69.6428571428571
"2017-04-11",46,61.780487804878
"2017-04-12",24,55.75
"2017-04-13",37,57.4642857142857
"2017-04-14",26,62.0714285714286
"2017-04-15",27,68.7857142857143
"2017-04-16",55,70.3214285714286
"2017-04-17",24,62.8
"2017-04-18",23,64
"2017-04-19",68,69.5
"2017-04-20",23,71.0882352941177
"2017-04-21",36,58.3333333333333
"2017-04-22",26,49.1785714285714
"2017-04-23",34,55.1071428571429
"2017-04-24",57,59.1428571428571
"2017-04-25",30,64.5
"2017-04-26",57,70.8214285714286
"2017-04-27",23,68
"2017-04-28",32,58.4705882352941
"2017-04-29",27,62.625
"2017-04-30",36,67.8780487804878
"2017-05-01",25,63.5833333333333
"2017-05-02",46,53
"2017-05-03",68,50.5588235294118
"2017-05-04",46,54.6
"2017-05-05",24,51.4117647058824
"2017-05-06",27,50.2142857142857
"2017-05-07",79,48.5
"2017-05-08",30,48.75
"2017-05-09",34,52.1071428571429
"2017-05-10",23,63.5
"2017-05-11",23,62.0769230769231
"2017-05-12",40,57.0285714285714
"2017-05-13",27,59.4642857142857
"2017-05-14",0,68.1071428571429
"2017-05-15",60,64.1428571428571
"2017-05-16",25,74
"2017-05-17",25,77.6428571428571
"2017-05-18",49,77.3125
"2017-05-19",26,68.46
"2017-05-20",29,65.025
"2017-05-21",28,69.0175438596491
"2017-05-22",49,60.375
"2017-05-23",24,64.7142857142857
"2017-05-24",41,64.7435897435897
"2017-05-25",50,61.9019607843137
"2017-05-26",27,64.9714285714286
"2017-05-27",44,70.2352941176471
"2017-05-28",59,70.75
"2017-05-29",64,70.25
"2017-05-30",40,70.2857142857143
"2017-05-31",32,68.6206896551724
"2017-06-01",25,66.8928571428571
"2017-06-02",26,68.5357142857143
"2017-06-03",57,72.6071428571429
"2017-06-04",47,73.1842105263158
"2017-06-05",32,70.0512820512821
"2017-06-06",24,63.2142857142857
"2017-06-07",48,59.0625
"2017-06-08",36,64.5
"2017-06-09",50,69.9642857142857
"2017-06-10",29,76
"2017-06-11",29,79.0714285714286
"2017-06-12",0,81.6071428571429
"2017-06-13",36,78.9473684210526
"2017-06-14",73,76.4285714285714
"2017-06-15",100,77.1714285714286
"2017-06-16",51,81.1785714285714
"2017-06-17",49,81.5357142857143
"2017-06-18",48,78.2647058823529
"2017-06-19",49,69.2631578947368
"2017-06-20",47,71.3214285714286
"2017-06-21",23,76.3571428571429
"2017-06-22",0,78.3
"2017-06-23",37,70.9444444444444
"2017-06-24",71,71.2142857142857
"2017-06-25",87,67.6071428571429
"2017-06-26",62,64.1071428571429
"2017-06-27",50,63.1071428571429
"2017-06-28",34,67.2142857142857
"2017-06-29",50,76.8928571428571
"2017-06-30",77,76.4722222222222
"2017-07-01",24,73.8421052631579
"2017-07-02",24,76.0714285714286
"2017-07-03",21,76.4827586206897
"2017-07-04",21,76.6785714285714
"2017-07-05",35,77.1071428571429
"2017-07-06",21,74.0526315789474
"2017-07-07",53,70.9268292682927
"2017-07-08",24,71.3529411764706
"2017-07-09",39,70.3928571428571
"2017-07-10",20,72.2941176470588
"2017-07-11",30,75.5151515151515
"2017-07-12",34,80.1071428571429
"2017-07-13",41,75.015873015873
"2017-07-14",74,78.03125
"2017-07-15",47,73.8
"2017-07-16",35,75.1428571428571
"2017-07-17",48,75.2777777777778
"2017-07-18",60,79.7857142857143
"2017-07-19",20,81.4642857142857
"2017-07-20",100,80.1785714285714
"2017-07-21",21,78.6666666666667
"2017-07-22",47,76.75
"2017-07-23",69,73.843137254902
"2017-07-24",20,72.125
"2017-07-25",40,68.0625
"2017-07-26",39,71.1428571428571
"2017-07-27",50,72.6521739130435
"2017-07-28",42,73.8387096774194
"2017-07-29",70,69.8275862068966
"2017-07-30",23,73.2142857142857
"2017-07-31",20,74.9642857142857
"2017-08-01",29,75.1071428571429
"2017-08-02",25,74.3888888888889
"2017-08-03",26,75.2333333333333
"2017-08-04",20,72.40625
"2017-08-05",23,67.9285714285714
"2017-08-06",0,67.6785714285714
"2017-08-07",26,66.0263157894737
"2017-08-08",19,69.25
"2017-08-09",29,70.1428571428571
"2017-08-10",20,71.5666666666667
"2017-08-11",41,71.525
"2017-08-12",23,70.8333333333333
"2017-08-13",45,70.3214285714286
"2017-08-14",20,74.5
"2017-08-15",20,76.7407407407407
"2017-08-16",20,78.6071428571429
"2017-08-17",26,78.3809523809524
"2017-08-18",20,77.0588235294118
"2017-08-19",68,75.90625
"2017-08-20",22,76.4444444444444
"2017-08-21",38,80.5
"2017-08-22",29,77.1111111111111
"2017-08-23",29,68.9642857142857
"2017-08-24",20,65.8571428571429
"2017-08-25",34,64.6071428571429
"2017-08-26",34,65.2857142857143
"2017-08-27",22,67.7142857142857
"2017-08-28",20,69.8387096774194
"2017-08-29",19,70
"2017-08-30",19,68.1666666666667
"2017-08-31",39,68.9642857142857
