"date","gtrend.hits","temperature"
"2017-01-01",34,33.2083333333333
"2017-01-02",25,28.16
"2017-01-03",72,17.8709677419355
"2017-01-04",30,8.03448275862069
"2017-01-05",19,2.7
"2017-01-06",30,9.66666666666667
"2017-01-07",61,16.125
"2017-01-08",41,36.5416666666667
"2017-01-09",35,50.4166666666667
"2017-01-10",24,40.8260869565217
"2017-01-11",48,38.75
"2017-01-12",43,27.1333333333333
"2017-01-13",41,25.5925925925926
"2017-01-14",100,29.9166666666667
"2017-01-15",35,29.6
"2017-01-16",35,29.030303030303
"2017-01-17",26,30.0416666666667
"2017-01-18",47,35.5
"2017-01-19",55,37.9166666666667
"2017-01-20",53,34.5416666666667
"2017-01-21",66,30.5416666666667
"2017-01-22",26,33.875
"2017-01-23",35,38.2083333333333
"2017-01-24",35,24.8181818181818
"2017-01-25",35,18.4583333333333
"2017-01-26",79,18.625
"2017-01-27",88,22.8333333333333
"2017-01-28",20,34.1666666666667
"2017-01-29",17,41.4583333333333
"2017-01-30",58,46.2916666666667
"2017-01-31",35,46.2916666666667
"2017-02-01",35,24.2368421052632
"2017-02-02",48,20.75
"2017-02-03",34,21.3928571428571
"2017-02-04",40,45.4347826086956
"2017-02-05",29,44.2083333333333
"2017-02-06",63,47
"2017-02-07",64,49
"2017-02-08",41,47.75
"2017-02-09",36,53.4583333333333
"2017-02-10",60,62.125
"2017-02-11",27,47.36
"2017-02-12",47,36
"2017-02-13",41,36.9583333333333
"2017-02-14",27,34.6666666666667
"2017-02-15",48,43.5416666666667
"2017-02-16",28,51.5
"2017-02-17",20,46.9166666666667
"2017-02-18",60,49.5416666666667
"2017-02-19",35,49.4230769230769
"2017-02-20",40,47
"2017-02-21",40,58
"2017-02-22",58,45.5416666666667
"2017-02-23",64,24.46875
"2017-02-24",40,19.2307692307692
"2017-02-25",58,23.8333333333333
"2017-02-26",34,27.3333333333333
"2017-02-27",26,37.625
"2017-02-28",51,27.2142857142857
"2017-03-01",51,31.25
"2017-03-02",18,35.875
"2017-03-03",40,43.0833333333333
"2017-03-04",52,50.5833333333333
"2017-03-05",39,53.875
"2017-03-06",34,35.2916666666667
"2017-03-07",35,35.6666666666667
"2017-03-08",35,48.5416666666667
"2017-03-09",60,52.25
"2017-03-10",33,43.0434782608696
"2017-03-11",40,41.1153846153846
"2017-03-12",45,43.5
"2017-03-13",57,41.7916666666667
"2017-03-14",34,55.375
"2017-03-15",70,57.6666666666667
"2017-03-16",54,60.0833333333333
"2017-03-17",40,55.2916666666667
"2017-03-18",39,58.625
"2017-03-19",35,61.875
"2017-03-20",61,61.5416666666667
"2017-03-21",60,50.75
"2017-03-22",41,54.75
"2017-03-23",27,57.875
"2017-03-24",20,38.8846153846154
"2017-03-25",33,47.5833333333333
"2017-03-26",17,44.9615384615385
"2017-03-27",18,48
"2017-03-28",42,40.8214285714286
"2017-03-29",50,41
"2017-03-30",89,50.56
"2017-03-31",48,37.4411764705882
"2017-04-01",42,35.1785714285714
"2017-04-02",62,46.6153846153846
"2017-04-03",35,42.1282051282051
"2017-04-04",26,32.9722222222222
"2017-04-05",53,38.7083333333333
"2017-04-06",37,50
"2017-04-07",47,61.7083333333333
"2017-04-08",30,62.0833333333333
"2017-04-09",35,47.125
"2017-04-10",34,43.25
"2017-04-11",23,51.4166666666667
"2017-04-12",35,55.7083333333333
"2017-04-13",55,60.1666666666667
"2017-04-14",20,62.125
"2017-04-15",46,53.7916666666667
"2017-04-16",34,55
"2017-04-17",26,59.7916666666667
"2017-04-18",41,60.5
"2017-04-19",54,55.0967741935484
"2017-04-20",49,46.8571428571429
"2017-04-21",55,41.6896551724138
"2017-04-22",61,42.5925925925926
"2017-04-23",23,57.2916666666667
"2017-04-24",94,54.0416666666667
"2017-04-25",86,43.2
"2017-04-26",23,42.9259259259259
"2017-04-27",43,43.8387096774194
"2017-04-28",72,37.9615384615385
"2017-04-29",41,28.3703703703704
"2017-04-30",36,41
"2017-05-01",62,50
"2017-05-02",41,48.5172413793103
