"","date","hits","geo","time","keyword","gprop","category"
"1",2018-01-01,36,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"2",2018-01-02,26,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"3",2018-01-03,83,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"4",2018-01-04,32,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"5",2018-01-05,27,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"6",2018-01-06,43,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"7",2018-01-07,50,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"8",2018-01-08,44,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"9",2018-01-09,25,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"10",2018-01-10,32,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"11",2018-01-11,57,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"12",2018-01-12,26,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"13",2018-01-13,43,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"14",2018-01-14,77,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"15",2018-01-15,38,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"16",2018-01-16,38,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"17",2018-01-17,28,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"18",2018-01-18,44,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"19",2018-01-19,52,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"20",2018-01-20,57,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"21",2018-01-21,70,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"22",2018-01-22,31,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"23",2018-01-23,46,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"24",2018-01-24,37,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"25",2018-01-25,38,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"26",2018-01-26,91,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"27",2018-01-27,86,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"28",2018-01-28,21,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"29",2018-01-29,19,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"30",2018-01-30,56,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"31",2018-01-31,37,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"32",2018-02-01,31,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"33",2018-02-02,58,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"34",2018-02-03,36,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"35",2018-02-04,35,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"36",2018-02-05,31,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"37",2018-02-06,68,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"38",2018-02-07,55,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"39",2018-02-08,56,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"40",2018-02-09,79,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"41",2018-02-10,50,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"42",2018-02-11,36,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"43",2018-02-12,44,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"44",2018-02-13,25,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"45",2018-02-14,28,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"46",2018-02-15,57,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"47",2018-02-16,29,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"48",2018-02-17,29,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"49",2018-02-18,71,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"50",2018-02-19,44,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"51",2018-02-20,46,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"52",2018-02-21,49,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"53",2018-02-22,68,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"54",2018-02-23,51,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"55",2018-02-24,43,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"56",2018-02-25,48,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"57",2018-02-26,45,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"58",2018-02-27,43,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"59",2018-02-28,43,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"60",2018-03-01,72,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"61",2018-03-02,20,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"62",2018-03-03,56,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"63",2018-03-04,55,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"64",2018-03-05,48,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"65",2018-03-06,45,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"66",2018-03-07,37,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"67",2018-03-08,37,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"68",2018-03-09,51,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"69",2018-03-10,28,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"70",2018-03-11,43,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"71",2018-03-12,42,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"72",2018-03-13,61,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"73",2018-03-14,30,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"74",2018-03-15,75,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"75",2018-03-16,78,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"76",2018-03-17,21,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"77",2018-03-18,63,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"78",2018-03-19,37,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"79",2018-03-20,46,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"80",2018-03-21,55,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"81",2018-03-22,37,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"82",2018-03-23,49,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"83",2018-03-24,36,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"84",2018-03-25,29,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"85",2018-03-26,25,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"86",2018-03-27,25,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"87",2018-03-28,57,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"88",2018-03-29,29,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"89",2018-03-30,70,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"90",2018-03-31,81,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"91",2018-04-01,44,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"92",2018-04-02,66,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"93",2018-04-03,37,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"94",2018-04-04,28,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"95",2018-04-05,57,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"96",2018-04-06,52,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"97",2018-04-07,58,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"98",2018-04-08,35,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"99",2018-04-09,37,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"100",2018-04-10,27,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"101",2018-04-11,37,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"102",2018-04-12,38,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"103",2018-04-13,52,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"104",2018-04-14,33,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"105",2018-04-15,49,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"106",2018-04-16,43,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"107",2018-04-17,24,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
"108",2018-04-18,44,"US-CO-751","2018-01-01 2018-06-30",NA,"web",1236
