"date","gtrend.hits","temperature"
"2017-01-01",0,48.1081081081081
"2017-01-02",24,47.4583333333333
"2017-01-03",34,49.5454545454545
"2017-01-04",23,56.4583333333333
"2017-01-05",35,57.2083333333333
"2017-01-06",0,47.2916666666667
"2017-01-07",0,35.25
"2017-01-08",0,42.4583333333333
"2017-01-09",22,55.92
"2017-01-10",44,60.125
"2017-01-11",22,60.2916666666667
"2017-01-12",22,51.2916666666667
"2017-01-13",23,54.7916666666667
"2017-01-14",25,56.3225806451613
"2017-01-15",25,46.2361111111111
"2017-01-16",22,47.5833333333333
"2017-01-17",22,44.1875
"2017-01-18",0,41.8611111111111
"2017-01-19",22,50.375
"2017-01-20",22,50.59375
"2017-01-21",25,44.9464285714286
"2017-01-22",25,45.0416666666667
"2017-01-23",32,51.0416666666667
"2017-01-24",0,50.2
"2017-01-25",22,41.95
"2017-01-26",22,37.875
"2017-01-27",0,36.8333333333333
"2017-01-28",25,35.7916666666667
"2017-01-29",25,40
"2017-01-30",21,40.1428571428571
"2017-01-31",0,48.4583333333333
"2017-02-01",0,50.4166666666667
"2017-02-02",44,50.4166666666667
"2017-02-03",0,52.4166666666667
"2017-02-04",25,54.7916666666667
"2017-02-05",0,54.7916666666667
"2017-02-06",21,60.5416666666667
"2017-02-07",21,59.7407407407407
"2017-02-08",0,56.2916666666667
"2017-02-09",29,56.625
"2017-02-10",23,60.9166666666667
"2017-02-11",25,69.695652173913
"2017-02-12",24,56
"2017-02-13",42,43.8292682926829
"2017-02-14",32,43.6491228070175
"2017-02-15",22,43.2083333333333
"2017-02-16",43,46.5833333333333
"2017-02-17",0,57.125
"2017-02-18",37,54.8
"2017-02-19",50,51.0416666666667
"2017-02-20",43,54.5833333333333
"2017-02-21",21,57.5833333333333
"2017-02-22",43,64.9166666666667
"2017-02-23",0,63.8333333333333
"2017-02-24",23,52.4166666666667
"2017-02-25",62,53.4166666666667
"2017-02-26",24,53.7916666666667
"2017-02-27",56,56.2727272727273
"2017-02-28",32,60.9545454545455
"2017-03-01",28,52.1666666666667
"2017-03-02",0,51.9583333333333
"2017-03-03",22,53.5833333333333
"2017-03-04",0,57.375
"2017-03-05",0,64.7083333333333
"2017-03-06",20,65.375
"2017-03-07",30,58.2083333333333
"2017-03-08",21,56.8695652173913
"2017-03-09",0,61
"2017-03-10",22,64.7916666666667
"2017-03-11",25,66.1666666666667
"2017-03-12",35,61.0769230769231
"2017-03-13",40,62.7619047619048
"2017-03-14",0,65.75
"2017-03-15",35,67.8333333333333
"2017-03-16",29,68.4074074074074
"2017-03-17",34,68.6153846153846
"2017-03-18",25,68.9166666666667
"2017-03-19",24,74.3333333333333
"2017-03-20",21,72.32
"2017-03-21",0,72.0833333333333
"2017-03-22",0,72.875
"2017-03-23",43,66.8536585365854
"2017-03-24",0,60.5416666666667
"2017-03-25",25,63.6666666666667
"2017-03-26",50,66.125
"2017-03-27",21,67.3333333333333
"2017-03-28",0,58.5666666666667
"2017-03-29",43,57.75
"2017-03-30",22,64.75
"2017-03-31",23,69.1714285714286
