"date","gtrend.hits","temperature"
"2017-01-01",53,54
"2017-01-02",67,60.9756097560976
"2017-01-03",78,47.3870967741936
"2017-01-04",78,34.6666666666667
"2017-01-05",40,34.2121212121212
"2017-01-06",60,23.1842105263158
"2017-01-07",68,26.7916666666667
"2017-01-08",77,36.7916666666667
"2017-01-09",39,53.4166666666667
"2017-01-10",67,65.9166666666667
"2017-01-11",54,68.9583333333333
"2017-01-12",67,62
"2017-01-13",67,44.4054054054054
"2017-01-14",86,40.7741935483871
"2017-01-15",63,52.6164383561644
"2017-01-16",70,51.9268292682927
"2017-01-17",73,47.4166666666667
"2017-01-18",73,49.4888888888889
"2017-01-19",71,53.1891891891892
"2017-01-20",63,62
"2017-01-21",82,60
"2017-01-22",72,56
"2017-01-23",50,53.875
"2017-01-24",53,64.695652173913
"2017-01-25",71,48.6666666666667
"2017-01-26",66,42.2916666666667
"2017-01-27",50,43.625
"2017-01-28",62,46.2083333333333
"2017-01-29",72,54.75
"2017-01-30",93,62.4166666666667
"2017-01-31",63,65.0416666666667
"2017-02-01",74,62.9583333333333
"2017-02-02",69,44.3928571428571
"2017-02-03",55,44.9285714285714
"2017-02-04",61,49.9259259259259
"2017-02-05",51,59.0789473684211
"2017-02-06",55,71.1219512195122
"2017-02-07",52,69.8333333333333
"2017-02-08",45,58.72
"2017-02-09",33,47.4583333333333
"2017-02-10",55,63.4285714285714
"2017-02-11",52,73.1851851851852
"2017-02-12",54,66.2916666666667
"2017-02-13",49,58.3076923076923
"2017-02-14",61,45.66
"2017-02-15",30,48.7916666666667
"2017-02-16",100,53.4166666666667
"2017-02-17",45,60.1923076923077
"2017-02-18",46,66.5357142857143
"2017-02-19",75,67.8571428571429
"2017-02-20",73,60.7209302325581
"2017-02-21",52,61.8076923076923
"2017-02-22",69,65.7083333333333
"2017-02-23",59,72.2173913043478
"2017-02-24",68,55.2083333333333
"2017-02-25",52,44.5416666666667
"2017-02-26",76,56.2
"2017-02-27",44,68.25
"2017-02-28",54,73.7777777777778
"2017-03-01",60,59.4583333333333
"2017-03-02",63,54.2916666666667
"2017-03-03",64,56.6666666666667
"2017-03-04",42,54.225
"2017-03-05",64,58.6101694915254
"2017-03-06",65,72.7948717948718
"2017-03-07",57,64.2592592592593
"2017-03-08",67,62.1666666666667
"2017-03-09",81,70.4666666666667
"2017-03-10",72,64.8666666666667
"2017-03-11",46,60.8611111111111
"2017-03-12",51,48.1724137931034
"2017-03-13",44,53.5666666666667
"2017-03-14",67,51.875
"2017-03-15",55,56.3333333333333
"2017-03-16",83,65.5
"2017-03-17",74,72.5333333333333
"2017-03-18",60,72.3
"2017-03-19",73,73.6551724137931
"2017-03-20",62,75.5714285714286
"2017-03-21",75,74.4166666666667
"2017-03-22",77,74.3928571428571
"2017-03-23",68,73.8461538461538
"2017-03-24",52,69.7096774193548
"2017-03-25",50,62.7916666666667
"2017-03-26",49,70.75
"2017-03-27",70,65.2413793103448
"2017-03-28",83,70.84375
"2017-03-29",50,66.0857142857143
"2017-03-30",66,64.4583333333333
"2017-03-31",55,70
"2017-04-01",64,67.9032258064516
"2017-04-02",73,61.765625
"2017-04-03",47,63.9655172413793
"2017-04-04",80,71.8461538461538
"2017-04-05",55,58.875
"2017-04-06",43,64.32
"2017-04-07",44,67.2083333333333
"2017-04-08",38,71.625
"2017-04-09",62,74.1538461538462
"2017-04-10",53,70.9387755102041
"2017-04-11",64,67.027027027027
"2017-04-12",62,67.7058823529412
"2017-04-13",94,70.7878787878788
"2017-04-14",69,72.3333333333333
"2017-04-15",54,73.1612903225806
"2017-04-16",42,73.5151515151515
"2017-04-17",50,68.225
"2017-04-18",42,68.7272727272727
"2017-04-19",45,72.8666666666667
"2017-04-20",60,74.6129032258064
"2017-04-21",71,73.8484848484848
"2017-04-22",32,57.2702702702703
"2017-04-23",62,62
"2017-04-24",52,66.9166666666667
"2017-04-25",92,75.84
"2017-04-26",42,65.1063829787234
"2017-04-27",57,65
"2017-04-28",52,77.8888888888889
"2017-04-29",62,71.5294117647059
"2017-04-30",53,56.1333333333333
"2017-05-01",67,66.0833333333333
"2017-05-02",45,75.7916666666667
"2017-05-03",52,71.3714285714286
"2017-05-04",65,63.6666666666667
"2017-05-05",42,67.7916666666667
"2017-05-06",44,73
"2017-05-07",63,76.25
"2017-05-08",47,75.2592592592593
"2017-05-09",32,74.9166666666667
"2017-05-10",68,75.4242424242424
"2017-05-11",61,75.75
"2017-05-12",53,70.8333333333333
"2017-05-13",38,72.1666666666667
"2017-05-14",68,78.5416666666667
"2017-05-15",47,80.375
"2017-05-16",51,77.1785714285714
"2017-05-17",65,75.2307692307692
"2017-05-18",48,83.25
"2017-05-19",62,78.8
"2017-05-20",54,71.2857142857143
