"date","gtrend.hits","temperature"
"2017-01-01",30,46.2545454545455
"2017-01-02",25,46.3720930232558
"2017-01-03",40,46.0196078431373
"2017-01-04",24,49.7446808510638
"2017-01-05",48,35.6129032258064
"2017-01-06",37,33.0212765957447
"2017-01-07",43,24.18
"2017-01-08",26,17.5625
"2017-01-09",34,18.4375
"2017-01-10",23,30.6875
"2017-01-11",46,43.1714285714286
"2017-01-12",23,54.7179487179487
"2017-01-13",47,60.53125
"2017-01-14",39,46.8333333333333
"2017-01-15",43,50.6666666666667
"2017-01-16",46,47.4571428571429
"2017-01-17",56,52.5333333333333
"2017-01-18",22,58.9677419354839
"2017-01-19",0,48.75
"2017-01-20",58,50.2037037037037
"2017-01-21",78,52.7936507936508
"2017-01-22",77,52.0384615384615
"2017-01-23",22,48.5151515151515
"2017-01-24",45,47.9411764705882
"2017-01-25",45,52.71875
"2017-01-26",22,54.4848484848485
"2017-01-27",47,38
"2017-01-28",27,37.5625
"2017-01-29",26,40.0625
"2017-01-30",22,35.625
"2017-01-31",34,48.125
"2017-02-01",22,50.53125
"2017-02-02",34,49.5
"2017-02-03",23,39.03125
"2017-02-04",26,31.09375
"2017-02-05",38,40.3611111111111
"2017-02-06",44,51.53125
"2017-02-07",22,61.2941176470588
"2017-02-08",45,56.9166666666667
"2017-02-09",23,44.8918918918919
"2017-02-10",31,36.5
"2017-02-11",0,58.15625
"2017-02-12",25,67.3636363636364
"2017-02-13",33,49.59375
"2017-02-14",22,46.6060606060606
"2017-02-15",45,45.8157894736842
"2017-02-16",22,41.40625
"2017-02-17",22,51.25
"2017-02-18",25,54.15625
"2017-02-19",38,56.53125
"2017-02-20",56,57.40625
"2017-02-21",22,55.28125
"2017-02-22",0,54.1296296296296
"2017-02-23",0,56.0634920634921
"2017-02-24",23,62.3939393939394
"2017-02-25",34,62.0833333333333
"2017-02-26",37,42.78125
"2017-02-27",43,49.6875
"2017-02-28",37,60.375
"2017-03-01",21,63.35
"2017-03-02",21,48.78125
"2017-03-03",45,41.5
"2017-03-04",25,40.15625
"2017-03-05",58,41.1875
"2017-03-06",43,48.5
"2017-03-07",21,58.4857142857143
"2017-03-08",22,59.0263157894737
"2017-03-09",43,58.15625
"2017-03-10",34,51.375
"2017-03-11",26,40.375
"2017-03-12",24,39.65625
"2017-03-13",31,35.225
"2017-03-14",89,37.2571428571429
"2017-03-15",33,28.53125
"2017-03-16",22,34.375
"2017-03-17",47,41.6875
"2017-03-18",26,52.8055555555556
"2017-03-19",50,46.8125
"2017-03-20",22,50
"2017-03-21",22,67
"2017-03-22",44,53.6875
"2017-03-23",22,43.9375
"2017-03-24",46,53.21875
"2017-03-25",26,62.90625
"2017-03-26",25,61.2941176470588
"2017-03-27",22,64.9512195121951
"2017-03-28",66,65.1162790697674
"2017-03-29",22,63.96875
"2017-03-30",23,59.2142857142857
"2017-03-31",23,62.6078431372549
"2017-04-01",34,59.4375
"2017-04-02",26,55.625
"2017-04-03",22,59.5744680851064
"2017-04-04",37,66.4473684210526
"2017-04-05",22,62
"2017-04-06",45,56.9782608695652
"2017-04-07",46,48.53125
"2017-04-08",26,51.8125
"2017-04-09",0,58.90625
"2017-04-10",23,63.6875
"2017-04-11",34,67.4375
"2017-04-12",23,68.3125
"2017-04-13",48,68.125
"2017-04-14",25,65.3157894736842
"2017-04-15",26,71.34375
"2017-04-16",40,70.875
"2017-04-17",23,69.03125
"2017-04-18",29,64.0285714285714
"2017-04-19",22,54.9318181818182
"2017-04-20",45,63
"2017-04-21",47,72
"2017-04-22",0,65.5454545454545
"2017-04-23",100,49.9
"2017-04-24",29,50.859649122807
"2017-04-25",22,57.62
"2017-04-26",44,65.5675675675676
"2017-04-27",55,68.4117647058823
"2017-04-28",35,71.9166666666667
"2017-04-29",44,76.6216216216216
"2017-04-30",51,73.0277777777778
"2017-05-01",0,70.7560975609756
"2017-05-02",44,64.96875
"2017-05-03",33,66.1875
"2017-05-04",22,64.4857142857143
"2017-05-05",23,63.9272727272727
"2017-05-06",26,54.8181818181818
"2017-05-07",51,55.53125
"2017-05-08",22,58.34375
"2017-05-09",0,56.2051282051282
