"date","gtrend.hits","temperature"
"2017-01-01",0,43
"2017-01-02",48,38.4666666666667
"2017-01-03",0,41.0204081632653
"2017-01-04",46,42.5161290322581
"2017-01-05",47,29.4230769230769
"2017-01-06",32,27.3095238095238
"2017-01-07",68,22.375
"2017-01-08",0,18.9583333333333
"2017-01-09",30,19.4583333333333
"2017-01-10",30,27.92
"2017-01-11",29,40.1612903225806
"2017-01-12",90,54.7647058823529
"2017-01-13",31,44
"2017-01-14",34,31.0909090909091
"2017-01-15",33,33.0689655172414
"2017-01-16",45,31.5925925925926
"2017-01-17",58,39.1395348837209
"2017-01-18",29,43.2553191489362
"2017-01-19",29,43.5806451612903
"2017-01-20",0,38.5853658536585
"2017-01-21",33,43.5423728813559
"2017-01-22",50,45.6101694915254
"2017-01-23",29,40.925
"2017-01-24",58,39.8857142857143
"2017-01-25",29,48.44
"2017-01-26",0,44.2916666666667
"2017-01-27",62,38.2916666666667
"2017-01-28",34,36.8333333333333
"2017-01-29",33,36.125
"2017-01-30",0,30.2941176470588
"2017-01-31",58,31.6551724137931
"2017-02-01",43,43.125
"2017-02-02",29,36.2083333333333
"2017-02-03",76,28.625
"2017-02-04",33,28.75
"2017-02-05",0,38.8333333333333
"2017-02-06",29,45.5
"2017-02-07",57,43.0909090909091
"2017-02-08",29,45.025
"2017-02-09",58,30.9411764705882
"2017-02-10",30,27.0833333333333
"2017-02-11",33,38.2083333333333
"2017-02-12",0,38.4255319148936
"2017-02-13",0,35.5833333333333
"2017-02-14",58,36.2916666666667
"2017-02-15",29,36.8333333333333
"2017-02-16",29,32.875
"2017-02-17",29,33.5
"2017-02-18",33,47.3181818181818
"2017-02-19",50,60.4166666666667
"2017-02-20",0,51.5833333333333
"2017-02-21",43,44.4166666666667
"2017-02-22",43,51
"2017-02-23",29,55.5945945945946
"2017-02-24",90,65.7083333333333
"2017-02-25",67,59.475
"2017-02-26",32,36.1666666666667
"2017-02-27",42,40.0416666666667
"2017-02-28",43,52.3214285714286
"2017-03-01",28,59.5454545454545
"2017-03-02",42,42.9166666666667
"2017-03-03",29,30.8529411764706
"2017-03-04",32,28.7916666666667
"2017-03-05",48,26.5416666666667
"2017-03-06",28,41
"2017-03-07",0,47.6486486486486
"2017-03-08",29,55.44
"2017-03-09",29,57.25
"2017-03-10",60,34.7142857142857
"2017-03-11",0,25.8333333333333
"2017-03-12",62,28.0416666666667
"2017-03-13",40,30.0333333333333
"2017-03-14",56,29.42
"2017-03-15",0,23.8780487804878
"2017-03-16",29,31.4583333333333
"2017-03-17",30,36.25
"2017-03-18",0,37.972972972973
"2017-03-19",33,38.3611111111111
"2017-03-20",57,41.5
"2017-03-21",57,48.6666666666667
"2017-03-22",28,39.2916666666667
"2017-03-23",43,35.3333333333333
"2017-03-24",30,46.4583333333333
"2017-03-25",68,59.7083333333333
"2017-03-26",66,45.5476190476191
"2017-03-27",29,48.175
"2017-03-28",58,54.4807692307692
"2017-03-29",44,52.8571428571429
"2017-03-30",58,44.7857142857143
"2017-03-31",30,42.1538461538462
"2017-04-01",50,47.0645161290323
"2017-04-02",66,51.7916666666667
"2017-04-03",29,54.1034482758621
"2017-04-04",86,60.8648648648649
"2017-04-05",86,59.2916666666667
"2017-04-06",29,47.9649122807018
"2017-04-07",0,43.6521739130435
"2017-04-08",67,49.3333333333333
"2017-04-09",68,55.4583333333333
"2017-04-10",59,65.84
"2017-04-11",29,69.7083333333333
"2017-04-12",60,66
"2017-04-13",31,55.375
"2017-04-14",33,56.75
"2017-04-15",0,61.4615384615385
"2017-04-16",35,69.7391304347826
"2017-04-17",30,67.0416666666667
"2017-04-18",43,59.5833333333333
"2017-04-19",0,55.2333333333333
"2017-04-20",29,64.8823529411765
"2017-04-21",45,63.0731707317073
"2017-04-22",67,55.9117647058824
"2017-04-23",49,54.5416666666667
"2017-04-24",29,53.625
"2017-04-25",58,55.7297297297297
"2017-04-26",28,59.6
"2017-04-27",29,64.0697674418605
"2017-04-28",45,70.2758620689655
"2017-04-29",68,69.9230769230769
"2017-04-30",0,67.4444444444444
"2017-05-01",0,63.7
"2017-05-02",0,65.6896551724138
"2017-05-03",100,57.2916666666667
"2017-05-04",0,55.76
"2017-05-05",30,59.4666666666667
"2017-05-06",0,54.9210526315789
"2017-05-07",66,51.75
"2017-05-08",29,50.44
"2017-05-09",28,54.0416666666667
"2017-05-10",0,59
"2017-05-11",0,53.0357142857143
"2017-05-12",45,54.09375
"2017-05-13",0,51.4642857142857
"2017-05-14",68,58.52
"2017-05-15",30,62.3333333333333
"2017-05-16",61,65.375
"2017-05-17",31,75.5416666666667
"2017-05-18",31,82
"2017-05-19",0,80.6538461538462
"2017-05-20",36,60.1379310344828
"2017-05-21",35,61.9583333333333
"2017-05-22",46,60.1842105263158
"2017-05-23",30,59.5
"2017-05-24",31,63.76
"2017-05-25",0,59.8653846153846
"2017-05-26",66,65.7916666666667
"2017-05-27",0,64.2083333333333
"2017-05-28",37,64.2075471698113
"2017-05-29",48,64.8780487804878
"2017-05-30",30,61.8666666666667
"2017-05-31",30,68
"2017-06-01",0,68.5416666666667
"2017-06-02",0,68.0416666666667
"2017-06-03",36,67.0416666666667
"2017-06-04",0,62.8333333333333
"2017-06-05",31,67.551724137931
"2017-06-06",60,67.3225806451613
"2017-06-07",30,58.1463414634146
"2017-06-08",30,64.28
"2017-06-09",32,70.9166666666667
"2017-06-10",36,77.125
"2017-06-11",0,80.7083333333333
"2017-06-12",30,81.4166666666667
"2017-06-13",0,84.4583333333333
"2017-06-14",61,81
"2017-06-15",31,77.5833333333333
"2017-06-16",64,73.1935483870968
"2017-06-17",0,76.8064516129032
"2017-06-18",0,83.3448275862069
"2017-06-19",30,77.1212121212121
"2017-06-20",29,75.0833333333333
"2017-06-21",89,72.2592592592593
"2017-06-22",59,77
"2017-06-23",62,76.4705882352941
"2017-06-24",36,75.5714285714286
"2017-06-25",73,74.1666666666667
"2017-06-26",0,69.7083333333333
"2017-06-27",79,67.375
"2017-06-28",32,69.32
"2017-06-29",94,78.25
"2017-06-30",33,82.3225806451613
"2017-07-01",100,78.9411764705882
"2017-07-02",0,80.75
"2017-07-03",29,79.7391304347826
"2017-07-04",0,79.4166666666667
"2017-07-05",29,77.0833333333333
"2017-07-06",29,72.8378378378378
"2017-07-07",30,73.6666666666667
"2017-07-08",34,75
"2017-07-09",34,72.5
"2017-07-10",28,76.0833333333333
"2017-07-11",57,78.2758620689655
"2017-07-12",43,80.9166666666667
"2017-07-13",29,81.5416666666667
"2017-07-14",30,77.7551020408163
"2017-07-15",0,76.9666666666667
"2017-07-16",50,76.0833333333333
"2017-07-17",0,77.6666666666667
"2017-07-18",86,79.7692307692308
"2017-07-19",0,80.8571428571429
"2017-07-20",57,83.8333333333333
"2017-07-21",59,84.3333333333333
"2017-07-22",66,79.962962962963
"2017-07-23",65,77.78
"2017-07-24",56,75.9210526315789
"2017-07-25",28,71.625
"2017-07-26",42,71.9333333333333
"2017-07-27",28,75.1538461538462
"2017-07-28",59,74.1777777777778
"2017-07-29",33,73.1153846153846
"2017-07-30",0,72.0833333333333
"2017-07-31",42,76.4166666666667
"2017-08-01",0,79.3333333333333
"2017-08-02",40,76.1818181818182
"2017-08-03",28,75.96875
"2017-08-04",57,73.7794117647059
"2017-08-05",0,70.4444444444444
"2017-08-06",33,68.0833333333333
"2017-08-07",41,67.0444444444445
"2017-08-08",79,70.8666666666667
"2017-08-09",0,71.375
"2017-08-10",28,72.5833333333333
"2017-08-11",29,73.6341463414634
"2017-08-12",32,71.25
"2017-08-13",80,71.9615384615385
"2017-08-14",28,69.4642857142857
"2017-08-15",29,71.8275862068966
"2017-08-16",28,72.95
"2017-08-17",28,77.0416666666667
"2017-08-18",29,80.8536585365854
"2017-08-19",0,75.7037037037037
"2017-08-20",0,73.5
"2017-08-21",41,77.48
"2017-08-22",0,79.972972972973
"2017-08-23",55,74.6666666666667
"2017-08-24",55,69.6666666666667
"2017-08-25",0,69.7083333333333
"2017-08-26",0,68.4166666666667
"2017-08-27",0,67.25
"2017-08-28",28,67.375
"2017-08-29",0,62.9090909090909
"2017-08-30",27,67.1071428571429
"2017-08-31",56,71.3333333333333
"2017-09-01",0,61.5
"2017-09-02",0,55.6744186046512
"2017-09-03",79,63.6428571428571
"2017-09-04",28,70.5
"2017-09-05",0,69.7
"2017-09-06",41,62.25
"2017-09-07",56,60.2564102564103
"2017-09-08",0,61.25
"2017-09-09",31,58.4166666666667
"2017-09-10",31,60.0416666666667
"2017-09-11",40,60.5
"2017-09-12",0,64.9583333333333
