"date","gtrend.hits","temperature"
"2017-01-01",33,71.1071428571429
"2017-01-02",27,72.0357142857143
"2017-01-03",39,70.6071428571429
"2017-01-04",26,70.9285714285714
"2017-01-05",27,70.2857142857143
"2017-01-06",0,70.3214285714286
"2017-01-07",29,69.4137931034483
"2017-01-08",26,69.9642857142857
"2017-01-09",0,71.0357142857143
"2017-01-10",51,72.8214285714286
"2017-01-11",52,74.0714285714286
"2017-01-12",27,74.5483870967742
"2017-01-13",73,74.5
"2017-01-14",58,74.6071428571429
"2017-01-15",25,74.4642857142857
"2017-01-16",38,74.8571428571429
"2017-01-17",25,76.2857142857143
"2017-01-18",25,76.28125
"2017-01-19",40,74.5
"2017-01-20",29,74.7142857142857
"2017-01-21",0,72.5357142857143
"2017-01-22",38,74.1071428571429
"2017-01-23",25,75.3333333333333
"2017-01-24",88,73.21875
"2017-01-25",26,74.7142857142857
"2017-01-26",26,74.3846153846154
"2017-01-27",44,72.8214285714286
"2017-01-28",58,71.6785714285714
"2017-01-29",50,71.5714285714286
"2017-01-30",25,71.4285714285714
"2017-01-31",0,71.2857142857143
"2017-02-01",25,71.1785714285714
"2017-02-02",52,70.2142857142857
"2017-02-03",44,72.3214285714286
"2017-02-04",29,74.8333333333333
"2017-02-05",25,77.0322580645161
"2017-02-06",25,74
"2017-02-07",0,73.1
"2017-02-08",26,70.1071428571429
"2017-02-09",0,70.1428571428571
"2017-02-10",29,73.4666666666667
"2017-02-11",29,70.2845528455285
"2017-02-12",0,74.4857142857143
"2017-02-13",51,76.3214285714286
"2017-02-14",26,77.25
"2017-02-15",26,76.5
"2017-02-16",27,75.9285714285714
"2017-02-17",29,75.5714285714286
"2017-02-18",29,75.3928571428571
"2017-02-19",51,72.8571428571429
"2017-02-20",25,73.3928571428571
"2017-02-21",100,72.4117647058823
"2017-02-22",25,74.5
"2017-02-23",39,73.2142857142857
"2017-02-24",57,71.7
"2017-02-25",38,69.9285714285714
"2017-02-26",25,73.1071428571429
"2017-02-27",50,75.4193548387097
"2017-02-28",37,71.2884615384615
