"date","gtrend.hits","temperature"
"2017-01-01",0,64.188679245283
"2017-01-02",31,62.8888888888889
"2017-01-03",30,61.5185185185185
"2017-01-04",30,45.8275862068966
"2017-01-05",0,42.093023255814
"2017-01-06",0,29.6981132075472
"2017-01-07",100,23.76
"2017-01-08",0,27.5
"2017-01-09",0,42.5
"2017-01-10",30,61.625
"2017-01-11",29,66.2142857142857
"2017-01-12",30,67.741935483871
"2017-01-13",33,67.0243902439024
"2017-01-14",33,59.2380952380952
"2017-01-15",0,61.75
"2017-01-16",29,66.625
"2017-01-17",28,67.6315789473684
"2017-01-18",0,63.7608695652174
"2017-01-19",30,61.3333333333333
"2017-01-20",0,62.1333333333333
"2017-01-21",33,63.6590909090909
"2017-01-22",43,55.6486486486486
"2017-01-23",29,52
"2017-01-24",57,53.9166666666667
"2017-01-25",0,62.5135135135135
"2017-01-26",0,47.25
"2017-01-27",0,40.625
"2017-01-28",33,45.875
"2017-01-29",29,47.75
"2017-01-30",0,53.8
"2017-01-31",29,62.5416666666667
"2017-02-01",0,62.5
"2017-02-02",60,54.8536585365854
"2017-02-03",33,43.78125
"2017-02-04",0,45.96
"2017-02-05",0,52.4
"2017-02-06",0,63.6923076923077
"2017-02-07",0,65.8125
"2017-02-08",29,68.1875
"2017-02-09",30,45.6538461538462
"2017-02-10",0,57.8333333333333
"2017-02-11",33,69.3939393939394
"2017-02-12",30,69.9705882352941
"2017-02-13",29,57.5
"2017-02-14",30,60.8148148148148
"2017-02-15",60,48.78125
"2017-02-16",30,48.7916666666667
"2017-02-17",33,53.0416666666667
"2017-02-18",0,56.4594594594595
"2017-02-19",29,62
"2017-02-20",29,68.4137931034483
"2017-02-21",28,61.2307692307692
"2017-02-22",29,56.2619047619048
"2017-02-23",30,64.3846153846154
"2017-02-24",0,67.0882352941177
"2017-02-25",32,50
"2017-02-26",28,53.5416666666667
"2017-02-27",28,58.1929824561403
"2017-02-28",56,72.4
"2017-03-01",28,69.4242424242424
"2017-03-02",89,53.125
"2017-03-03",0,52.6666666666667
"2017-03-04",32,56
"2017-03-05",29,59.8620689655172
"2017-03-06",0,67.2432432432432
"2017-03-07",0,63.6136363636364
"2017-03-08",28,57.9230769230769
"2017-03-09",0,66.1153846153846
"2017-03-10",33,64.7045454545455
"2017-03-11",32,48.8888888888889
