"date","gtrend.hits","temperature"
"2017-01-01",0,67.8333333333333
"2017-01-02",76,70.2142857142857
"2017-01-03",59,70.7222222222222
"2017-01-04",59,65.4166666666667
"2017-01-05",30,61.1666666666667
"2017-01-06",49,62.1111111111111
"2017-01-07",98,50.7142857142857
"2017-01-08",29,39
"2017-01-09",29,45.9230769230769
"2017-01-10",29,55.5833333333333
"2017-01-11",29,61
"2017-01-12",30,64.3333333333333
"2017-01-13",65,64.9583333333333
"2017-01-14",32,64.1
"2017-01-15",57,63.72
"2017-01-16",28,67.1666666666667
"2017-01-17",28,66.36
"2017-01-18",0,68.3333333333333
"2017-01-19",30,65.5384615384615
"2017-01-20",0,71.4583333333333
"2017-01-21",32,69.3428571428571
"2017-01-22",28,71.8823529411765
"2017-01-23",56,60.8333333333333
"2017-01-24",28,61.625
"2017-01-25",48,61.5185185185185
"2017-01-26",30,65.9354838709677
"2017-01-27",33,55.375
"2017-01-28",32,48
"2017-01-29",56,52.5833333333333
"2017-01-30",28,52.8333333333333
"2017-01-31",28,58.4583333333333
"2017-02-01",43,59.1935483870968
"2017-02-02",39,61.5833333333333
"2017-02-03",99,65.2916666666667
"2017-02-04",32,56.1785714285714
"2017-02-05",28,55.8611111111111
"2017-02-06",28,62.0833333333333
"2017-02-07",70,66.5666666666667
"2017-02-08",57,67.92
"2017-02-09",58,68.9642857142857
"2017-02-10",33,54.4583333333333
"2017-02-11",0,63.9166666666667
"2017-02-12",29,64.6363636363636
"2017-02-13",57,65.375
"2017-02-14",43,66.3333333333333
"2017-02-15",48,68.6969696969697
"2017-02-16",30,58.0416666666667
"2017-02-17",49,58.0416666666667
"2017-02-18",0,63.304347826087
"2017-02-19",28,67.5
"2017-02-20",56,66.75
"2017-02-21",0,68.0384615384615
"2017-02-22",28,66.3783783783784
"2017-02-23",44,69
"2017-02-24",0,68.7142857142857
"2017-02-25",0,68.7105263157895
"2017-02-26",55,60.4583333333333
"2017-02-27",28,69.2916666666667
"2017-02-28",41,73.9166666666667
"2017-03-01",27,76.1666666666667
"2017-03-02",29,65.7647058823529
"2017-03-03",32,58
"2017-03-04",32,58.25
"2017-03-05",27,62.125
"2017-03-06",64,66.25
"2017-03-07",28,68.75
"2017-03-08",28,71.125
"2017-03-09",29,69.3333333333333
"2017-03-10",43,68.9583333333333
"2017-03-11",32,64.375
"2017-03-12",28,61.28
"2017-03-13",42,57.9032258064516
"2017-03-14",28,51.4827586206897
"2017-03-15",28,46.9166666666667
"2017-03-16",0,48.2083333333333
"2017-03-17",32,55
"2017-03-18",47,63.9583333333333
"2017-03-19",56,61.25
"2017-03-20",28,60.9166666666667
"2017-03-21",0,70.1666666666667
"2017-03-22",28,70.1481481481482
"2017-03-23",59,66.2916666666667
"2017-03-24",33,67.5
"2017-03-25",33,69.125
"2017-03-26",28,70.5833333333333
"2017-03-27",57,71.7916666666667
"2017-03-28",58,74.4166666666667
"2017-03-29",60,74.375
"2017-03-30",32,77.52
"2017-03-31",33,77.28
"2017-04-01",0,73.0416666666667
"2017-04-02",0,74.8333333333333
"2017-04-03",28,76.6
"2017-04-04",28,70.4
"2017-04-05",29,79.75
"2017-04-06",30,71
"2017-04-07",66,62.2916666666667
"2017-04-08",48,62.375
"2017-04-09",42,64.7916666666667
"2017-04-10",69,70.8333333333333
"2017-04-11",28,71.125
"2017-04-12",0,70.875
"2017-04-13",89,72
"2017-04-14",0,72.9166666666667
"2017-04-15",75,73.9166666666667
"2017-04-16",28,73.6666666666667
"2017-04-17",28,74.0833333333333
"2017-04-18",28,74.4583333333333
"2017-04-19",38,74.3076923076923
"2017-04-20",30,75.375
"2017-04-21",44,74.1666666666667
"2017-04-22",32,77
"2017-04-23",28,77.64
"2017-04-24",65,70.25
"2017-04-25",28,70.4583333333333
"2017-04-26",28,73
"2017-04-27",0,80.1666666666667
"2017-04-28",89,81.4166666666667
"2017-04-29",49,79.4666666666667
"2017-04-30",29,79.1481481481482
"2017-05-01",30,82.1428571428571
"2017-05-02",28,77.04
"2017-05-03",56,75.9583333333333
"2017-05-04",30,76.8965517241379
"2017-05-05",33,69.6666666666667
"2017-05-06",0,66.4166666666667
"2017-05-07",43,72.5
"2017-05-08",28,73.1666666666667
"2017-05-09",56,75.6666666666667
"2017-05-10",29,81.0833333333333
"2017-05-11",59,82.1666666666667
"2017-05-12",66,79.8333333333333
"2017-05-13",33,76.1176470588235
"2017-05-14",56,73.96875
"2017-05-15",28,78.25
"2017-05-16",0,78.875
"2017-05-17",38,79.875
"2017-05-18",30,79.0416666666667
"2017-05-19",44,79.8461538461538
"2017-05-20",100,82.6666666666667
"2017-05-21",58,79.9259259259259
"2017-05-22",42,77.9428571428571
"2017-05-23",47,78.4285714285714
"2017-05-24",29,73.2291666666667
"2017-05-25",30,74.5
"2017-05-26",50,75.625
"2017-05-27",44,80.0833333333333
"2017-05-28",44,79.3939393939394
"2017-05-29",38,85.1666666666667
"2017-05-30",66,80
"2017-05-31",58,78.6
"2017-06-01",30,79.6785714285714
"2017-06-02",34,76.6285714285714
"2017-06-03",0,79.0833333333333
"2017-06-04",38,80.9166666666667
"2017-06-05",38,80.3846153846154
"2017-06-06",29,75.9047619047619
"2017-06-07",43,75.2156862745098
"2017-06-08",59,71.8
"2017-06-09",0,75.875
"2017-06-10",33,80.36
"2017-06-11",27,80.0333333333333
"2017-06-12",26,77.3333333333333
"2017-06-13",26,78.7647058823529
"2017-06-14",37,77.7560975609756
"2017-06-15",30,78.2571428571429
"2017-06-16",67,76.5625
"2017-06-17",0,79.2058823529412
"2017-06-18",28,82.16
"2017-06-19",37,79.1071428571429
"2017-06-20",28,81.1481481481482
"2017-06-21",57,83.0588235294118
"2017-06-22",29,83.5384615384615
"2017-06-23",33,84.8333333333333
"2017-06-24",76,86.7083333333333
"2017-06-25",28,83.3529411764706
"2017-06-26",69,79.3421052631579
"2017-06-27",42,78.5135135135135
"2017-06-28",56,80.7692307692308
"2017-06-29",76,81.9310344827586
"2017-06-30",0,83.6153846153846
"2017-07-01",97,84.2222222222222
"2017-07-02",42,85.7692307692308
"2017-07-03",28,85.6923076923077
"2017-07-04",0,86.4615384615385
"2017-07-05",44,87.0416666666667
"2017-07-06",57,87.1538461538462
"2017-07-07",64,87.6153846153846
"2017-07-08",65,85.8148148148148
"2017-07-09",28,80.8461538461538
"2017-07-10",81,81.5384615384615
"2017-07-11",0,82.90625
"2017-07-12",29,84.875
"2017-07-13",30,85.1785714285714
"2017-07-14",34,85.5
"2017-07-15",33,85.9259259259259
"2017-07-16",57,82.551724137931
"2017-07-17",57,81.3703703703704
"2017-07-18",0,82.9583333333333
"2017-07-19",87,83.4333333333333
"2017-07-20",30,83.4230769230769
"2017-07-21",0,84.8333333333333
"2017-07-22",50,80.0666666666667
"2017-07-23",43,78.7878787878788
"2017-07-24",29,84.1379310344828
"2017-07-25",57,86.125
"2017-07-26",29,84.4137931034483
"2017-07-27",0,80.1714285714286
"2017-07-28",33,86.0416666666667
"2017-07-29",33,84.8333333333333
"2017-07-30",57,78.1190476190476
"2017-07-31",28,81.125
"2017-08-01",28,80.7916666666667
"2017-08-02",27,79.7222222222222
"2017-08-03",89,79.875
"2017-08-04",33,82.5
"2017-08-05",0,83.1666666666667
"2017-08-06",84,84.6666666666667
"2017-08-07",27,84.7666666666667
"2017-08-08",28,82.3333333333333
"2017-08-09",56,80.7857142857143
"2017-08-10",29,84.28
"2017-08-11",32,85.2916666666667
"2017-08-12",63,83.8275862068966
"2017-08-13",42,82.6060606060606
"2017-08-14",56,83.6666666666667
"2017-08-15",29,85
"2017-08-16",43,86
"2017-08-17",87,83.5357142857143
"2017-08-18",50,81.8620689655172
