"date","gtrend.hits","temperature"
"2017-01-01",0,43.9428571428571
"2017-01-02",0,52.0394736842105
"2017-01-03",0,52.0833333333333
"2017-01-04",0,31.4
"2017-01-05",68,29
"2017-01-06",0,19.8571428571429
"2017-01-07",0,16.625
"2017-01-08",0,20.1666666666667
"2017-01-09",0,33.2142857142857
"2017-01-10",0,54.5483870967742
"2017-01-11",66,58.82
"2017-01-12",68,58.5161290322581
"2017-01-13",0,37.2790697674419
"2017-01-14",73,40.0232558139535
"2017-01-15",0,41
"2017-01-16",64,56.2666666666667
"2017-01-17",0,49.0588235294118
"2017-01-18",64,44.2258064516129
"2017-01-19",0,50.7
"2017-01-20",0,56.8
"2017-01-21",0,59.5185185185185
"2017-01-22",0,55.2307692307692
"2017-01-23",0,45.8064516129032
"2017-01-24",64,46.5833333333333
"2017-01-25",0,54.5666666666667
"2017-01-26",0,37.9642857142857
"2017-01-27",0,38.5833333333333
"2017-01-28",0,42.0833333333333
"2017-01-29",0,44.625
"2017-01-30",0,47.25
"2017-01-31",0,52.125
"2017-02-01",64,48.3333333333333
"2017-02-02",100,38.0833333333333
"2017-02-03",0,35.32
"2017-02-04",72,34.44
"2017-02-05",0,45.8
"2017-02-06",0,57.7380952380952
"2017-02-07",64,64.6744186046512
"2017-02-08",0,48.3333333333333
"2017-02-09",0,33
"2017-02-10",0,48.125
"2017-02-11",0,66.6206896551724
"2017-02-12",0,60.7692307692308
"2017-02-13",0,44.625
"2017-02-14",0,42.3529411764706
"2017-02-15",66,44.25
"2017-02-16",0,46.875
"2017-02-17",74,53.2916666666667
"2017-02-18",0,55.05
"2017-02-19",0,51.5490196078431
"2017-02-20",0,63.625
"2017-02-21",0,61.0847457627119
"2017-02-22",0,62.0789473684211
"2017-02-23",0,59.093023255814
"2017-02-24",0,60.7241379310345
"2017-02-25",72,37.5416666666667
"2017-02-26",0,43.625
"2017-02-27",0,55.1935483870968
"2017-02-28",63,67.25
"2017-03-01",0,59.8709677419355
"2017-03-02",0,46.75
"2017-03-03",0,43
"2017-03-04",0,50.375
"2017-03-05",0,52.32
"2017-03-06",0,60.7906976744186
"2017-03-07",0,53.775
"2017-03-08",0,52.25
"2017-03-09",67,59.8
"2017-03-10",0,49.3448275862069
"2017-03-11",72,34.1153846153846
"2017-03-12",62,36.0833333333333
