"date","gtrend.hits","temperature"
"2017-01-01",37,44.4358974358974
"2017-01-02",31,50.2444444444444
"2017-01-03",30,51.9047619047619
"2017-01-04",61,33.32
"2017-01-05",78,32.4
"2017-01-06",34,21.6153846153846
"2017-01-07",0,20.6666666666667
"2017-01-08",0,23
"2017-01-09",60,36.52
"2017-01-10",30,59.12
"2017-01-11",30,65.8125
"2017-01-12",31,67.75
"2017-01-13",34,41.1470588235294
"2017-01-14",50,42.875
"2017-01-15",44,43.7428571428571
"2017-01-16",29,54.7391304347826
"2017-01-17",29,50.0384615384615
"2017-01-18",29,45.6888888888889
"2017-01-19",30,49.7674418604651
"2017-01-20",0,57.7142857142857
"2017-01-21",33,57.8928571428571
"2017-01-22",43,52.9090909090909
"2017-01-23",38,46.7142857142857
"2017-01-24",29,46.7
"2017-01-25",29,55.6923076923077
"2017-01-26",0,40.3333333333333
"2017-01-27",68,39.0416666666667
"2017-01-28",0,41.8333333333333
"2017-01-29",48,45.5833333333333
"2017-01-30",29,49.7083333333333
"2017-01-31",29,57
"2017-02-01",0,55.8333333333333
"2017-02-02",30,42.52
"2017-02-03",0,38.625
"2017-02-04",33,35.36
"2017-02-05",0,47.2424242424242
"2017-02-06",29,58.475
"2017-02-07",0,67.1818181818182
"2017-02-08",59,54.2083333333333
"2017-02-09",30,36.5833333333333
"2017-02-10",33,52.7083333333333
"2017-02-11",33,69.4827586206897
"2017-02-12",30,63.3703703703704
"2017-02-13",30,48.5416666666667
"2017-02-14",44,42.4047619047619
"2017-02-15",60,46.92
"2017-02-16",31,47.8333333333333
"2017-02-17",34,53.4166666666667
"2017-02-18",33,56.3823529411765
"2017-02-19",0,54.6666666666667
"2017-02-20",48,62.9310344827586
"2017-02-21",44,59.0476190476191
"2017-02-22",0,56.7674418604651
"2017-02-23",45,58.9090909090909
"2017-02-24",49,59.9655172413793
"2017-02-25",33,41.1666666666667
"2017-02-26",29,45.9615384615385
"2017-02-27",28,51.9142857142857
"2017-02-28",57,67.5555555555556
"2017-03-01",43,62.4
"2017-03-02",45,49.4
"2017-03-03",0,48.0416666666667
"2017-03-04",33,53.7916666666667
"2017-03-05",28,53.0645161290323
"2017-03-06",28,62.9545454545455
"2017-03-07",29,55.4594594594595
"2017-03-08",0,53.125
"2017-03-09",30,60.5357142857143
"2017-03-10",0,55
"2017-03-11",33,39.5806451612903
"2017-03-12",29,38.4642857142857
"2017-03-13",0,41.125
"2017-03-14",57,38.7352941176471
"2017-03-15",29,37.0833333333333
"2017-03-16",30,45.4074074074074
"2017-03-17",66,64
"2017-03-18",0,65.2142857142857
"2017-03-19",29,61.4583333333333
"2017-03-20",57,69
"2017-03-21",87,68.3333333333333
"2017-03-22",29,54.4615384615385
"2017-03-23",60,64
"2017-03-24",67,67.5
"2017-03-25",33,60.4615384615385
"2017-03-26",29,61.625
"2017-03-27",29,65.2
"2017-03-28",0,63.7586206896552
"2017-03-29",31,69.6
"2017-03-30",49,60.25
"2017-03-31",69,59.625
"2017-04-01",69,59.875
"2017-04-02",0,60.5
"2017-04-03",0,64.9
"2017-04-04",29,68.16
"2017-04-05",44,56.8333333333333
"2017-04-06",46,56.5
"2017-04-07",50,55.625
"2017-04-08",33,63.4583333333333
"2017-04-09",58,69.3703703703704
"2017-04-10",28,67.3142857142857
"2017-04-11",0,62.8709677419355
"2017-04-12",29,64.375
"2017-04-13",46,69.7083333333333
"2017-04-14",34,70.2916666666667
"2017-04-15",100,71.12
"2017-04-16",29,70.3333333333333
"2017-04-17",29,66.5428571428571
"2017-04-18",59,69.1
"2017-04-19",29,71.125
"2017-04-20",30,72.5416666666667
"2017-04-21",34,64.0666666666667
"2017-04-22",51,53.775
"2017-04-23",28,59.04
