"","date","hits","geo","time","keyword","gprop","category"
"1",2018-01-01,76,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"2",2018-01-02,48,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"3",2018-01-03,71,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"4",2018-01-04,74,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"5",2018-01-05,100,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"6",2018-01-06,64,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"7",2018-01-07,61,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"8",2018-01-08,74,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"9",2018-01-09,63,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"10",2018-01-10,73,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"11",2018-01-11,71,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"12",2018-01-12,99,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"13",2018-01-13,83,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"14",2018-01-14,53,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"15",2018-01-15,49,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"16",2018-01-16,81,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"17",2018-01-17,69,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"18",2018-01-18,80,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"19",2018-01-19,66,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"20",2018-01-20,49,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"21",2018-01-21,51,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"22",2018-01-22,66,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"23",2018-01-23,83,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"24",2018-01-24,62,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"25",2018-01-25,66,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"26",2018-01-26,64,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"27",2018-01-27,61,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"28",2018-01-28,80,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"29",2018-01-29,82,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"30",2018-01-30,87,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"31",2018-01-31,81,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"32",2018-02-01,92,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"33",2018-02-02,68,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"34",2018-02-03,82,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"35",2018-02-04,58,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"36",2018-02-05,44,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"37",2018-02-06,60,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"38",2018-02-07,65,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"39",2018-02-08,70,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"40",2018-02-09,64,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"41",2018-02-10,77,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"42",2018-02-11,54,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"43",2018-02-12,62,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"44",2018-02-13,74,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"45",2018-02-14,69,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"46",2018-02-15,52,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"47",2018-02-16,79,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"48",2018-02-17,71,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"49",2018-02-18,79,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"50",2018-02-19,71,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"51",2018-02-20,50,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"52",2018-02-21,53,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"53",2018-02-22,69,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"54",2018-02-23,61,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"55",2018-02-24,74,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"56",2018-02-25,59,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"57",2018-02-26,67,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"58",2018-02-27,84,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"59",2018-02-28,70,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"60",2018-03-01,76,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"61",2018-03-02,78,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"62",2018-03-03,77,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"63",2018-03-04,48,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"64",2018-03-05,71,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"65",2018-03-06,67,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"66",2018-03-07,57,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"67",2018-03-08,63,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"68",2018-03-09,66,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"69",2018-03-10,97,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"70",2018-03-11,68,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"71",2018-03-12,56,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"72",2018-03-13,54,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"73",2018-03-14,72,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"74",2018-03-15,51,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"75",2018-03-16,70,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"76",2018-03-17,100,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"77",2018-03-18,52,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"78",2018-03-19,61,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"79",2018-03-20,64,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"80",2018-03-21,68,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"81",2018-03-22,67,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"82",2018-03-23,59,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"83",2018-03-24,59,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"84",2018-03-25,75,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"85",2018-03-26,66,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"86",2018-03-27,79,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"87",2018-03-28,75,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"88",2018-03-29,86,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"89",2018-03-30,72,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"90",2018-03-31,87,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"91",2018-04-01,68,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"92",2018-04-02,41,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"93",2018-04-03,59,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"94",2018-04-04,53,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"95",2018-04-05,73,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"96",2018-04-06,99,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"97",2018-04-07,73,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"98",2018-04-08,63,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"99",2018-04-09,53,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"100",2018-04-10,55,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"101",2018-04-11,70,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"102",2018-04-12,51,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"103",2018-04-13,55,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"104",2018-04-14,78,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"105",2018-04-15,51,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"106",2018-04-16,80,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"107",2018-04-17,69,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"108",2018-04-18,76,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"109",2018-04-19,69,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"110",2018-04-20,53,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"111",2018-04-21,69,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"112",2018-04-22,82,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"113",2018-04-23,85,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"114",2018-04-24,60,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"115",2018-04-25,64,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"116",2018-04-26,56,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"117",2018-04-27,47,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"118",2018-04-28,81,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"119",2018-04-29,64,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"120",2018-04-30,71,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"121",2018-05-01,78,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"122",2018-05-02,69,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"123",2018-05-03,85,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"124",2018-05-04,64,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"125",2018-05-05,68,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"126",2018-05-06,54,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"127",2018-05-07,64,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"128",2018-05-08,69,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"129",2018-05-09,65,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"130",2018-05-10,87,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"131",2018-05-11,95,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"132",2018-05-12,72,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"133",2018-05-13,78,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"134",2018-05-14,51,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"135",2018-05-15,81,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"136",2018-05-16,63,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"137",2018-05-17,83,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
"138",2018-05-18,66,"US-CA-803","2018-01-01 2018-06-30",NA,"web",1236
