"date","gtrend.hits","temperature"
"2017-01-01",42,47
"2017-01-02",0,43.2558139534884
"2017-01-03",33,44.3571428571429
"2017-01-04",33,45.5
"2017-01-05",67,32.6785714285714
"2017-01-06",34,29.9
"2017-01-07",73,21.0735294117647
"2017-01-08",0,14.8214285714286
"2017-01-09",0,13.5714285714286
"2017-01-10",32,27.5357142857143
"2017-01-11",63,41.0277777777778
"2017-01-12",32,51.1590909090909
"2017-01-13",66,55.9642857142857
"2017-01-14",37,40.5675675675676
"2017-01-15",0,41.9189189189189
"2017-01-16",64,40.9387755102041
"2017-01-17",31,47.3571428571429
"2017-01-18",31,52.08
"2017-01-19",32,43.1785714285714
"2017-01-20",32,46.1875
"2017-01-21",36,49.4262295081967
"2017-01-22",72,49.7068965517241
"2017-01-23",0,45.7241379310345
"2017-01-24",0,45.3448275862069
"2017-01-25",32,53.1428571428571
"2017-01-26",63,49.4333333333333
"2017-01-27",100,37.1785714285714
"2017-01-28",37,36.4137931034483
"2017-01-29",36,37.7333333333333
"2017-01-30",62,30.6785714285714
"2017-01-31",31,41.6153846153846
"2017-02-01",31,47.9642857142857
"2017-02-02",53,42.5
"2017-02-03",33,33.6785714285714
"2017-02-04",0,28.7586206896552
"2017-02-05",35,41.3214285714286
"2017-02-06",41,49.6071428571429
"2017-02-07",62,59.7142857142857
"2017-02-08",31,59.0714285714286
"2017-02-09",32,38.6428571428571
"2017-02-10",33,29.3928571428571
"2017-02-11",0,49.9642857142857
"2017-02-12",0,62.8571428571429
"2017-02-13",31,44.4642857142857
"2017-02-14",31,41.8928571428571
"2017-02-15",47,43.4285714285714
"2017-02-16",31,36.5714285714286
"2017-02-17",42,48.0357142857143
"2017-02-18",0,56.0344827586207
"2017-02-19",35,55.4285714285714
"2017-02-20",31,53.6428571428571
"2017-02-21",0,49.5357142857143
"2017-02-22",31,48.9166666666667
"2017-02-23",0,63.5714285714286
"2017-02-24",32,59.6333333333333
"2017-02-25",36,59.0294117647059
"2017-02-26",36,38.5357142857143
"2017-02-27",45,44.8214285714286
"2017-02-28",0,54.3103448275862
"2017-03-01",0,59.71875
"2017-03-02",30,46.1428571428571
"2017-03-03",0,36.9642857142857
"2017-03-04",69,35.3214285714286
"2017-03-05",0,34.75
"2017-03-06",0,44.3928571428571
"2017-03-07",0,56.3888888888889
"2017-03-08",31,56.7666666666667
"2017-03-09",92,58.3214285714286
"2017-03-10",32,49.2857142857143
"2017-03-11",0,37
"2017-03-12",34,35.4137931034483
"2017-03-13",57,33.75
"2017-03-14",46,34.3947368421053
"2017-03-15",31,26.3214285714286
"2017-03-16",0,31.9642857142857
"2017-03-17",33,38.5
"2017-03-18",35,49.6060606060606
"2017-03-19",35,46.5862068965517
"2017-03-20",62,45.8214285714286
"2017-03-21",31,58.9642857142857
"2017-03-22",31,48.8214285714286
"2017-03-23",62,38.8214285714286
"2017-03-24",32,51.3928571428571
"2017-03-25",0,61.7857142857143
"2017-03-26",0,58.3548387096774
"2017-03-27",31,59.9268292682927
"2017-03-28",31,62.5
"2017-03-29",0,61.3928571428571
"2017-03-30",31,53.2424242424242
"2017-03-31",32,52.0625
"2017-04-01",0,57.6071428571429
"2017-04-02",36,52.3214285714286
"2017-04-03",31,53.6363636363636
"2017-04-04",0,64.15
"2017-04-05",31,63.3461538461538
"2017-04-06",0,56.8444444444444
"2017-04-07",32,44.9285714285714
"2017-04-08",55,50.9285714285714
"2017-04-09",36,55.3214285714286
"2017-04-10",31,63.6428571428571
"2017-04-11",0,67.5
"2017-04-12",32,66.5357142857143
"2017-04-13",33,66.7142857142857
"2017-04-14",36,60.8823529411765
"2017-04-15",0,64.6
"2017-04-16",74,69.7857142857143
"2017-04-17",43,65.9642857142857
"2017-04-18",31,63.7142857142857
"2017-04-19",31,52.2083333333333
"2017-04-20",42,63.1
"2017-04-21",49,69.2368421052632
"2017-04-22",36,58.5
"2017-04-23",35,49
"2017-04-24",46,49.2156862745098
"2017-04-25",31,54.5192307692308
"2017-04-26",31,58.8444444444444
"2017-04-27",31,63.2291666666667
"2017-04-28",33,63.9375
"2017-04-29",37,75.125
"2017-04-30",0,73.6571428571429
"2017-05-01",33,69.7884615384615
"2017-05-02",41,65.0666666666667
"2017-05-03",31,61.6071428571429
"2017-05-04",0,58.1190476190476
"2017-05-05",32,65.125
"2017-05-06",36,53.4285714285714
"2017-05-07",36,52.7857142857143
"2017-05-08",31,52.8928571428571
"2017-05-09",31,52.4642857142857
"2017-05-10",62,66.1052631578947
"2017-05-11",0,61.75
"2017-05-12",33,50.5777777777778
"2017-05-13",0,54.9230769230769
"2017-05-14",0,64.1212121212121
"2017-05-15",49,68.8214285714286
"2017-05-16",33,65.9642857142857
"2017-05-17",0,74.5357142857143
"2017-05-18",34,74.5
"2017-05-19",35,74.0344827586207
"2017-05-20",39,72.1333333333333
"2017-05-21",39,61.0810810810811
"2017-05-22",33,64.7142857142857
"2017-05-23",33,59.8
"2017-05-24",33,59.9607843137255
"2017-05-25",0,62.2
"2017-05-26",36,67.6428571428571
"2017-05-27",40,71.3666666666667
"2017-05-28",40,66.6779661016949
"2017-05-29",0,68.1111111111111
"2017-05-30",65,71.7142857142857
"2017-05-31",48,69.1071428571429
"2017-06-01",0,70.6428571428571
"2017-06-02",52,68.9285714285714
"2017-06-03",0,69.7142857142857
"2017-06-04",0,72.6875
"2017-06-05",33,65.8604651162791
"2017-06-06",33,69.1111111111111
"2017-06-07",0,63.3939393939394
"2017-06-08",64,60.25
"2017-06-09",68,66.1428571428571
"2017-06-10",0,70.9285714285714
"2017-06-11",39,75.3928571428571
"2017-06-12",32,77.0344827586207
"2017-06-13",0,77.1333333333333
"2017-06-14",44,74.2647058823529
"2017-06-15",34,72.2463768115942
"2017-06-16",35,72.8260869565217
"2017-06-17",40,73.1860465116279
"2017-06-18",0,75.6
"2017-06-19",33,74.3673469387755
"2017-06-20",0,70.7317073170732
"2017-06-21",32,73.2058823529412
"2017-06-22",32,75.5714285714286
"2017-06-23",33,77.0277777777778
"2017-06-24",38,75.9375
"2017-06-25",39,69.4285714285714
"2017-06-26",34,67.6428571428571
"2017-06-27",34,66.4285714285714
"2017-06-28",34,66.3571428571429
"2017-06-29",34,71.9642857142857
"2017-06-30",0,74.5588235294118
"2017-07-01",28,78.2727272727273
"2017-07-02",28,77.3214285714286
"2017-07-03",0,76.5
"2017-07-04",37,76.4137931034483
"2017-07-05",0,74.1702127659574
"2017-07-06",0,73.6851851851852
"2017-07-07",0,77.7142857142857
"2017-07-08",0,76.3928571428571
