"date","gtrend.hits","temperature"
"2017-01-01",0,74.1111111111111
"2017-01-02",0,74.5853658536585
"2017-01-03",30,67.0967741935484
"2017-01-04",31,59.2549019607843
"2017-01-05",92,68.0909090909091
"2017-01-06",42,45.4897959183673
"2017-01-07",34,40.375
"2017-01-08",0,48.2916666666667
"2017-01-09",59,62.125
"2017-01-10",88,72.5416666666667
"2017-01-11",49,73.9583333333333
"2017-01-12",0,75.3513513513514
"2017-01-13",61,76.0571428571429
"2017-01-14",50,72.953488372093
"2017-01-15",0,75.2352941176471
"2017-01-16",59,74.9655172413793
"2017-01-17",58,75.5121951219512
"2017-01-18",0,66.2820512820513
"2017-01-19",0,63.4117647058824
"2017-01-20",30,71.3962264150943
"2017-01-21",33,67.8837209302326
"2017-01-22",33,71.9166666666667
"2017-01-23",43,66.25
"2017-01-24",0,73.5833333333333
"2017-01-25",58,72.3
"2017-01-26",29,62.5833333333333
"2017-01-27",30,58.9722222222222
"2017-01-28",68,53.0625
"2017-01-29",66,57.4583333333333
"2017-01-30",29,61.9166666666667
"2017-01-31",58,65.3333333333333
"2017-02-01",28,71.3076923076923
"2017-02-02",29,71.9302325581395
"2017-02-03",30,66.5294117647059
"2017-02-04",50,61.804347826087
"2017-02-05",32,71.3409090909091
"2017-02-06",42,76.8571428571429
"2017-02-07",42,77.0357142857143
"2017-02-08",57,76.6470588235294
"2017-02-09",29,70.2941176470588
"2017-02-10",60,74.46875
"2017-02-11",33,76.96875
"2017-02-12",32,77.8461538461538
"2017-02-13",28,77.4390243902439
"2017-02-14",29,71.6060606060606
"2017-02-15",58,61.7916666666667
"2017-02-16",43,63.64
"2017-02-17",43,72.2916666666667
"2017-02-18",33,72.8378378378378
"2017-02-19",32,79.6470588235294
"2017-02-20",43,71.7105263157895
"2017-02-21",43,72.75
"2017-02-22",56,73.5833333333333
"2017-02-23",0,76.2083333333333
"2017-02-24",30,77.6
"2017-02-25",55,70.1666666666667
"2017-02-26",33,75.1764705882353
"2017-02-27",0,76.7692307692308
"2017-02-28",28,80.6969696969697
"2017-03-01",27,79
"2017-03-02",55,66.9166666666667
"2017-03-03",29,68.1666666666667
"2017-03-04",32,65.5
"2017-03-05",32,70.75
"2017-03-06",46,76.9428571428571
"2017-03-07",54,78.219512195122
"2017-03-08",28,77.7777777777778
"2017-03-09",28,74.8387096774194
"2017-03-10",29,73.6304347826087
"2017-03-11",33,75.2820512820513
"2017-03-12",31,68.5744680851064
"2017-03-13",26,62.7837837837838
"2017-03-14",29,65.8148148148148
"2017-03-15",56,72.0588235294118
"2017-03-16",38,73.9666666666667
"2017-03-17",60,75.5357142857143
"2017-03-18",49,74.5294117647059
"2017-03-19",32,74.7567567567568
"2017-03-20",56,75.6
"2017-03-21",28,75.4166666666667
"2017-03-22",28,75.3125
"2017-03-23",0,76.0967741935484
"2017-03-24",0,79.3448275862069
"2017-03-25",33,80.1071428571429
"2017-03-26",54,77.2222222222222
"2017-03-27",43,79.8709677419355
"2017-03-28",43,81.0689655172414
"2017-03-29",0,82.25
"2017-03-30",29,75.9166666666667
"2017-03-31",30,76.7916666666667
"2017-04-01",0,81.4615384615385
"2017-04-02",33,83.8125
"2017-04-03",57,78.125
"2017-04-04",28,80.08
"2017-04-05",43,76.8484848484848
"2017-04-06",48,70.9166666666667
"2017-04-07",29,73.7916666666667
"2017-04-08",34,76.2
"2017-04-09",100,78
"2017-04-10",29,81
"2017-04-11",58,79.2954545454545
"2017-04-12",44,75.7954545454545
"2017-04-13",46,77.9583333333333
"2017-04-14",66,76.1612903225806
"2017-04-15",34,78.4333333333333
"2017-04-16",68,79.2068965517241
"2017-04-17",30,78.0930232558139
"2017-04-18",38,75.6666666666667
"2017-04-19",0,79.1153846153846
"2017-04-20",67,78.8823529411765
"2017-04-21",45,80.3548387096774
"2017-04-22",33,82.1333333333333
"2017-04-23",64,71.88
"2017-04-24",29,73.5
"2017-04-25",28,81.5714285714286
"2017-04-26",0,88.6206896551724
"2017-04-27",0,81.5588235294118
"2017-04-28",45,83.7096774193548
"2017-04-29",34,85.9333333333333
"2017-04-30",0,78.7142857142857
"2017-05-01",31,77.4166666666667
"2017-05-02",57,80.3076923076923
"2017-05-03",57,83.0263157894737
"2017-05-04",29,76.9090909090909
"2017-05-05",0,75.9583333333333
"2017-05-06",33,77.8333333333333
"2017-05-07",33,77.8333333333333
"2017-05-08",43,77.2592592592593
"2017-05-09",38,79.25
"2017-05-10",28,82.6785714285714
"2017-05-11",29,83.65625
"2017-05-12",60,82.2162162162162
"2017-05-13",33,80.8378378378378
"2017-05-14",50,82.7692307692308
