"date","gtrend.hits","temperature"
"2017-01-01",31,77.15625
"2017-01-02",41,79.6829268292683
"2017-01-03",69,78.4883720930233
"2017-01-04",60,76.3555555555556
"2017-01-05",41,73.09375
"2017-01-06",50,72.2368421052632
"2017-01-07",44,72
"2017-01-08",68,58.40625
"2017-01-09",34,63.15625
"2017-01-10",54,69.9375
"2017-01-11",49,72.71875
"2017-01-12",53,75.4375
"2017-01-13",39,75.875
"2017-01-14",27,73.8125
"2017-01-15",63,75.6764705882353
"2017-01-16",71,76.625
"2017-01-17",33,75.46875
"2017-01-18",48,75.0645161290323
"2017-01-19",55,73.59375
"2017-01-20",33,74.0625
"2017-01-21",32,74.21875
"2017-01-22",66,80.2777777777778
"2017-01-23",66,74.025641025641
"2017-01-24",47,70.34375
"2017-01-25",43,69.6875
"2017-01-26",40,74.2258064516129
"2017-01-27",50,74.7741935483871
"2017-01-28",38,66.6875
"2017-01-29",28,57.3255813953488
"2017-01-30",71,62.78125
"2017-01-31",52,64.8125
"2017-02-01",72,69.5625
"2017-02-02",37,71.65625
"2017-02-03",66,73.125
"2017-02-04",38,72.8125
"2017-02-05",29,73.03125
"2017-02-06",52,73.625
"2017-02-07",38,75.4375
"2017-02-08",48,76.5151515151515
"2017-02-09",59,73.2083333333333
"2017-02-10",44,70.6875
"2017-02-11",44,71.6875
"2017-02-12",63,71.28125
"2017-02-13",63,71.34375
"2017-02-14",43,72.28125
"2017-02-15",49,74.3125
"2017-02-16",38,70.5833333333333
"2017-02-17",44,66.78125
"2017-02-18",57,71.6176470588235
"2017-02-19",48,75.5
"2017-02-20",43,71.46875
"2017-02-21",71,70.2424242424242
"2017-02-22",43,66.4347826086957
"2017-02-23",59,69.71875
"2017-02-24",38,70.7837837837838
"2017-02-25",53,71.4782608695652
"2017-02-26",75,74.25
"2017-02-27",47,77.6904761904762
"2017-02-28",79,77.5277777777778
"2017-03-01",46,77.1944444444444
"2017-03-02",54,76.3235294117647
"2017-03-03",81,73.2162162162162
"2017-03-04",53,71.9375
"2017-03-05",32,71.625
"2017-03-06",75,71.21875
"2017-03-07",47,72.625
"2017-03-08",48,73.625
"2017-03-09",74,73.53125
"2017-03-10",76,74.25
"2017-03-11",65,74.65625
"2017-03-12",56,73.9722222222222
"2017-03-13",52,74.8333333333333
"2017-03-14",28,70.775
"2017-03-15",33,62.53125
"2017-03-16",34,61.9375
"2017-03-17",38,65.78125
"2017-03-18",64,69.9375
"2017-03-19",43,71.15625
"2017-03-20",33,69.46875
"2017-03-21",38,71
"2017-03-22",62,72.46875
"2017-03-23",81,73.5909090909091
"2017-03-24",28,72.525
"2017-03-25",33,73.8529411764706
"2017-03-26",65,74.5588235294118
"2017-03-27",19,74.71875
"2017-03-28",69,74.8125
"2017-03-29",76,77.25
"2017-03-30",32,76.875
"2017-03-31",67,79.21875
"2017-04-01",68,80.0625
"2017-04-02",76,79.6176470588235
"2017-04-03",38,80.0277777777778
"2017-04-04",57,80.6
"2017-04-05",39,80.2571428571429
"2017-04-06",85,81.09375
"2017-04-07",83,69.3125
"2017-04-08",49,69.0625
"2017-04-09",52,73.0625
"2017-04-10",65,74.875
"2017-04-11",80,74.9090909090909
"2017-04-12",53,75.4705882352941
"2017-04-13",60,75.9375
"2017-04-14",61,76.625
"2017-04-15",82,77.40625
"2017-04-16",47,76.71875
"2017-04-17",43,77.3030303030303
"2017-04-18",63,77.875
"2017-04-19",54,77.6875
"2017-04-20",40,76.4375
"2017-04-21",39,76.84375
"2017-04-22",72,78
"2017-04-23",65,74.3076923076923
"2017-04-24",35,76.375
"2017-04-25",28,75.7272727272727
"2017-04-26",48,77.3428571428571
"2017-04-27",25,82.1176470588235
"2017-04-28",51,82.8775510204082
"2017-04-29",50,82.054054054054
"2017-04-30",59,81.6571428571429
"2017-05-01",51,81.5555555555556
"2017-05-02",38,80.4864864864865
"2017-05-03",36,80.4411764705882
"2017-05-04",50,82.4210526315789
"2017-05-05",56,78.2051282051282
"2017-05-06",44,73.71875
"2017-05-07",67,74.3125
"2017-05-08",57,77.3125
"2017-05-09",48,79.5625
"2017-05-10",49,80.03125
"2017-05-11",55,80.5
"2017-05-12",67,80.9375
"2017-05-13",44,82.65625
"2017-05-14",62,80.9722222222222
"2017-05-15",71,81.15625
"2017-05-16",48,83
"2017-05-17",78,83.2894736842105
"2017-05-18",75,81.1363636363636
"2017-05-19",33,83.0555555555556
"2017-05-20",73,83.40625
"2017-05-21",24,82.46875
"2017-05-22",52,82.1875
"2017-05-23",34,83.0625
"2017-05-24",49,82.3333333333333
"2017-05-25",46,83.4047619047619
"2017-05-26",68,84.3157894736842
"2017-05-27",50,86.8918918918919
"2017-05-28",54,86.53125
"2017-05-29",64,84.5625
"2017-05-30",65,85.5
"2017-05-31",44,85.875
"2017-06-01",45,84.6176470588235
"2017-06-02",40,78.54
"2017-06-03",39,79.0277777777778
"2017-06-04",48,80.2894736842105
"2017-06-05",100,82.3414634146341
"2017-06-06",94,76.8852459016394
"2017-06-07",58,75.1320754716981
"2017-06-08",55,81.9574468085106
"2017-06-09",84,79.8809523809524
"2017-06-10",67,82.8378378378378
"2017-06-11",42,85.2162162162162
"2017-06-12",57,84.1
"2017-06-13",67,84
"2017-06-14",61,83.0612244897959
"2017-06-15",45,81.2
"2017-06-16",39,82.0869565217391
"2017-06-17",74,83.0606060606061
"2017-06-18",47,82.5
"2017-06-19",56,80.7708333333333
