"","date","hits","geo","time","keyword","gprop","category"
"1",2017-01-01,46,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"2",2017-01-02,62,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"3",2017-01-03,28,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"4",2017-01-04,62,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"5",2017-01-05,46,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"6",2017-01-06,48,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"7",2017-01-07,41,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"8",2017-01-08,71,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"9",2017-01-09,53,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"10",2017-01-10,40,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"11",2017-01-11,57,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"12",2017-01-12,67,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"13",2017-01-13,50,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"14",2017-01-14,82,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"15",2017-01-15,75,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"16",2017-01-16,27,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"17",2017-01-17,48,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"18",2017-01-18,61,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"19",2017-01-19,53,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"20",2017-01-20,64,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"21",2017-01-21,70,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"22",2017-01-22,40,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
"23",2017-01-23,61,"US-FL-528","2017-01-01 2017-06-30",NA,"web",1236
