"date","gtrend.hits","temperature"
"2017-01-01",43,25.695652173913
"2017-01-02",32,31.8723404255319
"2017-01-03",21,31.9130434782609
"2017-01-04",21,9.17391304347826
"2017-01-05",21,3
"2017-01-06",21,0.847826086956522
"2017-01-07",46,3.64444444444444
"2017-01-08",34,8.48888888888889
"2017-01-09",20,23.3958333333333
"2017-01-10",20,31.7173913043478
"2017-01-11",27,23.2391304347826
"2017-01-12",20,18.2291666666667
"2017-01-13",31,12.8478260869565
"2017-01-14",31,21.0666666666667
"2017-01-15",23,20.6222222222222
"2017-01-16",100,29.2978723404255
"2017-01-17",39,34.6521739130435
"2017-01-18",29,33.78
"2017-01-19",30,34.530612244898
"2017-01-20",20,36.1702127659574
"2017-01-21",45,40.9795918367347
"2017-01-22",22,37.8666666666667
"2017-01-23",39,36.6326530612245
"2017-01-24",40,35.125
"2017-01-25",20,33.4
"2017-01-26",33,30.8666666666667
"2017-01-27",31,26.7954545454545
"2017-01-28",23,24.5217391304348
"2017-01-29",38,24.1702127659574
"2017-01-30",32,18.8571428571429
"2017-01-31",39,30.1489361702128
"2017-02-01",29,26.0816326530612
"2017-02-02",0,11.9347826086957
"2017-02-03",27,13.0888888888889
"2017-02-04",34,21.86
"2017-02-05",0,29.4565217391304
"2017-02-06",45,27.5555555555556
"2017-02-07",58,34.2
"2017-02-08",20,22.3333333333333
"2017-02-09",40,13.2608695652174
"2017-02-10",62,28.7777777777778
"2017-02-11",0,36.1333333333333
"2017-02-12",0,33.7872340425532
"2017-02-13",48,33.0652173913044
"2017-02-14",79,35.9130434782609
"2017-02-15",30,27.6
"2017-02-16",29,30.6
"2017-02-17",39,41.0666666666667
"2017-02-18",22,47.6222222222222
"2017-02-19",23,41.4666666666667
"2017-02-20",59,43.9777777777778
"2017-02-21",19,52.5
"2017-02-22",26,52.8888888888889
"2017-02-23",20,42.0666666666667
"2017-02-24",31,31.7333333333333
"2017-02-25",34,21.3695652173913
"2017-02-26",33,28.7173913043478
"2017-02-27",38,33.8666666666667
"2017-02-28",19,42.3111111111111
"2017-03-01",25,32.4791666666667
"2017-03-02",19,22.9777777777778
"2017-03-03",40,19.8444444444444
"2017-03-04",44,29.5
"2017-03-05",44,38.8478260869565
"2017-03-06",19,53.5111111111111
"2017-03-07",18,46
"2017-03-08",19,37.4444444444444
"2017-03-09",29,32.3111111111111
"2017-03-10",30,22.4444444444444
"2017-03-11",44,18.0666666666667
"2017-03-12",28,20.9555555555556
"2017-03-13",45,25.0612244897959
"2017-03-14",19,17.1914893617021
"2017-03-15",19,19.5106382978723
"2017-03-16",20,26.0425531914894
"2017-03-17",31,34.5531914893617
"2017-03-18",89,35.1914893617021
"2017-03-19",37,36.5106382978723
"2017-03-20",19,39.8085106382979
"2017-03-21",19,35.1702127659574
"2017-03-22",26,25.3829787234043
"2017-03-23",59,34.0612244897959
"2017-03-24",20,43.2040816326531
"2017-03-25",23,36.4255319148936
"2017-03-26",22,39.4791666666667
"2017-03-27",39,39.78
"2017-03-28",19,37.0392156862745
"2017-03-29",29,34.9
"2017-03-30",40,36.1458333333333
"2017-03-31",20,35.7446808510638
"2017-04-01",23,40
"2017-04-02",22,42.6041666666667
"2017-04-03",39,43.2083333333333
"2017-04-04",19,45.1489361702128
"2017-04-05",39,39.6041666666667
"2017-04-06",26,38.8936170212766
"2017-04-07",30,39.5208333333333
"2017-04-08",23,47.8723404255319
"2017-04-09",23,63.6170212765957
"2017-04-10",33,53.4807692307692
"2017-04-11",40,40.2857142857143
"2017-04-12",20,41.6595744680851
"2017-04-13",31,41.7872340425532
"2017-04-14",37,46.1276595744681
"2017-04-15",47,60.1875
"2017-04-16",47,58.1666666666667
"2017-04-17",20,43.5744680851064
"2017-04-18",19,53.8085106382979
"2017-04-19",19,52
"2017-04-20",20,46.7234042553191
"2017-04-21",41,43.1063829787234
"2017-04-22",23,43.6808510638298
"2017-04-23",22,41.9787234042553
"2017-04-24",19,46.2127659574468
"2017-04-25",39,58.2553191489362
"2017-04-26",0,60.0192307692308
"2017-04-27",39,45.3958333333333
"2017-04-28",41,40.8936170212766
"2017-04-29",23,39.875
"2017-04-30",34,38.2765957446809
