"date","gtrend.hits","temperature"
"2017-01-01",29,27.2142857142857
"2017-01-02",81,31.0980392156863
"2017-01-03",55,20.5365853658537
"2017-01-04",55,-0.724137931034483
"2017-01-05",81,-2.37142857142857
"2017-01-06",79,-2.46428571428571
"2017-01-07",26,2.92857142857143
"2017-01-08",54,5.83870967741935
"2017-01-09",76,21.35
"2017-01-10",46,22.2769230769231
"2017-01-11",23,6.28888888888889
"2017-01-12",36,5.09677419354839
"2017-01-13",78,0.464285714285714
"2017-01-14",43,13.0714285714286
"2017-01-15",30,17.0714285714286
"2017-01-16",22,25.775
"2017-01-17",38,31.3050847457627
"2017-01-18",38,33.2068965517241
"2017-01-19",87,34.6764705882353
"2017-01-20",52,35.4166666666667
"2017-01-21",26,36.3404255319149
"2017-01-22",45,36.7045454545455
"2017-01-23",67,33.8367346938776
"2017-01-24",30,32.3823529411765
"2017-01-25",53,29.8863636363636
"2017-01-26",39,27.4054054054054
"2017-01-27",26,24.15625
"2017-01-28",78,25.6896551724138
"2017-01-29",60,24.6551724137931
"2017-01-30",38,29.0943396226415
"2017-01-31",53,35.1521739130435
"2017-02-01",54,17.6785714285714
"2017-02-02",39,12.1428571428571
"2017-02-03",61,14.9285714285714
"2017-02-04",39,26.6785714285714
"2017-02-05",78,24
"2017-02-06",66,26.551724137931
"2017-02-07",56,23.6511627906977
"2017-02-08",76,8
"2017-02-09",39,12.3928571428571
"2017-02-10",39,33.3214285714286
"2017-02-11",78,39.6666666666667
"2017-02-12",46,34.9
"2017-02-13",31,37.6785714285714
"2017-02-14",31,35.0714285714286
"2017-02-15",47,27.6428571428571
"2017-02-16",36,33.6428571428571
"2017-02-17",39,44.6428571428571
"2017-02-18",69,46.4642857142857
"2017-02-19",61,46.3928571428571
"2017-02-20",22,50.3913043478261
"2017-02-21",60,43.390243902439
"2017-02-22",53,45.1470588235294
"2017-02-23",39,33.46875
"2017-02-24",61,25.6969696969697
"2017-02-25",38,23.8571428571429
"2017-02-26",44,29.6333333333333
"2017-02-27",52,34.3214285714286
"2017-02-28",29,38.1515151515151
"2017-03-01",66,29.2452830188679
"2017-03-02",35,23.1071428571429
"2017-03-03",63,22.2333333333333
"2017-03-04",88,33.6428571428571
"2017-03-05",37,47.53125
"2017-03-06",37,54.6666666666667
"2017-03-07",52,36.8529411764706
"2017-03-08",46,29.5
"2017-03-09",47,25.8571428571429
"2017-03-10",69,12.5357142857143
"2017-03-11",38,14.3214285714286
"2017-03-12",29,18.4905660377358
"2017-03-13",29,19.6875
"2017-03-14",52,19.3214285714286
"2017-03-15",69,22.551724137931
"2017-03-16",58,31.0357142857143
"2017-03-17",38,37.2564102564103
"2017-03-18",42,34.4827586206897
"2017-03-19",45,41.2857142857143
"2017-03-20",59,45.6071428571429
"2017-03-21",55,32.3214285714286
"2017-03-22",76,31.4642857142857
"2017-03-23",58,38.2051282051282
