"date","gtrend.hits","temperature"
"2017-01-01",27,38.4583333333333
"2017-01-02",45,32.3030303030303
"2017-01-03",54,39.9574468085106
"2017-01-04",22,42.1794871794872
"2017-01-05",34,30.7083333333333
"2017-01-06",74,27.6052631578947
"2017-01-07",73,20.0769230769231
"2017-01-08",64,19.0769230769231
"2017-01-09",32,18.3333333333333
"2017-01-10",44,26.7142857142857
"2017-01-11",33,42.2352941176471
"2017-01-12",45,46.5
"2017-01-13",86,41.7916666666667
"2017-01-14",36,27.2285714285714
"2017-01-15",43,27.6428571428571
"2017-01-16",32,31.4444444444444
"2017-01-17",21,37.2962962962963
"2017-01-18",32,37.6129032258064
"2017-01-19",22,39.6969696969697
"2017-01-20",24,39.7777777777778
"2017-01-21",0,40.6818181818182
"2017-01-22",42,43.4130434782609
"2017-01-23",21,39.25
"2017-01-24",31,37.7222222222222
"2017-01-25",43,39.0666666666667
"2017-01-26",44,42.6666666666667
"2017-01-27",37,40.0416666666667
"2017-01-28",49,36.3333333333333
"2017-01-29",21,36
"2017-01-30",21,29.0833333333333
"2017-01-31",53,26.2857142857143
"2017-02-01",63,34.1923076923077
"2017-02-02",44,34.5833333333333
"2017-02-03",24,28.625
"2017-02-04",36,27.625
"2017-02-05",64,35.7916666666667
"2017-02-06",42,36.4583333333333
"2017-02-07",21,34.15625
"2017-02-08",32,40.5161290322581
"2017-02-09",33,27.6666666666667
"2017-02-10",24,24.08
"2017-02-11",36,32.9166666666667
"2017-02-12",43,28.5892857142857
"2017-02-13",22,32.3783783783784
"2017-02-14",32,28.4166666666667
"2017-02-15",33,31.65
"2017-02-16",22,32.5
"2017-02-17",49,32.0833333333333
"2017-02-18",36,37
"2017-02-19",21,47.5
"2017-02-20",63,42.375
"2017-02-21",21,35.125
"2017-02-22",21,41.1666666666667
"2017-02-23",33,41.7142857142857
"2017-02-24",72,47.6976744186046
"2017-02-25",47,52.469387755102
"2017-02-26",42,38.6
"2017-02-27",63,40.3333333333333
"2017-02-28",21,47
"2017-03-01",21,48.8412698412698
