"","date","hits","geo","time","keyword","gprop","category"
"1",2018-01-01,56,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"2",2018-01-02,55,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"3",2018-01-03,38,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"4",2018-01-04,23,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"5",2018-01-05,71,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"6",2018-01-06,52,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"7",2018-01-07,25,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"8",2018-01-08,37,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"9",2018-01-09,33,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"10",2018-01-10,30,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"11",2018-01-11,68,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"12",2018-01-12,39,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"13",2018-01-13,52,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"14",2018-01-14,59,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"15",2018-01-15,33,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"16",2018-01-16,37,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"17",2018-01-17,44,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"18",2018-01-18,33,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"19",2018-01-19,54,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"20",2018-01-20,38,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"21",2018-01-21,100,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"22",2018-01-22,54,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"23",2018-01-23,29,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"24",2018-01-24,54,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"25",2018-01-25,33,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"26",2018-01-26,58,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"27",2018-01-27,26,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"28",2018-01-28,59,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"29",2018-01-29,33,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"30",2018-01-30,0,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
"31",2018-01-31,51,"US-CT-533","2018-01-01 2018-06-30",NA,"web",1236
