"date","gtrend.hits","temperature"
"2017-01-01",36,66.953488372093
"2017-01-02",77,68.758064516129
"2017-01-03",29,60.3333333333333
"2017-01-04",30,57.551724137931
"2017-01-05",0,57.2368421052632
"2017-01-06",55,42.8235294117647
"2017-01-07",66,33.4666666666667
"2017-01-08",44,36.7916666666667
"2017-01-09",29,51.9166666666667
"2017-01-10",49,63.1666666666667
"2017-01-11",30,66.6666666666667
"2017-01-12",40,64.5789473684211
"2017-01-13",50,64.7931034482759
"2017-01-14",44,61.45
"2017-01-15",44,62.5675675675676
"2017-01-16",43,69.175
"2017-01-17",0,68.9166666666667
"2017-01-18",44,70.5740740740741
"2017-01-19",40,70.5636363636364
"2017-01-20",49,68.6
"2017-01-21",54,69.551724137931
"2017-01-22",43,63.0625
"2017-01-23",43,59.88
"2017-01-24",38,60.0416666666667
"2017-01-25",29,66.8139534883721
"2017-01-26",60,57.0416666666667
"2017-01-27",33,50.5416666666667
"2017-01-28",33,51.875
"2017-01-29",57,56
"2017-01-30",28,59.1666666666667
"2017-01-31",28,62.8333333333333
"2017-02-01",58,64.75
"2017-02-02",59,62.8787878787879
"2017-02-03",50,59.3913043478261
"2017-02-04",65,50.875
"2017-02-05",56,62.9230769230769
"2017-02-06",28,64.6052631578947
"2017-02-07",57,69.2745098039216
"2017-02-08",0,70.0612244897959
"2017-02-09",75,60.25
"2017-02-10",33,63.5
"2017-02-11",66,70.84375
"2017-02-12",43,71.4333333333333
"2017-02-13",29,65.7272727272727
"2017-02-14",0,67.6923076923077
"2017-02-15",29,57.0645161290323
"2017-02-16",60,54.8333333333333
"2017-02-17",33,54.9090909090909
"2017-02-18",33,62.3571428571429
"2017-02-19",44,65.5526315789474
"2017-02-20",43,68.6153846153846
"2017-02-21",57,63.5142857142857
"2017-02-22",57,65.2083333333333
"2017-02-23",30,68.2083333333333
"2017-02-24",32,70
"2017-02-25",32,64.9615384615385
"2017-02-26",28,60.25
"2017-02-27",28,73.1714285714286
"2017-02-28",28,74.7916666666667
"2017-03-01",65,73.8974358974359
"2017-03-02",44,62.9166666666667
"2017-03-03",48,60.5416666666667
"2017-03-04",43,61.4583333333333
"2017-03-05",55,66.3461538461538
"2017-03-06",37,70.21875
"2017-03-07",56,71.2115384615385
"2017-03-08",58,65.1315789473684
"2017-03-09",74,69.2142857142857
"2017-03-10",32,70.5151515151515
"2017-03-11",32,68.3703703703704
"2017-03-12",29,57.5853658536585
"2017-03-13",0,59.2162162162162
"2017-03-14",56,54.5161290322581
"2017-03-15",58,50.3846153846154
"2017-03-16",30,56.7083333333333
"2017-03-17",33,64.7916666666667
"2017-03-18",32,69.3333333333333
"2017-03-19",28,68.7837837837838
"2017-03-20",28,69.9032258064516
"2017-03-21",28,69.95
"2017-03-22",57,71.0606060606061
"2017-03-23",44,73.0666666666667
"2017-03-24",34,72.7948717948718
"2017-03-25",33,69.6296296296296
"2017-03-26",28,72.55
"2017-03-27",28,74.8666666666667
"2017-03-28",59,74.6216216216216
"2017-03-29",30,75.5
"2017-03-30",49,68.3111111111111
"2017-03-31",34,71.3461538461538
"2017-04-01",0,73.25
"2017-04-02",30,75.8717948717949
"2017-04-03",28,71.2777777777778
"2017-04-04",0,74.9642857142857
"2017-04-05",58,76.7142857142857
"2017-04-06",0,67.4583333333333
"2017-04-07",44,66.64
"2017-04-08",32,67.4583333333333
"2017-04-09",43,68.2916666666667
"2017-04-10",28,71.5
"2017-04-11",28,73.8260869565217
"2017-04-12",0,74.5384615384615
"2017-04-13",0,75.0833333333333
"2017-04-14",66,74.0833333333333
"2017-04-15",0,74.8846153846154
"2017-04-16",28,75.1388888888889
"2017-04-17",43,73.6363636363636
"2017-04-18",29,74.0357142857143
"2017-04-19",39,76.3703703703704
"2017-04-20",30,76.4516129032258
"2017-04-21",68,76.1666666666667
"2017-04-22",33,75.53125
"2017-04-23",28,66.2105263157895
"2017-04-24",57,69.5833333333333
"2017-04-25",28,71.4583333333333
"2017-04-26",43,77.0232558139535
"2017-04-27",30,73.6470588235294
"2017-04-28",34,80.6896551724138
"2017-04-29",50,81.075
"2017-04-30",0,74.5681818181818
"2017-05-01",40,73.625
"2017-05-02",70,75.25
"2017-05-03",38,67.5671641791045
"2017-05-04",30,64.9795918367347
"2017-05-05",34,68.0416666666667
"2017-05-06",33,70.75
"2017-05-07",58,73.3333333333333
"2017-05-08",56,74.5
"2017-05-09",0,74.3333333333333
"2017-05-10",29,74.962962962963
"2017-05-11",60,76.48
"2017-05-12",33,74.2982456140351
"2017-05-13",100,72.6896551724138
"2017-05-14",57,76.0416666666667
"2017-05-15",28,78.7083333333333
"2017-05-16",29,79.2083333333333
"2017-05-17",39,80.1785714285714
"2017-05-18",90,80.7111111111111
"2017-05-19",34,81.0263157894737
"2017-05-20",68,80.3111111111111
"2017-05-21",74,75.6271186440678
"2017-05-22",57,74.3461538461538
"2017-05-23",58,77.78125
"2017-05-24",39,73.3
"2017-05-25",51,74.375
"2017-05-26",34,78.4166666666667
"2017-05-27",67,81.4473684210526
"2017-05-28",30,82.1379310344828
"2017-05-29",76,75.9782608695652
"2017-05-30",29,74.027027027027
"2017-05-31",30,76.1454545454545
"2017-06-01",60,75.725
"2017-06-02",34,78.5384615384615
"2017-06-03",34,78.0476190476191
"2017-06-04",29,79
"2017-06-05",28,78.325
"2017-06-06",28,75.2
"2017-06-07",100,77.7297297297297
"2017-06-08",30,78.8333333333333
"2017-06-09",33,78.9166666666667
"2017-06-10",68,79.2916666666667
"2017-06-11",42,80.7843137254902
"2017-06-12",27,78.5853658536585
"2017-06-13",27,81.3
"2017-06-14",28,83.0714285714286
"2017-06-15",46,84.6071428571429
"2017-06-16",50,83.16
"2017-06-17",66,78.2777777777778
"2017-06-18",0,81.8333333333333
"2017-06-19",28,83.6
"2017-06-20",38,76.5454545454545
"2017-06-21",86,79.5263157894737
"2017-06-22",30,83.4117647058823
"2017-06-23",33,85.0425531914894
"2017-06-24",49,81.7
"2017-06-25",66,82
"2017-06-26",0,81.375
"2017-06-27",85,81.875
"2017-06-28",43,81
"2017-06-29",30,80.1666666666667
"2017-06-30",0,84.25
"2017-07-01",56,84.7142857142857
"2017-07-02",49,85
"2017-07-03",33,85.9166666666667
"2017-07-04",85,86.125
"2017-07-05",68,85.4666666666667
"2017-07-06",33,84.3793103448276
"2017-07-07",0,84.3333333333333
"2017-07-08",0,83.9090909090909
"2017-07-09",33,83.5862068965517
"2017-07-10",74,80.8125
"2017-07-11",61,81
"2017-07-12",51,84.5161290322581
"2017-07-13",35,84.7
"2017-07-14",58,83.7142857142857
"2017-07-15",38,82.3243243243243
"2017-07-16",34,82.6216216216216
"2017-07-17",100,80.7555555555556
"2017-07-18",51,83.9655172413793
"2017-07-19",0,85.2631578947368
"2017-07-20",35,87.9166666666667
"2017-07-21",39,85.8421052631579
"2017-07-22",78,81.35
"2017-07-23",33,81.3333333333333
"2017-07-24",67,81.75
"2017-07-25",34,84.0416666666667
