"date","gtrend.hits","temperature"
"2017-01-01",49,46.5384615384615
"2017-01-02",71,40.5204081632653
"2017-01-03",81,42.7708333333333
"2017-01-04",98,44.7254901960784
"2017-01-05",97,32.1279069767442
"2017-01-06",78,31.5533980582524
"2017-01-07",53,25.952380952381
"2017-01-08",68,23.1041666666667
"2017-01-09",73,21.4787234042553
"2017-01-10",73,32.1368421052632
"2017-01-11",74,45.8020833333333
"2017-01-12",92,56.5408163265306
"2017-01-13",79,47.4591836734694
"2017-01-14",70,32
"2017-01-15",98,35.5625
"2017-01-16",71,38.0105263157895
"2017-01-17",94,39.2040816326531
"2017-01-18",83,41.5324675324675
"2017-01-19",100,43.5
"2017-01-20",78,42.5196078431373
"2017-01-21",97,44.4848484848485
"2017-01-22",68,45.3076923076923
"2017-01-23",73,40.9888888888889
"2017-01-24",73,38.6129032258064
"2017-01-25",72,44.6526315789474
"2017-01-26",47,46.953488372093
"2017-01-27",89,40.7307692307692
"2017-01-28",88,36.7872340425532
"2017-01-29",86,38.9784946236559
"2017-01-30",72,35.804347826087
"2017-01-31",81,31.3153153153153
"2017-02-01",76,41.3854166666667
"2017-02-02",79,39.2444444444444
"2017-02-03",75,31.25
"2017-02-04",67,30.3191489361702
"2017-02-05",58,37.5
"2017-02-06",65,42.5425531914894
"2017-02-07",73,39.5943396226415
"2017-02-08",66,47.639175257732
"2017-02-09",85,30.5528455284553
"2017-02-10",75,27.8210526315789
"2017-02-11",73,39.6739130434783
"2017-02-12",86,35.5445544554455
"2017-02-13",76,36.1836734693878
"2017-02-14",63,35.494623655914
"2017-02-15",90,38.9263157894737
"2017-02-16",98,34.9139784946237
"2017-02-17",73,36
"2017-02-18",94,48.9893617021277
"2017-02-19",91,57.7765957446809
"2017-02-20",84,49.3870967741936
"2017-02-21",62,41.4
"2017-02-22",92,48.7820512820513
"2017-02-23",74,53.2233009708738
"2017-02-24",67,60.3263157894737
"2017-02-25",63,54.4649122807018
"2017-02-26",100,41.3617021276596
"2017-02-27",64,44.2934782608696
"2017-02-28",78,51.3052631578947
"2017-03-01",76,59.1698113207547
"2017-03-02",82,47.9565217391304
"2017-03-03",77,34.8602150537634
"2017-03-04",65,26.7021276595745
"2017-03-05",93,28.6153846153846
"2017-03-06",89,36.876404494382
"2017-03-07",85,47.4895833333333
"2017-03-08",81,54.6666666666667
"2017-03-09",81,55.1777777777778
"2017-03-10",70,37.4070796460177
"2017-03-11",64,26.2444444444444
"2017-03-12",85,27.6559139784946
"2017-03-13",72,30.505376344086
"2017-03-14",73,30.425
"2017-03-15",80,26.0444444444444
"2017-03-16",81,33.6263736263736
"2017-03-17",80,38.2659574468085
"2017-03-18",85,36.7731958762887
"2017-03-19",65,41.9175257731959
"2017-03-20",65,44.4175824175824
"2017-03-21",97,50.6559139784946
"2017-03-22",70,37.5108695652174
"2017-03-23",77,35.3655913978495
"2017-03-24",82,45.4782608695652
"2017-03-25",89,50.3645833333333
"2017-03-26",76,40.9387755102041
"2017-03-27",91,45
"2017-03-28",82,44.2844036697248
"2017-03-29",66,50.36
"2017-03-30",93,44.4193548387097
"2017-03-31",78,40.2385321100917
"2017-04-01",82,43.2040816326531
"2017-04-02",82,52.7789473684211
"2017-04-03",77,52.4301075268817
"2017-04-04",70,48.5377358490566
"2017-04-05",72,49.0796460176991
"2017-04-06",78,45.6936936936937
"2017-04-07",75,45.6344086021505
"2017-04-08",60,49.5222222222222
"2017-04-09",74,53.8571428571429
