"date","gtrend.hits","temperature"
"2017-01-01",41,46.0952380952381
"2017-01-02",34,55.3137254901961
"2017-01-03",33,35.2432432432432
"2017-01-04",65,27.03125
"2017-01-05",49,21.4705882352941
"2017-01-06",33,13.9038461538462
"2017-01-07",36,15.3125
"2017-01-08",36,29.375
"2017-01-09",31,43.125
"2017-01-10",62,57
"2017-01-11",31,59.875
"2017-01-12",32,35.8857142857143
"2017-01-13",54,29.1607142857143
"2017-01-14",60,30.2197802197802
"2017-01-15",35,34.8095238095238
"2017-01-16",63,41
"2017-01-17",31,42.7837837837838
"2017-01-18",0,46.5151515151515
"2017-01-19",31,48.5531914893617
"2017-01-20",48,49.5217391304348
"2017-01-21",35,50.71875
"2017-01-22",87,48.5641025641026
"2017-01-23",0,44.75
"2017-01-24",46,54.09375
"2017-01-25",31,38.1875
"2017-01-26",30,33.1935483870968
"2017-01-27",32,36
"2017-01-28",54,40.65625
"2017-01-29",53,49.28125
"2017-01-30",71,53.375
"2017-01-31",31,53.5625
"2017-02-01",30,46.1875
"2017-02-02",72,33.40625
"2017-02-03",0,34.1875
"2017-02-04",35,41.4722222222222
"2017-02-05",34,45.4561403508772
"2017-02-06",60,60.1818181818182
"2017-02-07",0,58.0625
"2017-02-08",30,39.46875
"2017-02-09",62,39.5625
"2017-02-10",48,60.46875
"2017-02-11",0,69.03125
"2017-02-12",34,54.1818181818182
"2017-02-13",45,45.027027027027
"2017-02-14",61,40.2708333333333
"2017-02-15",31,42.4375
"2017-02-16",40,49.03125
"2017-02-17",60,53.84375
"2017-02-18",35,55.7837837837838
"2017-02-19",52,60.2428571428571
"2017-02-20",0,57.3953488372093
"2017-02-21",40,56.375
"2017-02-22",30,59.53125
"2017-02-23",0,66.3125
"2017-02-24",42,42.5
"2017-02-25",35,34.875
"2017-02-26",51,46.78125
"2017-02-27",30,56.1739130434783
"2017-02-28",75,65.3142857142857
"2017-03-01",39,49.8125
"2017-03-02",29,47.28125
"2017-03-03",31,51.53125
"2017-03-04",34,51.7837837837838
"2017-03-05",34,55.0869565217391
"2017-03-06",29,68.025
"2017-03-07",29,52.21875
"2017-03-08",45,55.6875
"2017-03-09",60,66.2941176470588
"2017-03-10",31,55.03125
"2017-03-11",0,43.5909090909091
"2017-03-12",33,41.0666666666667
"2017-03-13",28,42.3235294117647
"2017-03-14",0,40.5625
"2017-03-15",45,43.875
"2017-03-16",30,59.1388888888889
"2017-03-17",64,68.75
"2017-03-18",35,69.71875
"2017-03-19",34,72.9375
"2017-03-20",30,75.5625
"2017-03-21",30,68.59375
"2017-03-22",60,61.6666666666667
"2017-03-23",31,68.7631578947368
"2017-03-24",31,67.28125
"2017-03-25",36,51.225
"2017-03-26",0,60.1666666666667
"2017-03-27",61,57.1282051282051
"2017-03-28",61,57.06
"2017-03-29",62,52.7166666666667
"2017-03-30",31,51.5609756097561
"2017-03-31",48,54.875
"2017-04-01",35,55.7
"2017-04-02",35,54.5625
"2017-04-03",30,59.974358974359
"2017-04-04",30,56.5714285714286
"2017-04-05",30,53.0810810810811
"2017-04-06",46,56
"2017-04-07",32,60.5625
"2017-04-08",35,69.28125
"2017-04-09",0,71.8125
"2017-04-10",31,64.7142857142857
"2017-04-11",31,59.75
"2017-04-12",47,61.7222222222222
"2017-04-13",64,63.4339622641509
"2017-04-14",35,67.6285714285714
"2017-04-15",0,70.4705882352941
"2017-04-16",36,67.15
"2017-04-17",63,64.4210526315789
"2017-04-18",40,61.7692307692308
"2017-04-19",45,69.1538461538462
"2017-04-20",46,66.1875
"2017-04-21",32,55.9402985074627
"2017-04-22",35,50.8421052631579
"2017-04-23",0,55.4375
"2017-04-24",61,60.78125
"2017-04-25",30,69.4146341463415
"2017-04-26",0,49.55
"2017-04-27",45,55.2941176470588
"2017-04-28",0,67
"2017-04-29",36,53.4736842105263
"2017-04-30",72,47.5789473684211
"2017-05-01",0,57.46875
"2017-05-02",61,65
"2017-05-03",0,56.3478260869565
"2017-05-04",31,55.6842105263158
"2017-05-05",63,61.09375
"2017-05-06",36,65.625
"2017-05-07",47,68.71875
"2017-05-08",31,68.375
"2017-05-09",60,70.0625
"2017-05-10",61,68.5185185185185
"2017-05-11",0,67.675
"2017-05-12",0,64.3947368421053
"2017-05-13",36,65.03125
"2017-05-14",36,70.9375
"2017-05-15",53,75.5625
"2017-05-16",49,71.7105263157895
"2017-05-17",32,69.3611111111111
"2017-05-18",32,72.1176470588235
"2017-05-19",34,66.5757575757576
"2017-05-20",58,60.5
"2017-05-21",37,62.09375
"2017-05-22",81,61.1944444444444
"2017-05-23",31,59.7692307692308
"2017-05-24",33,61
"2017-05-25",100,70.9375
"2017-05-26",35,79.4375
"2017-05-27",59,81.9189189189189
"2017-05-28",39,72.5
"2017-05-29",0,72
"2017-05-30",43,71.78125
"2017-05-31",47,74.25
"2017-06-01",49,72.625
"2017-06-02",68,68.1960784313726
"2017-06-03",38,70.9433962264151
"2017-06-04",75,72.7073170731707
"2017-06-05",64,75.5348837209302
"2017-06-06",32,79.34375
"2017-06-07",0,74.1875
"2017-06-08",31,72.65625
"2017-06-09",33,73.7941176470588
"2017-06-10",77,77.8529411764706
"2017-06-11",38,78.84375
"2017-06-12",47,80.3125
"2017-06-13",31,80.4705882352941
"2017-06-14",65,81.5384615384615
"2017-06-15",0,83.625
"2017-06-16",68,82.6875
"2017-06-17",0,83.53125
"2017-06-18",57,74.925
"2017-06-19",32,76.125
"2017-06-20",62,78.71875
"2017-06-21",31,79.59375
"2017-06-22",52,78.0625
"2017-06-23",32,80.0285714285714
"2017-06-24",56,76.40625
"2017-06-25",77,75.25
"2017-06-26",33,75.84375
"2017-06-27",33,78.9411764705882
"2017-06-28",0,80.3636363636364
"2017-06-29",66,82.1515151515152
"2017-06-30",34,78.4615384615385
"2017-07-01",36,78.3030303030303
"2017-07-02",54,76.9268292682927
"2017-07-03",31,76.304347826087
"2017-07-04",32,72.1702127659574
"2017-07-05",63,78.6176470588235
"2017-07-06",0,81.6875
"2017-07-07",54,83.75
"2017-07-08",72,79.1212121212121
"2017-07-09",36,79.78125
"2017-07-10",0,81.65625
"2017-07-11",46,84.65625
"2017-07-12",31,84.96875
"2017-07-13",62,84.4375
"2017-07-14",48,84.15625
"2017-07-15",54,80.1842105263158
"2017-07-16",36,81.2352941176471
"2017-07-17",31,82.375
"2017-07-18",31,84
"2017-07-19",46,85.90625
"2017-07-20",30,87.65625
"2017-07-21",65,88.3125
"2017-07-22",0,89.1764705882353
"2017-07-23",58,84.5
"2017-07-24",45,81.5
"2017-07-25",0,85.1935483870968
"2017-07-26",30,86.875
"2017-07-27",30,85.1470588235294
"2017-07-28",63,84.1515151515152
"2017-07-29",71,83.1875
"2017-07-30",35,80.96875
"2017-07-31",30,78.3125
"2017-08-01",58,71.6216216216216
"2017-08-02",85,75.6923076923077
"2017-08-03",30,79.3333333333333
"2017-08-04",0,76.7878787878788
"2017-08-05",35,83.8787878787879
"2017-08-06",0,76.945945945946
"2017-08-07",58,75.6764705882353
"2017-08-08",28,76.46875
"2017-08-09",39,77.125
"2017-08-10",30,77.35
"2017-08-11",0,75.0930232558139
"2017-08-12",70,71.2075471698113
"2017-08-13",34,74.6
"2017-08-14",45,76.219512195122
"2017-08-15",46,76.974358974359
"2017-08-16",60,79.054054054054
"2017-08-17",0,77.6969696969697
"2017-08-18",31,79.625
"2017-08-19",34,82.25
"2017-08-20",34,80.6774193548387
"2017-08-21",29,81.40625
"2017-08-22",49,77.6888888888889
"2017-08-23",29,74.2765957446808
"2017-08-24",30,73.5
"2017-08-25",0,69.6734693877551
"2017-08-26",34,73.84375
"2017-08-27",0,76.65625
"2017-08-28",30,76.625
"2017-08-29",0,72.65625
"2017-08-30",44,72.40625
"2017-08-31",30,73.6875
"2017-09-01",31,72.5625
"2017-09-02",35,74.6470588235294
"2017-09-03",34,77.1875
"2017-09-04",46,77.875
"2017-09-05",29,71.8125
"2017-09-06",87,66.21875
"2017-09-07",89,66.125
"2017-09-08",45,67.8125
"2017-09-09",0,69.21875
"2017-09-10",44,68.75
"2017-09-11",58,70.6875
"2017-09-12",48,69.6363636363636
"2017-09-13",43,70.03125
"2017-09-14",29,75.65625
"2017-09-15",30,78.5625
"2017-09-16",67,79.4375
"2017-09-17",33,73.4722222222222
"2017-09-18",0,72.8055555555556
"2017-09-19",43,80.625
"2017-09-20",57,80.90625
"2017-09-21",59,82.75
"2017-09-22",30,78.1470588235294
"2017-09-23",0,77.375
