"date","gtrend.hits","temperature"
"2017-01-01",74,67.4285714285714
"2017-01-02",34,71.2413793103448
"2017-01-03",89,74.6
"2017-01-04",47,70.5625
"2017-01-05",27,65.1785714285714
"2017-01-06",74,65.3030303030303
"2017-01-07",100,61.4150943396226
"2017-01-08",46,44
"2017-01-09",59,52.4285714285714
"2017-01-10",46,59.2857142857143
"2017-01-11",26,63.8275862068966
"2017-01-12",61,67.5714285714286
"2017-01-13",67,67.2142857142857
"2017-01-14",88,65.5476190476191
"2017-01-15",19,68.1071428571429
"2017-01-16",70,67.9642857142857
"2017-01-17",26,68.3571428571429
"2017-01-18",52,68.6666666666667
"2017-01-19",40,69.1785714285714
"2017-01-20",44,70.3214285714286
"2017-01-21",43,69.8571428571429
"2017-01-22",48,72.5531914893617
"2017-01-23",64,64.78125
"2017-01-24",45,63.4285714285714
"2017-01-25",45,58.8
"2017-01-26",81,70.7878787878788
"2017-01-27",67,62.5862068965517
"2017-01-28",74,53.1785714285714
"2017-01-29",57,50.2647058823529
"2017-01-30",51,52.8214285714286
"2017-01-31",38,54.25
"2017-02-01",84,58.2903225806452
"2017-02-02",53,63.7857142857143
"2017-02-03",67,67.6071428571429
"2017-02-04",44,65.0882352941177
"2017-02-05",67,63.3333333333333
"2017-02-06",51,60.6585365853659
"2017-02-07",51,69
"2017-02-08",32,70
"2017-02-09",40,73.1428571428571
"2017-02-10",81,60.3214285714286
"2017-02-11",44,64.3928571428571
"2017-02-12",78,68.3214285714286
"2017-02-13",72,69.0243902439024
"2017-02-14",58,70.8214285714286
"2017-02-15",73,69.375
"2017-02-16",54,63.2758620689655
"2017-02-17",74,61.1071428571429
"2017-02-18",88,66.125
"2017-02-19",39,70.1142857142857
"2017-02-20",45,69.0714285714286
"2017-02-21",57,68.3548387096774
"2017-02-22",58,67
"2017-02-23",60,67.4230769230769
"2017-02-24",66,71.5526315789474
"2017-02-25",86,70.4193548387097
"2017-02-26",57,65.8214285714286
"2017-02-27",75,70.3214285714286
"2017-02-28",63,71.8863636363636
"2017-03-01",37,73.258064516129
"2017-03-02",73,71.4857142857143
"2017-03-03",36,64.8928571428571
"2017-03-04",43,62.8214285714286
"2017-03-05",43,66.9642857142857
"2017-03-06",28,67.5714285714286
"2017-03-07",38,68.8571428571429
"2017-03-08",32,71.2857142857143
"2017-03-09",33,71.8666666666667
"2017-03-10",44,72.6071428571429
"2017-03-11",29,71.5357142857143
"2017-03-12",25,68.6333333333333
"2017-03-13",19,68.6969696969697
"2017-03-14",67,61.4285714285714
"2017-03-15",45,52.1071428571429
"2017-03-16",40,51.448275862069
"2017-03-17",66,58.3214285714286
"2017-03-18",50,64.551724137931
"2017-03-19",58,66.8064516129032
"2017-03-20",38,63.4642857142857
"2017-03-21",44,67.75
"2017-03-22",32,70.4594594594595
"2017-03-23",60,71.3823529411765
"2017-03-24",78,70.1428571428571
"2017-03-25",59,70.0357142857143
"2017-03-26",45,71
"2017-03-27",71,71.3214285714286
"2017-03-28",46,73.5714285714286
"2017-03-29",55,75.6071428571429
"2017-03-30",22,76.0714285714286
"2017-03-31",53,76.0714285714286
"2017-04-01",46,73.5263157894737
"2017-04-02",61,73.9714285714286
"2017-04-03",45,80.5862068965517
"2017-04-04",57,74.4705882352941
"2017-04-05",85,79.0333333333333
"2017-04-06",27,74.3235294117647
"2017-04-07",37,65.1379310344828
"2017-04-08",77,64.0689655172414
"2017-04-09",58,67.5666666666667
"2017-04-10",56,70.4642857142857
"2017-04-11",32,71.2142857142857
"2017-04-12",52,73.1071428571429
"2017-04-13",47,72.6785714285714
"2017-04-14",78,73.0714285714286
"2017-04-15",44,73.4642857142857
"2017-04-16",32,73.0714285714286
"2017-04-17",70,73.0714285714286
"2017-04-18",58,74.1428571428571
"2017-04-19",52,74.75
"2017-04-20",67,73.8275862068966
"2017-04-21",56,74.1071428571429
"2017-04-22",67,75.75
"2017-04-23",63,76.3214285714286
"2017-04-24",48,72.9705882352941
"2017-04-25",82,70.4285714285714
"2017-04-26",84,71.7857142857143
"2017-04-27",88,78.5172413793103
"2017-04-28",53,79.8965517241379
"2017-04-29",67,78.7
"2017-04-30",66,77.1333333333333
"2017-05-01",75,76.75
"2017-05-02",45,74.3589743589744
"2017-05-03",58,73.5454545454545
"2017-05-04",79,77.551724137931
"2017-05-05",38,71.2941176470588
"2017-05-06",37,66.8214285714286
"2017-05-07",58,69.3928571428571
"2017-05-08",38,73.448275862069
"2017-05-09",51,75.3214285714286
"2017-05-10",52,77.2857142857143
"2017-05-11",67,80.0714285714286
"2017-05-12",45,78.4285714285714
"2017-05-13",30,71.0263157894737
"2017-05-14",48,73.71875
"2017-05-15",32,75.258064516129
"2017-05-16",96,77.6428571428571
"2017-05-17",26,77.8571428571429
"2017-05-18",47,78.0357142857143
"2017-05-19",82,78.0606060606061
"2017-05-20",38,79.8275862068966
"2017-05-21",46,77.7666666666667
"2017-05-22",64,77.78125
"2017-05-23",58,78.3666666666667
"2017-05-24",59,75.0222222222222
"2017-05-25",48,75.0333333333333
"2017-05-26",38,73.8064516129032
"2017-05-27",68,76.4642857142857
"2017-05-28",53,78.3448275862069
"2017-05-29",51,80.4117647058823
"2017-05-30",39,79.8787878787879
"2017-05-31",69,77.5277777777778
"2017-06-01",75,77.5454545454545
"2017-06-02",69,74.8780487804878
"2017-06-03",57,76.4705882352941
"2017-06-04",52,75.7297297297297
"2017-06-05",48,77.2258064516129
"2017-06-06",45,74.8524590163934
"2017-06-07",29,73.2631578947368
"2017-06-08",40,74.3432835820896
"2017-06-09",61,76.625
"2017-06-10",68,76.0697674418605
"2017-06-11",69,77.027027027027
"2017-06-12",65,76.6
"2017-06-13",45,75.2162162162162
"2017-06-14",70,73.3023255813954
