"date","gtrend.hits","temperature"
"2017-01-01",29,43.5416666666667
"2017-01-02",38,40.4
"2017-01-03",60,44.44
"2017-01-04",50,47.0967741935484
"2017-01-05",56,30.4411764705882
"2017-01-06",47,29.7
"2017-01-07",86,22.025
"2017-01-08",25,19.5833333333333
"2017-01-09",44,18.125
"2017-01-10",49,28.24
"2017-01-11",35,46.8
"2017-01-12",58,59
"2017-01-13",41,47.8333333333333
"2017-01-14",41,33.6296296296296
"2017-01-15",64,34.2222222222222
"2017-01-16",75,36.3928571428571
"2017-01-17",48,42.3
"2017-01-18",74,43.6944444444444
"2017-01-19",31,43.46875
"2017-01-20",45,39.030303030303
"2017-01-21",45,45.5192307692308
"2017-01-22",30,47.8
"2017-01-23",43,40.5116279069767
"2017-01-24",30,39.6734693877551
"2017-01-25",52,47.5
"2017-01-26",52,46.5416666666667
"2017-01-27",100,40.4166666666667
"2017-01-28",77,35.2083333333333
"2017-01-29",37,36
"2017-01-30",34,33.3214285714286
"2017-01-31",56,31.0416666666667
"2017-02-01",72,44.4166666666667
"2017-02-02",44,39.3333333333333
"2017-02-03",54,30.5416666666667
"2017-02-04",60,29.2083333333333
"2017-02-05",64,37.5
"2017-02-06",47,45.7083333333333
"2017-02-07",47,43.9393939393939
"2017-02-08",56,55.3928571428571
"2017-02-09",61,32.0697674418605
"2017-02-10",54,27.6666666666667
"2017-02-11",25,39.7916666666667
"2017-02-12",49,38.3783783783784
"2017-02-13",59,37.875
"2017-02-14",52,35.6666666666667
"2017-02-15",65,39.36
"2017-02-16",77,35.0833333333333
"2017-02-17",35,35.2916666666667
"2017-02-18",59,48.4166666666667
"2017-02-19",40,60.4166666666667
"2017-02-20",69,48.9166666666667
"2017-02-21",55,42.4166666666667
"2017-02-22",60,48.625
"2017-02-23",35,54.3076923076923
"2017-02-24",90,63.4230769230769
"2017-02-25",80,59.96875
"2017-02-26",63,39
"2017-02-27",38,44.2272727272727
"2017-02-28",47,55.5769230769231
"2017-03-01",54,64.2647058823529
"2017-03-02",37,47.0416666666667
"2017-03-03",31,33.5882352941176
"2017-03-04",68,27.5833333333333
"2017-03-05",48,26.875
"2017-03-06",70,38.2083333333333
"2017-03-07",77,54.2083333333333
"2017-03-08",72,57.7407407407407
"2017-03-09",46,58.2083333333333
"2017-03-10",31,35.4166666666667
"2017-03-11",79,25.3333333333333
"2017-03-12",37,27.0416666666667
"2017-03-13",59,29.4230769230769
"2017-03-14",73,30.7936507936508
"2017-03-15",38,25.8055555555556
"2017-03-16",82,32.2916666666667
"2017-03-17",54,36.2083333333333
"2017-03-18",59,37.3953488372093
"2017-03-19",43,40.7096774193548
"2017-03-20",81,43.5833333333333
"2017-03-21",64,50.125
"2017-03-22",43,37.5833333333333
"2017-03-23",52,34.2083333333333
"2017-03-24",71,45.875
"2017-03-25",71,54.7407407407407
"2017-03-26",64,43.1
"2017-03-27",60,48.0232558139535
"2017-03-28",43,49.5423728813559
"2017-03-29",91,50.6129032258064
"2017-03-30",35,44.2857142857143
"2017-03-31",32,42.484375
"2017-04-01",85,44.0909090909091
"2017-04-02",70,52.5416666666667
"2017-04-03",68,54.6785714285714
"2017-04-04",60,62.4736842105263
"2017-04-05",73,55.6774193548387
"2017-04-06",61,48.9433962264151
"2017-04-07",27,45.4
"2017-04-08",40,48.5833333333333
"2017-04-09",50,54.6666666666667
"2017-04-10",65,64.6666666666667
"2017-04-11",57,70.875
"2017-04-12",58,67.75
"2017-04-13",73,56.5
"2017-04-14",49,56.1666666666667
"2017-04-15",57,60.1666666666667
"2017-04-16",46,74.4
"2017-04-17",54,67.3333333333333
"2017-04-18",51,56.9583333333333
"2017-04-19",55,52.2352941176471
"2017-04-20",39,61.6666666666667
"2017-04-21",59,55.9333333333333
"2017-04-22",85,54.6969696969697
"2017-04-23",77,54.875
"2017-04-24",51,54.2083333333333
"2017-04-25",17,55.4655172413793
"2017-04-26",42,60.6666666666667
"2017-04-27",56,67.7777777777778
"2017-04-28",40,73.037037037037
"2017-04-29",76,72.875
"2017-04-30",60,61.1071428571429
"2017-05-01",55,63.4722222222222
"2017-05-02",81,71.5
"2017-05-03",34,60.1666666666667
"2017-05-04",52,55.25
"2017-05-05",58,61.5714285714286
"2017-05-06",86,61.8285714285714
"2017-05-07",30,51.7916666666667
"2017-05-08",58,50.8333333333333
"2017-05-09",60,54.875
"2017-05-10",56,58.0833333333333
"2017-05-11",39,54.0416666666667
"2017-05-12",27,54.25
"2017-05-13",50,51.2317073170732
"2017-05-14",25,56.2258064516129
"2017-05-15",31,62.0833333333333
"2017-05-16",23,68.3333333333333
"2017-05-17",37,77
"2017-05-18",74,84.125
"2017-05-19",63,82.625
"2017-05-20",82,61.8333333333333
"2017-05-21",69,60.7083333333333
"2017-05-22",51,60.1951219512195
"2017-05-23",72,62.6129032258064
"2017-05-24",60,62.5
"2017-05-25",38,59.3333333333333
"2017-05-26",49,65.6060606060606
"2017-05-27",72,67.7916666666667
"2017-05-28",55,66.1071428571429
"2017-05-29",29,59.9411764705882
"2017-05-30",41,60.2708333333333
"2017-05-31",45,68.6060606060606
"2017-06-01",47,71.6666666666667
"2017-06-02",34,68.56
"2017-06-03",48,64.5416666666667
"2017-06-04",69,66.5833333333333
"2017-06-05",55,68.3461538461538
"2017-06-06",58,60.1794871794872
"2017-06-07",36,61.3125
"2017-06-08",31,60
"2017-06-09",42,67
"2017-06-10",44,73.875
"2017-06-11",81,75
"2017-06-12",67,81.1666666666667
"2017-06-13",40,87.25
"2017-06-14",36,78.53125
"2017-06-15",70,72.625
"2017-06-16",29,71.7
"2017-06-17",44,75.6724137931034
"2017-06-18",38,81
"2017-06-19",32,79.9574468085106
"2017-06-20",78,78.25
"2017-06-21",66,76.4642857142857
"2017-06-22",27,78.6153846153846
"2017-06-23",51,81.2702702702703
"2017-06-24",58,79.3076923076923
"2017-06-25",54,77.875
"2017-06-26",61,73.1739130434783
"2017-06-27",52,70.8387096774194
"2017-06-28",47,71.92
"2017-06-29",42,78.375
"2017-06-30",53,83.5416666666667
"2017-07-01",60,79.1086956521739
"2017-07-02",70,78.9444444444444
"2017-07-03",44,81.7307692307692
"2017-07-04",40,79.375
"2017-07-05",44,77.125
"2017-07-06",44,72.9411764705882
"2017-07-07",59,74.9574468085106
"2017-07-08",30,77.1428571428571
"2017-07-09",100,75.8333333333333
"2017-07-10",55,77.6666666666667
"2017-07-11",43,83.7083333333333
"2017-07-12",51,85.2
"2017-07-13",61,80.5106382978723
"2017-07-14",93,74.4878048780488
"2017-07-15",55,78.2820512820513
"2017-07-16",75,70.5
"2017-07-17",52,82.2105263157895
"2017-07-18",68,81.4722222222222
"2017-07-19",26,85.5
"2017-07-20",51,86.0416666666667
"2017-07-21",58,85.625
"2017-07-22",30,81.4736842105263
"2017-07-23",88,76.9512195121951
"2017-07-24",54,75.2089552238806
"2017-07-25",50,70.6153846153846
"2017-07-26",79,71.4411764705882
"2017-07-27",34,75.875
"2017-07-28",66,76.3513513513514
"2017-07-29",39,72.1538461538462
"2017-07-30",49,73.0416666666667
"2017-07-31",46,77.04
"2017-08-01",69,79.8148148148148
"2017-08-02",63,75.2857142857143
"2017-08-03",50,72.5
"2017-08-04",60,79.28
"2017-08-05",44,72.3571428571429
"2017-08-06",58,71.4583333333333
"2017-08-07",40,69.8888888888889
"2017-08-08",47,72.5121951219512
"2017-08-09",57,76.2
"2017-08-10",59,76.0833333333333
"2017-08-11",47,76.5416666666667
"2017-08-12",58,74.94
"2017-08-13",62,77.1666666666667
"2017-08-14",50,75.3333333333333
"2017-08-15",55,75.1379310344828
"2017-08-16",54,76.15
"2017-08-17",29,78.7916666666667
"2017-08-18",43,79.3023255813954
"2017-08-19",38,80.125
"2017-08-20",66,75.8333333333333
"2017-08-21",32,78.88
"2017-08-22",37,81.625
"2017-08-23",62,77.3214285714286
"2017-08-24",46,72.2916666666667
"2017-08-25",61,72.25
"2017-08-26",33,71.1666666666667
"2017-08-27",51,68.25
"2017-08-28",54,67.75
"2017-08-29",53,64.825
"2017-08-30",57,68.3333333333333
"2017-08-31",62,73.28
"2017-09-01",56,63.52
"2017-09-02",66,60.6666666666667
"2017-09-03",43,68.1219512195122
"2017-09-04",55,72.5416666666667
"2017-09-05",36,76.6153846153846
"2017-09-06",20,66.72
"2017-09-07",58,63.8378378378378
"2017-09-08",59,64.1666666666667
"2017-09-09",46,61.875
"2017-09-10",37,64.0416666666667
"2017-09-11",56,65.375
"2017-09-12",64,68.4583333333333
"2017-09-13",40,71.3454545454545
"2017-09-14",40,75.054054054054
"2017-09-15",46,75.0833333333333
"2017-09-16",38,76.0416666666667
"2017-09-17",55,73.0444444444445
"2017-09-18",44,73.0294117647059
"2017-09-19",40,74.0789473684211
"2017-09-20",54,75.8928571428571
"2017-09-21",33,77.2083333333333
"2017-09-22",59,75.2916666666667
"2017-09-23",56,77
"2017-09-24",55,80.0833333333333
"2017-09-25",44,78.375
"2017-09-26",88,74
"2017-09-27",44,78.1666666666667
"2017-09-28",61,71.7407407407407
"2017-09-29",34,62.125
"2017-09-30",38,59.6666666666667
"2017-10-01",46,58.2916666666667
"2017-10-02",40,61.4166666666667
"2017-10-03",72,61.5416666666667
"2017-10-04",40,65
"2017-10-05",53,73.25
"2017-10-06",54,74.9583333333333
"2017-10-07",28,76.125
"2017-10-08",55,77.4634146341463
"2017-10-09",72,76.62
"2017-10-10",47,74.9583333333333
"2017-10-11",30,69.92
"2017-10-12",49,61.1212121212121
"2017-10-13",25,61.8823529411765
"2017-10-14",37,66.9523809523809
"2017-10-15",41,69.2571428571429
"2017-10-16",64,58.24
"2017-10-17",52,51
"2017-10-18",48,58.5416666666667
"2017-10-19",37,60.125
"2017-10-20",63,62.9166666666667
"2017-10-21",46,62.5416666666667
"2017-10-22",40,61.8461538461538
"2017-10-23",24,68
"2017-10-24",51,70.3684210526316
"2017-10-25",63,59.1481481481481
"2017-10-26",40,51.75
"2017-10-27",54,53.8333333333333
"2017-10-28",36,57.6538461538462
"2017-10-29",62,63.4931506849315
"2017-10-30",65,53.0666666666667
"2017-10-31",32,50.4166666666667
"2017-11-01",61,54.1379310344828
"2017-11-02",52,63.1388888888889
"2017-11-03",74,59.3863636363636
"2017-11-04",45,51.75
"2017-11-05",44,61.75
"2017-11-06",42,63.8918918918919
"2017-11-07",65,44.1282051282051
"2017-11-08",51,45.1923076923077
"2017-11-09",51,51.7407407407407
"2017-11-10",24,38.36
"2017-11-11",27,31.4583333333333
"2017-11-12",79,37.375
"2017-11-13",46,42.5526315789474
"2017-11-14",62,43.5384615384615
"2017-11-15",81,45.3333333333333
"2017-11-16",43,51.6666666666667
"2017-11-17",32,44.375
"2017-11-18",45,44.875
"2017-11-19",39,53.6666666666667
"2017-11-20",46,42.875
"2017-11-21",43,50.2916666666667
"2017-11-22",66,49.1724137931034
"2017-11-23",28,35.5833333333333
"2017-11-24",48,40.7083333333333
"2017-11-25",35,46.25
"2017-11-26",46,45.75
"2017-11-27",56,45.1666666666667
"2017-11-28",53,47.8333333333333
"2017-11-29",31,52.9166666666667
"2017-11-30",43,45.125
"2017-12-01",49,47.1851851851852
"2017-12-02",58,41.5416666666667
"2017-12-03",70,40.7368421052632
"2017-12-04",38,38.3617021276596
"2017-12-05",35,57.6976744186046
"2017-12-06",31,47.7
"2017-12-07",31,41.7083333333333
"2017-12-08",53,36.9583333333333
"2017-12-09",27,32.4081632653061
"2017-12-10",74,34.8333333333333
"2017-12-11",30,37.3076923076923
"2017-12-12",42,40.0416666666667
"2017-12-13",50,26.90625
"2017-12-14",63,29.0625
"2017-12-15",41,24.8823529411765
"2017-12-16",36,34.75
"2017-12-17",81,37.375
"2017-12-18",59,43.7857142857143
"2017-12-19",52,50.875
"2017-12-20",57,44.1666666666667
"2017-12-21",50,36
"2017-12-22",26,41.2916666666667
"2017-12-23",43,51.1
"2017-12-24",65,39.4137931034483
"2017-12-25",50,36.3111111111111
"2017-12-26",48,28.375
"2017-12-27",29,22.875
"2017-12-28",42,17.5833333333333
"2017-12-29",69,18.8333333333333
"2017-12-30",92,21.7142857142857
"2017-12-31",44,15
