"date","gtrend.hits","temperature"
"2017-01-01",29,51.4897959183673
"2017-01-02",42,50.6538461538462
"2017-01-03",35,51.7916666666667
"2017-01-04",35,53.0833333333333
"2017-01-05",54,55.6153846153846
"2017-01-06",33,55.5769230769231
"2017-01-07",58,54.7083333333333
"2017-01-08",68,60.4583333333333
"2017-01-09",68,57.32
"2017-01-10",78,56.9583333333333
"2017-01-11",29,55
"2017-01-12",24,55.76
"2017-01-13",59,58.8
"2017-01-14",58,60.64
"2017-01-15",34,52.6052631578947
"2017-01-16",59,53.09375
"2017-01-17",22,52.25
"2017-01-18",39,52.375
"2017-01-19",18,49.5833333333333
"2017-01-20",39,49.3035714285714
"2017-01-21",76,50.2142857142857
"2017-01-22",50,50.5
"2017-01-23",44,51.8709677419355
"2017-01-24",45,45.5416666666667
"2017-01-25",40,44.2083333333333
"2017-01-26",29,46.3461538461538
"2017-01-27",46,47.5
"2017-01-28",39,48.92
"2017-01-29",42,56
"2017-01-30",56,59.7916666666667
"2017-01-31",61,56.7083333333333
"2017-02-01",28,57.5416666666667
"2017-02-02",52,58.2083333333333
"2017-02-03",58,57.2916666666667
"2017-02-04",57,58.125
"2017-02-05",17,60.6666666666667
"2017-02-06",50,59.4583333333333
"2017-02-07",61,60.4583333333333
"2017-02-08",68,62.9583333333333
"2017-02-09",47,65.9583333333333
"2017-02-10",19,67.8333333333333
"2017-02-11",64,66.75
"2017-02-12",17,66
"2017-02-13",60,63.7916666666667
"2017-02-14",34,62.8333333333333
"2017-02-15",35,62.875
"2017-02-16",47,60.5
"2017-02-17",91,64.125
"2017-02-18",64,55.1081081081081
"2017-02-19",34,51.448275862069
"2017-02-20",61,56.5151515151515
"2017-02-21",50,61.0416666666667
"2017-02-22",45,63.375
"2017-02-23",47,52.9583333333333
"2017-02-24",38,48.6666666666667
"2017-02-25",28,51.4166666666667
"2017-02-26",50,56.6
"2017-02-27",38,52.28125
"2017-02-28",44,52.7547169811321
"2017-03-01",33,56.1666666666667
"2017-03-02",43,59.8333333333333
"2017-03-03",76,64.7916666666667
"2017-03-04",38,63.4166666666667
"2017-03-05",43,62.1666666666667
"2017-03-06",38,54.5416666666667
"2017-03-07",39,57.7083333333333
"2017-03-08",90,63.375
"2017-03-09",70,66.8
"2017-03-10",32,69.1666666666667
"2017-03-11",70,69.2916666666667
"2017-03-12",49,71.3333333333333
"2017-03-13",22,73.25
"2017-03-14",66,73.5833333333333
"2017-03-15",22,73.0833333333333
"2017-03-16",78,74
"2017-03-17",51,75.6
"2017-03-18",66,76.5
"2017-03-19",68,77.2916666666667
"2017-03-20",17,77.7916666666667
"2017-03-21",55,74.7083333333333
"2017-03-22",56,67.84
"2017-03-23",29,57.8928571428571
"2017-03-24",78,61.1666666666667
"2017-03-25",39,65.96
"2017-03-26",45,64.5
"2017-03-27",45,67.5161290322581
"2017-03-28",69,65.625
"2017-03-29",42,70.75
"2017-03-30",57,71.48
"2017-03-31",59,58.2916666666667
"2017-04-01",94,59.7083333333333
"2017-04-02",45,65.75
"2017-04-03",59,68.6538461538462
"2017-04-04",67,65.2083333333333
"2017-04-05",40,68.875
"2017-04-06",36,72.6666666666667
"2017-04-07",39,73.2083333333333
"2017-04-08",64,71.5
"2017-04-09",45,65.96
"2017-04-10",49,67
"2017-04-11",25,70.5416666666667
"2017-04-12",34,73
"2017-04-13",65,76.4
"2017-04-14",20,71.5
"2017-04-15",26,71.4166666666667
"2017-04-16",50,73.5833333333333
"2017-04-17",39,73.9583333333333
"2017-04-18",40,76.9166666666667
"2017-04-19",75,76.4166666666667
"2017-04-20",35,75
"2017-04-21",53,78.0833333333333
"2017-04-22",39,78.36
"2017-04-23",55,81.1666666666667
"2017-04-24",42,78.7916666666667
"2017-04-25",83,75.28
"2017-04-26",34,76.2083333333333
"2017-04-27",42,76.8333333333333
"2017-04-28",60,73.5833333333333
"2017-04-29",65,68.1666666666667
"2017-04-30",40,71.7916666666667
"2017-05-01",77,75.64
"2017-05-02",45,79.25
"2017-05-03",45,82.7916666666667
"2017-05-04",64,86.44
"2017-05-05",99,91.24
"2017-05-06",45,83.2
"2017-05-07",56,65.0833333333333
"2017-05-08",42,67.1153846153846
"2017-05-09",67,63.0416666666667
"2017-05-10",46,67.25
"2017-05-11",47,75.875
"2017-05-12",46,81.0833333333333
"2017-05-13",59,82.2083333333333
"2017-05-14",73,78.72
"2017-05-15",22,73.4583333333333
"2017-05-16",39,66.75
"2017-05-17",46,70.64
"2017-05-18",53,73.2
"2017-05-19",72,72.375
"2017-05-20",30,80.2
"2017-05-21",40,84.2916666666667
"2017-05-22",39,87.3333333333333
"2017-05-23",34,89.25
"2017-05-24",63,90.24
"2017-05-25",27,86.5416666666667
"2017-05-26",50,80.6666666666667
"2017-05-27",59,81.68
"2017-05-28",46,84.125
"2017-05-29",62,86.2916666666667
"2017-05-30",40,87.6666666666667
"2017-05-31",40,87.32
"2017-06-01",59,85.2083333333333
"2017-06-02",100,85.8333333333333
"2017-06-03",49,90.2
"2017-06-04",62,91.125
"2017-06-05",39,92.0384615384615
"2017-06-06",60,91.625
"2017-06-07",56,90.5416666666667
"2017-06-08",24,88.0833333333333
"2017-06-09",40,90
"2017-06-10",20,87.0833333333333
"2017-06-11",44,84.9583333333333
"2017-06-12",52,80.04
"2017-06-13",86,79.4166666666667
"2017-06-14",39,84.6666666666667
"2017-06-15",53,88.2083333333333
"2017-06-16",40,90.7083333333333
"2017-06-17",58,91.4166666666667
"2017-06-18",22,93.9583333333333
"2017-06-19",33,97.9166666666667
"2017-06-20",28,102.5
"2017-06-21",34,101.791666666667
"2017-06-22",35,98.625
"2017-06-23",97,97.4583333333333
"2017-06-24",39,98.7916666666667
"2017-06-25",50,102.166666666667
"2017-06-26",66,98.04
"2017-06-27",44,95.4583333333333
"2017-06-28",39,93.75
"2017-06-29",36,92.875
"2017-06-30",78,92.8333333333333
"2017-07-01",66,93.9583333333333
"2017-07-02",28,94.0416666666667
"2017-07-03",80,94.375
"2017-07-04",78,96
"2017-07-05",41,96.9583333333333
"2017-07-06",58,97.9166666666667
"2017-07-07",45,103.32
"2017-07-08",39,100.892857142857
"2017-07-09",34,96.2916666666667
"2017-07-10",61,96.8076923076923
"2017-07-11",69,91.6
"2017-07-12",41,95.5384615384615
"2017-07-13",55,96.5833333333333
"2017-07-14",41,93.25
"2017-07-15",54,92.3548387096774
"2017-07-16",35,88.7241379310345
"2017-07-17",52,86.6923076923077
"2017-07-18",59,89
"2017-07-19",59,90.8333333333333
"2017-07-20",64,89.962962962963
"2017-07-21",41,87.3225806451613
"2017-07-22",68,90.2083333333333
"2017-07-23",53,88.56
"2017-07-24",41,81.2692307692308
"2017-07-25",52,89.625
"2017-07-26",44,93.8
"2017-07-27",66,95.5416666666667
"2017-07-28",60,89.2083333333333
"2017-07-29",47,89
"2017-07-30",63,88.52
"2017-07-31",63,94.6071428571429
"2017-08-01",34,91.75
"2017-08-02",39,89.7083333333333
"2017-08-03",66,87.7142857142857
"2017-08-04",27,89.625
"2017-08-05",98,92.68
"2017-08-06",46,92.1666666666667
"2017-08-07",50,92.0833333333333
"2017-08-08",40,93.5833333333333
"2017-08-09",85,95.2916666666667
"2017-08-10",88,94.08
"2017-08-11",53,93.5416666666667
"2017-08-12",97,90.75
"2017-08-13",40,85.71875
"2017-08-14",59,91.375
"2017-08-15",53,89.0833333333333
"2017-08-16",35,87.5833333333333
"2017-08-17",53,89.0416666666667
"2017-08-18",47,89.9166666666667
"2017-08-19",27,90.5833333333333
"2017-08-20",26,89.75
"2017-08-21",17,90.7083333333333
"2017-08-22",62,93.375
"2017-08-23",52,91.2307692307692
"2017-08-24",72,90.125
"2017-08-25",79,94.7916666666667
"2017-08-26",69,96.8148148148148
"2017-08-27",34,96.4166666666667
"2017-08-28",34,97.75
"2017-08-29",68,96.7916666666667
"2017-08-30",68,96.4583333333333
"2017-08-31",17,95.2916666666667
"2017-09-01",58,96
"2017-09-02",52,90.72
"2017-09-03",52,89.9583333333333
"2017-09-04",39,89.7307692307692
"2017-09-05",62,93.7692307692308
"2017-09-06",33,95
"2017-09-07",76,91.258064516129
"2017-09-08",32,87.5
"2017-09-09",38,85.96
"2017-09-10",55,91
"2017-09-11",50,95.9166666666667
"2017-09-12",55,94.5769230769231
"2017-09-13",56,93.7083333333333
"2017-09-14",41,89.7083333333333
"2017-09-15",49,83.6666666666667
"2017-09-16",44,83.7307692307692
"2017-09-17",34,83.56
"2017-09-18",39,81.9166666666667
"2017-09-19",44,82.4166666666667
"2017-09-20",34,86.1666666666667
"2017-09-21",47,81.9583333333333
"2017-09-22",78,77.6666666666667
"2017-09-23",44,71.875
"2017-09-24",75,72
"2017-09-25",72,72.25
"2017-09-26",50,73.0833333333333
"2017-09-27",39,76.3333333333333
"2017-09-28",41,78.5416666666667
"2017-09-29",26,82
"2017-09-30",51,81.5
"2017-10-01",39,81.2
"2017-10-02",42,77.5833333333333
"2017-10-03",22,78.375
"2017-10-04",56,81.7916666666667
"2017-10-05",82,82.1666666666667
"2017-10-06",29,78.75
"2017-10-07",66,78.36
"2017-10-08",50,75.7916666666667
"2017-10-09",24,75.625
"2017-10-10",51,76.125
"2017-10-11",46,81.3333333333333
"2017-10-12",18,77.0833333333333
"2017-10-13",73,77.625
"2017-10-14",33,77.0416666666667
"2017-10-15",52,79.72
"2017-10-16",28,83.875
"2017-10-17",74,83.7826086956522
"2017-10-18",58,81.5833333333333
"2017-10-19",66,81.84
"2017-10-20",72,75.0769230769231
"2017-10-21",52,70.8666666666667
"2017-10-22",45,75
"2017-10-23",33,78.5
"2017-10-24",39,83.4166666666667
"2017-10-25",45,81.8333333333333
"2017-10-26",71,75.9230769230769
"2017-10-27",32,75.68
"2017-10-28",38,74.875
"2017-10-29",65,75.96
"2017-10-30",34,72.2083333333333
"2017-10-31",35,69.375
"2017-11-01",35,70.0416666666667
"2017-11-02",48,67.7916666666667
"2017-11-03",33,69.6
"2017-11-04",68,71.5416666666667
"2017-11-05",70,66.9166666666667
"2017-11-06",50,66.875
"2017-11-07",54,69.7083333333333
"2017-11-08",56,70.24
"2017-11-09",47,70.875
"2017-11-10",51,69.28
"2017-11-11",25,68.52
"2017-11-12",45,70.0416666666667
"2017-11-13",56,71.6666666666667
"2017-11-14",40,69.0833333333333
"2017-11-15",29,68.5833333333333
"2017-11-16",44,68.7083333333333
"2017-11-17",52,67
"2017-11-18",45,66.2692307692308
"2017-11-19",68,64.9166666666667
"2017-11-20",34,64.2916666666667
"2017-11-21",40,64
"2017-11-22",81,72.2083333333333
"2017-11-23",17,70
"2017-11-24",38,68.9166666666667
"2017-11-25",50,69.1666666666667
"2017-11-26",49,69.7916666666667
