"date","gtrend.hits","temperature"
"2017-01-01",32,48.4827586206897
"2017-01-02",27,44.8913043478261
"2017-01-03",26,44.9473684210526
"2017-01-04",51,51.28125
"2017-01-05",26,36.3214285714286
"2017-01-06",27,32.7333333333333
"2017-01-07",28,20.8620689655172
"2017-01-08",29,12.9642857142857
"2017-01-09",50,12.3214285714286
"2017-01-10",25,28
"2017-01-11",0,43.2058823529412
"2017-01-12",50,60.448275862069
"2017-01-13",26,54.8571428571429
"2017-01-14",28,40.5483870967742
"2017-01-15",28,42.2424242424242
"2017-01-16",25,40.8333333333333
"2017-01-17",33,50.0909090909091
"2017-01-18",0,54.5588235294118
"2017-01-19",25,44.7142857142857
"2017-01-20",38,45.5789473684211
"2017-01-21",28,48.1666666666667
"2017-01-22",41,49.0727272727273
"2017-01-23",49,49.1960784313725
"2017-01-24",33,44.8666666666667
"2017-01-25",24,51.4285714285714
"2017-01-26",24,55.2222222222222
"2017-01-27",34,40.037037037037
"2017-01-28",58,37.0357142857143
"2017-01-29",28,39
"2017-01-30",24,35.1891891891892
"2017-01-31",24,40.1071428571429
"2017-02-01",0,44.8214285714286
"2017-02-02",49,45.4642857142857
"2017-02-03",51,34.4642857142857
"2017-02-04",85,30.5357142857143
"2017-02-05",27,40.6071428571429
"2017-02-06",48,49.6071428571429
"2017-02-07",0,61.1785714285714
"2017-02-08",24,63.0357142857143
"2017-02-09",37,43.3428571428571
"2017-02-10",25,32.7857142857143
"2017-02-11",55,51.6428571428571
"2017-02-12",41,62.5666666666667
"2017-02-13",24,46.1071428571429
"2017-02-14",49,38.75
"2017-02-15",24,43.34375
"2017-02-16",72,37.2857142857143
"2017-02-17",0,41.1785714285714
"2017-02-18",42,53.7777777777778
"2017-02-19",28,60.8214285714286
"2017-02-20",24,56.6071428571429
"2017-02-21",56,47.6785714285714
"2017-02-22",24,50.6666666666667
"2017-02-23",25,60.9655172413793
"2017-02-24",25,62.3333333333333
"2017-02-25",56,63.375
"2017-02-26",55,43.3571428571429
"2017-02-27",47,46.5357142857143
"2017-02-28",47,59.4285714285714
"2017-03-01",23,65.5151515151515
"2017-03-02",35,52.1428571428571
"2017-03-03",37,39.6666666666667
"2017-03-04",55,36.4137931034483
"2017-03-05",0,34.3214285714286
"2017-03-06",23,46.0357142857143
"2017-03-07",23,61.25
"2017-03-08",24,60.1333333333333
"2017-03-09",24,59.1071428571429
"2017-03-10",25,47.5666666666667
"2017-03-11",27,35.8928571428571
"2017-03-12",39,34.3928571428571
"2017-03-13",52,34.5
"2017-03-14",48,36.6486486486486
"2017-03-15",24,30.6428571428571
"2017-03-16",49,35.7857142857143
"2017-03-17",25,41.9642857142857
"2017-03-18",28,50.1428571428571
"2017-03-19",27,43.9142857142857
"2017-03-20",24,47.1785714285714
"2017-03-21",36,56.6428571428571
"2017-03-22",24,48.75
"2017-03-23",36,38.7857142857143
"2017-03-24",50,51.6785714285714
"2017-03-25",28,65.5357142857143
"2017-03-26",28,60.5714285714286
"2017-03-27",24,65.3214285714286
"2017-03-28",24,64.5454545454545
"2017-03-29",24,60.9354838709677
"2017-03-30",49,50.2
"2017-03-31",25,58.1785714285714
"2017-04-01",56,57.6896551724138
"2017-04-02",28,52.8214285714286
"2017-04-03",36,59.9714285714286
