"","date","hits","geo","time","keyword","gprop","category"
"1",2018-01-01,60,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"2",2018-01-02,42,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"3",2018-01-03,24,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"4",2018-01-04,41,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"5",2018-01-05,0,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"6",2018-01-06,64,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"7",2018-01-07,69,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"8",2018-01-08,40,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"9",2018-01-09,64,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"10",2018-01-10,64,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"11",2018-01-11,48,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"12",2018-01-12,50,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"13",2018-01-13,73,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"14",2018-01-14,36,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"15",2018-01-15,72,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"16",2018-01-16,47,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"17",2018-01-17,47,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"18",2018-01-18,47,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"19",2018-01-19,74,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"20",2018-01-20,54,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"21",2018-01-21,92,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"22",2018-01-22,35,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"23",2018-01-23,62,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"24",2018-01-24,39,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"25",2018-01-25,40,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"26",2018-01-26,37,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"27",2018-01-27,55,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"28",2018-01-28,27,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"29",2018-01-29,31,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
"30",2018-01-30,35,"US-CA-862","2018-01-01 2018-06-30",NA,"web",1236
