"date","gtrend.hits","temperature"
"2017-01-01",34,23.1666666666667
"2017-01-02",32,24.484375
"2017-01-03",34,23.4444444444444
"2017-01-04",41,29.6666666666667
"2017-01-05",48,13.5641025641026
"2017-01-06",32,5.75
"2017-01-07",30,9.55
"2017-01-08",30,26.0217391304348
"2017-01-09",40,42.175
"2017-01-10",39,42.28125
"2017-01-11",20,39.6
"2017-01-12",47,31.7746478873239
"2017-01-13",27,31.875
"2017-01-14",45,30.9210526315789
"2017-01-15",33,29.025641025641
"2017-01-16",49,25.5
"2017-01-17",19,24.21875
"2017-01-18",58,24.75
"2017-01-19",19,29.7540983606557
"2017-01-20",40,33.4705882352941
"2017-01-21",37,33.0689655172414
"2017-01-22",0,32.9428571428571
"2017-01-23",32,35.0892857142857
"2017-01-24",26,30
"2017-01-25",45,26.1764705882353
"2017-01-26",39,25.1081081081081
"2017-01-27",54,16.1136363636364
"2017-01-28",46,19.59375
"2017-01-29",67,18.475
"2017-01-30",19,20.7254901960784
"2017-01-31",49,24.1081081081081
"2017-02-01",38,27.15625
"2017-02-02",33,31.3589743589744
"2017-02-03",30,36.1136363636364
"2017-02-04",44,46.78125
"2017-02-05",22,46.25
"2017-02-06",38,49.40625
"2017-02-07",19,50
"2017-02-08",39,50.78125
"2017-02-09",72,57.75
"2017-02-10",61,48.6341463414634
"2017-02-11",52,38.2727272727273
"2017-02-12",22,33.65625
"2017-02-13",44,32.5625
"2017-02-14",39,34.46875
"2017-02-15",20,37.78125
"2017-02-16",29,44.8125
"2017-02-17",48,42.8125
"2017-02-18",37,49.78125
"2017-02-19",44,46.75
"2017-02-20",32,50.0625
"2017-02-21",48,47.7045454545455
"2017-02-22",38,36.1016949152542
"2017-02-23",19,29.8444444444444
"2017-02-24",30,27.6410256410256
"2017-02-25",45,27.1428571428571
"2017-02-26",43,31.84375
"2017-02-27",47,31.7428571428571
"2017-02-28",25,29.375
"2017-03-01",74,34.3125
"2017-03-02",37,37.1875
"2017-03-03",49,42.96875
"2017-03-04",32,53.6875
"2017-03-05",43,43.5531914893617
"2017-03-06",46,31.9090909090909
"2017-03-07",24,39.78125
"2017-03-08",25,49.4375
"2017-03-09",25,51.46875
"2017-03-10",46,52.96875
"2017-03-11",51,50.09375
"2017-03-12",63,51.4375
"2017-03-13",35,52.15625
"2017-03-14",0,57.84375
"2017-03-15",67,62.0625
"2017-03-16",58,60.90625
"2017-03-17",40,59.2424242424242
"2017-03-18",66,66.625
"2017-03-19",33,61
"2017-03-20",32,60.8181818181818
"2017-03-21",64,66.25
"2017-03-22",66,54.6
"2017-03-23",48,39.2978723404255
"2017-03-24",30,47.59375
"2017-03-25",23,44.1176470588235
"2017-03-26",44,45.6060606060606
"2017-03-27",29,44.3720930232558
"2017-03-28",38,45.1875
"2017-03-29",29,47.6875
"2017-03-30",39,49.0555555555556
"2017-03-31",70,48.34375
"2017-04-01",33,52.6875
"2017-04-02",22,47.0882352941176
"2017-04-03",67,43.78125
"2017-04-04",38,40.625
"2017-04-05",38,46.78125
"2017-04-06",19,61.40625
"2017-04-07",20,63.2941176470588
"2017-04-08",67,41.7222222222222
"2017-04-09",45,38.2619047619048
"2017-04-10",48,46.90625
"2017-04-11",52,50.25
"2017-04-12",33,60.4375
"2017-04-13",21,63.7058823529412
"2017-04-14",44,49.03125
"2017-04-15",0,46.40625
"2017-04-16",23,55.75
"2017-04-17",40,62.6363636363636
"2017-04-18",44,51.8571428571429
"2017-04-19",44,51.9411764705882
"2017-04-20",19,47.8809523809524
"2017-04-21",0,46.6111111111111
"2017-04-22",33,51.53125
"2017-04-23",58,57.4242424242424
"2017-04-24",38,49.3428571428571
"2017-04-25",38,44.4255319148936
"2017-04-26",19,48.875
"2017-04-27",32,45.5588235294118
"2017-04-28",100,40.0232558139535
"2017-04-29",34,47.75
"2017-04-30",22,52.125
"2017-05-01",31,56.40625
"2017-05-02",38,57.15625
"2017-05-03",45,57.65625
"2017-05-04",45,62.625
"2017-05-05",40,72.4375
"2017-05-06",34,72.5263157894737
"2017-05-07",44,68.030303030303
"2017-05-08",38,61.7837837837838
"2017-05-09",19,64.8181818181818
"2017-05-10",19,66.5
"2017-05-11",19,70.741935483871
"2017-05-12",30,72.7352941176471
"2017-05-13",45,51.875
"2017-05-14",0,55.65625
"2017-05-15",54,59.1818181818182
"2017-05-16",21,57.2352941176471
"2017-05-17",21,42.0625
"2017-05-18",51,44.05
"2017-05-19",43,52.5
"2017-05-20",32,59.28125
"2017-05-21",24,58.90625
"2017-05-22",21,64.125
"2017-05-23",33,70.2258064516129
"2017-05-24",41,73.8108108108108
"2017-05-25",42,63.0625
"2017-05-26",22,59.9090909090909
"2017-05-27",25,60.2258064516129
"2017-05-28",49,66.53125
"2017-05-29",32,70.4375
"2017-05-30",71,76.125
"2017-05-31",33,79.34375
"2017-06-01",28,74.7647058823529
"2017-06-02",54,70.46875
"2017-06-03",48,76.4375
"2017-06-04",40,84
"2017-06-05",41,76.53125
"2017-06-06",59,80.1875
"2017-06-07",20,85.9090909090909
"2017-06-08",20,85.3030303030303
"2017-06-09",42,72.3333333333333
"2017-06-10",24,68.625
"2017-06-11",24,76.53125
"2017-06-12",20,65.6857142857143
"2017-06-13",33,58.625
"2017-06-14",41,67.65625
"2017-06-15",52,74.6875
"2017-06-16",53,79
"2017-06-17",49,74.1875
"2017-06-18",48,75.25
"2017-06-19",41,81.9512195121951
"2017-06-20",52,85.8285714285714
"2017-06-21",52,85.71875
"2017-06-22",26,77.71875
"2017-06-23",31,74.15625
"2017-06-24",36,76.375
"2017-06-25",49,80.2258064516129
"2017-06-26",31,86.5483870967742
"2017-06-27",32,81.8611111111111
"2017-06-28",49,79.125
"2017-06-29",42,75.9677419354839
"2017-06-30",54,74.9666666666667
"2017-07-01",26,79
"2017-07-02",52,85.21875
"2017-07-03",34,86.9375
"2017-07-04",69,87.5
"2017-07-05",30,90.5151515151515
"2017-07-06",38,87.8125
"2017-07-07",82,89.1875
"2017-07-08",39,88.8235294117647
"2017-07-09",52,88.4375
"2017-07-10",44,86.875
"2017-07-11",45,86.125
"2017-07-12",37,85.8125
"2017-07-13",34,86.6969696969697
"2017-07-14",23,86.25
"2017-07-15",43,88.28125
"2017-07-16",60,88.625
"2017-07-17",34,86.0277777777778
"2017-07-18",44,88.0882352941177
"2017-07-19",52,85.5945945945946
"2017-07-20",44,86.21875
"2017-07-21",100,87.09375
"2017-07-22",38,86.875
"2017-07-23",34,85.125
"2017-07-24",36,85.4705882352941
"2017-07-25",77,76.625
"2017-07-26",54,75.85
"2017-07-27",36,78.96875
"2017-07-28",23,79.258064516129
"2017-07-29",64,82.125
"2017-07-30",51,83.46875
"2017-07-31",51,84.53125
"2017-08-01",56,86.28125
"2017-08-02",21,86.34375
"2017-08-03",43,87.5625
"2017-08-04",44,85.96875
"2017-08-05",51,84.6875
"2017-08-06",0,80.2121212121212
"2017-08-07",56,78.7777777777778
"2017-08-08",61,77.75
"2017-08-09",43,77.9473684210526
"2017-08-10",33,78.0909090909091
"2017-08-11",52,83.1470588235294
"2017-08-12",66,83.78125
"2017-08-13",49,80.2307692307692
"2017-08-14",88,75.3529411764706
"2017-08-15",22,71.5806451612903
"2017-08-16",50,75.5806451612903
"2017-08-17",43,79.71875
"2017-08-18",44,79.09375
"2017-08-19",50,81.6875
"2017-08-20",41,82.3870967741936
"2017-08-21",49,81
"2017-08-22",21,79.4285714285714
"2017-08-23",32,78.7878787878788
"2017-08-24",29,79.2727272727273
"2017-08-25",60,81.8125
"2017-08-26",25,83.71875
"2017-08-27",40,82.5625
"2017-08-28",21,82.84375
"2017-08-29",42,84.8787878787879
"2017-08-30",43,82.7272727272727
"2017-08-31",36,78
"2017-09-01",53,78.1875
"2017-09-02",34,79.625
"2017-09-03",41,82.40625
"2017-09-04",33,82.15625
"2017-09-05",42,81
"2017-09-06",56,79.59375
"2017-09-07",22,80.2727272727273
"2017-09-08",51,79.8888888888889
"2017-09-09",40,74.03125
"2017-09-10",48,75.46875
"2017-09-11",56,77.5
"2017-09-12",41,78.3333333333333
"2017-09-13",28,77.3142857142857
"2017-09-14",52,69.90625
"2017-09-15",44,59.188679245283
"2017-09-16",61,57.40625
"2017-09-17",63,63
"2017-09-18",21,71.7941176470588
"2017-09-19",28,55.7297297297297
"2017-09-20",41,62.9090909090909
"2017-09-21",42,49.8837209302326
"2017-09-22",44,47.7380952380952
"2017-09-23",32,47.5714285714286
"2017-09-24",47,45.3265306122449
"2017-09-25",41,50.59375
"2017-09-26",28,54.3030303030303
"2017-09-27",21,57.53125
"2017-09-28",21,61.1875
"2017-09-29",66,63
"2017-09-30",24,59.6470588235294
"2017-10-01",24,51.75
"2017-10-02",42,45.0606060606061
"2017-10-03",31,49.84375
"2017-10-04",49,57.3823529411765
"2017-10-05",0,52.6875
"2017-10-06",64,53.21875
"2017-10-07",24,61.875
"2017-10-08",24,49.3125
"2017-10-09",48,46.03125
"2017-10-10",41,51.28125
"2017-10-11",31,61.6060606060606
"2017-10-12",35,50.34375
"2017-10-13",22,49.96875
"2017-10-14",36,43.0833333333333
"2017-10-15",48,44.46875
"2017-10-16",42,49.03125
"2017-10-17",27,52.5
"2017-10-18",31,54.375
"2017-10-19",21,59.28125
"2017-10-20",43,56.8648648648649
"2017-10-21",36,47.3333333333333
"2017-10-22",58,56.65625
"2017-10-23",20,55.90625
"2017-10-24",27,51.03125
"2017-10-25",21,52.5
"2017-10-26",28,51.6875
"2017-10-27",43,50.5
"2017-10-28",47,51.5625
"2017-10-29",23,54.71875
"2017-10-30",34,50.3125
"2017-10-31",21,46.3125
"2017-11-01",53,56.3125
"2017-11-02",42,61.53125
