"date","gtrend.hits","temperature"
"2017-01-01",76,NA
"2017-01-02",39,NA
"2017-01-03",56,NA
"2017-01-04",49,NA
"2017-01-05",69,NA
"2017-01-06",46,NA
"2017-01-07",58,NA
"2017-01-08",37,NA
"2017-01-09",77,NA
"2017-01-10",55,NA
"2017-01-11",67,NA
"2017-01-12",42,NA
"2017-01-13",84,NA
"2017-01-14",58,NA
"2017-01-15",66,NA
"2017-01-16",83,NA
"2017-01-17",64,NA
"2017-01-18",51,NA
"2017-01-19",57,NA
"2017-01-20",58,NA
"2017-01-21",49,NA
"2017-01-22",46,NA
"2017-01-23",75,NA
"2017-01-24",50,NA
"2017-01-25",47,NA
"2017-01-26",57,NA
"2017-01-27",42,NA
"2017-01-28",74,NA
"2017-01-29",57,NA
"2017-01-30",65,NA
"2017-01-31",54,NA
"2017-02-01",83,NA
"2017-02-02",60,NA
"2017-02-03",67,NA
"2017-02-04",57,NA
"2017-02-05",50,NA
"2017-02-06",64,NA
"2017-02-07",50,NA
"2017-02-08",58,NA
"2017-02-09",45,NA
"2017-02-10",41,NA
"2017-02-11",66,NA
"2017-02-12",59,NA
"2017-02-13",47,NA
"2017-02-14",66,NA
"2017-02-15",56,NA
"2017-02-16",38,NA
"2017-02-17",75,NA
"2017-02-18",33,NA
"2017-02-19",40,NA
"2017-02-20",39,NA
"2017-02-21",36,NA
"2017-02-22",72,NA
"2017-02-23",67,NA
"2017-02-24",57,NA
"2017-02-25",68,NA
"2017-02-26",60,NA
"2017-02-27",53,NA
"2017-02-28",56,NA
"2017-03-01",74,NA
"2017-03-02",70,NA
"2017-03-03",70,NA
"2017-03-04",52,NA
"2017-03-05",52,NA
"2017-03-06",74,NA
"2017-03-07",50,NA
"2017-03-08",58,NA
"2017-03-09",67,NA
"2017-03-10",62,NA
"2017-03-11",81,NA
"2017-03-12",63,NA
"2017-03-13",57,NA
"2017-03-14",71,NA
"2017-03-15",72,NA
"2017-03-16",63,NA
"2017-03-17",57,NA
"2017-03-18",52,NA
"2017-03-19",43,NA
"2017-03-20",75,NA
"2017-03-21",75,NA
"2017-03-22",76,NA
"2017-03-23",63,NA
"2017-03-24",50,NA
"2017-03-25",87,NA
"2017-03-26",40,NA
"2017-03-27",36,NA
"2017-03-28",41,NA
"2017-03-29",65,NA
"2017-03-30",33,NA
"2017-03-31",42,NA
"2017-04-01",34,NA
"2017-04-02",68,NA
"2017-04-03",54,NA
"2017-04-04",43,NA
"2017-04-05",37,NA
"2017-04-06",46,NA
"2017-04-07",79,NA
"2017-04-08",74,NA
"2017-04-09",50,NA
"2017-04-10",60,NA
"2017-04-11",68,NA
"2017-04-12",58,NA
"2017-04-13",26,NA
"2017-04-14",67,NA
"2017-04-15",41,NA
"2017-04-16",53,NA
"2017-04-17",43,NA
"2017-04-18",51,NA
"2017-04-19",55,NA
"2017-04-20",49,NA
"2017-04-21",80,NA
"2017-04-22",83,NA
"2017-04-23",49,NA
"2017-04-24",78,NA
"2017-04-25",53,NA
"2017-04-26",43,NA
"2017-04-27",50,NA
"2017-04-28",64,NA
"2017-04-29",67,NA
"2017-04-30",67,NA
"2017-05-01",57,NA
"2017-05-02",54,NA
"2017-05-03",60,NA
"2017-05-04",34,NA
"2017-05-05",59,NA
"2017-05-06",67,NA
"2017-05-07",51,NA
"2017-05-08",58,NA
"2017-05-09",36,NA
"2017-05-10",62,NA
"2017-05-11",41,NA
"2017-05-12",51,NA
"2017-05-13",59,NA
"2017-05-14",58,NA
"2017-05-15",46,NA
"2017-05-16",65,NA
"2017-05-17",48,NA
"2017-05-18",27,NA
"2017-05-19",63,NA
"2017-05-20",42,NA
"2017-05-21",39,NA
"2017-05-22",75,NA
"2017-05-23",33,NA
"2017-05-24",55,NA
"2017-05-25",65,NA
"2017-05-26",26,NA
"2017-05-27",42,NA
"2017-05-28",70,NA
"2017-05-29",61,NA
"2017-05-30",36,NA
"2017-05-31",52,NA
"2017-06-01",95,NA
"2017-06-02",56,NA
"2017-06-03",38,NA
"2017-06-04",72,NA
"2017-06-05",61,NA
"2017-06-06",36,NA
"2017-06-07",51,NA
"2017-06-08",72,NA
"2017-06-09",21,NA
"2017-06-10",34,NA
"2017-06-11",39,NA
"2017-06-12",43,NA
"2017-06-13",50,NA
"2017-06-14",75,NA
"2017-06-15",61,NA
"2017-06-16",34,NA
"2017-06-17",62,NA
"2017-06-18",53,NA
"2017-06-19",43,NA
"2017-06-20",50,NA
"2017-06-21",47,NA
"2017-06-22",60,NA
"2017-06-23",100,NA
"2017-06-24",66,NA
"2017-06-25",60,NA
"2017-06-26",75,NA
"2017-06-27",57,NA
"2017-06-28",40,NA
"2017-06-29",62,NA
"2017-06-30",50,NA
"2017-07-01",46,NA
"2017-07-02",47,NA
"2017-07-03",70,NA
"2017-07-04",65,NA
"2017-07-05",49,NA
"2017-07-06",48,NA
"2017-07-07",46,NA
