"date","gtrend.hits","temperature"
"2017-01-01",86,57.2608695652174
"2017-01-02",0,61.734693877551
"2017-01-03",0,57.3714285714286
"2017-01-04",34,44.0888888888889
"2017-01-05",35,41.0892857142857
"2017-01-06",0,32.6511627906977
"2017-01-07",0,27.28125
"2017-01-08",33,31.90625
"2017-01-09",33,45.40625
"2017-01-10",0,66.3170731707317
"2017-01-11",33,70.875
"2017-01-12",35,70.8095238095238
"2017-01-13",38,65.7547169811321
"2017-01-14",0,64.6181818181818
"2017-01-15",44,63.6136363636364
"2017-01-16",33,65.8703703703704
"2017-01-17",32,54.5686274509804
"2017-01-18",34,55.6101694915254
"2017-01-19",0,56.42
"2017-01-20",0,63.0476190476191
"2017-01-21",37,65.046511627907
"2017-01-22",33,57.8611111111111
"2017-01-23",65,52.25
"2017-01-24",0,60.9090909090909
"2017-01-25",33,62.6153846153846
"2017-01-26",34,45.5483870967742
"2017-01-27",77,45.0967741935484
"2017-01-28",38,46.03125
"2017-01-29",0,50.125
"2017-01-30",33,56.5625
"2017-01-31",32,64.4848484848485
"2017-02-01",0,65
"2017-02-02",0,55.1454545454545
"2017-02-03",38,45.5714285714286
"2017-02-04",37,46.6829268292683
"2017-02-05",0,52.5384615384615
"2017-02-06",32,65.36
"2017-02-07",0,71.9069767441861
"2017-02-08",33,65.1388888888889
"2017-02-09",34,49.625
"2017-02-10",38,58.3428571428571
"2017-02-11",0,73.3720930232558
"2017-02-12",0,71.0227272727273
"2017-02-13",0,61.1538461538462
"2017-02-14",33,51.9056603773585
"2017-02-15",33,49.9333333333333
"2017-02-16",0,50.5
"2017-02-17",57,56.7878787878788
"2017-02-18",37,63.0476190476191
"2017-02-19",34,65.9818181818182
"2017-02-20",32,63.2619047619048
"2017-02-21",0,62.0851063829787
"2017-02-22",100,65.0769230769231
"2017-02-23",0,68.0625
"2017-02-24",38,66
"2017-02-25",0,48.71875
"2017-02-26",32,57.3157894736842
"2017-02-27",0,63.2608695652174
"2017-02-28",0,72.7906976744186
"2017-03-01",32,69.2894736842105
"2017-03-02",0,54.75
"2017-03-03",74,55.1875
"2017-03-04",36,54.71875
"2017-03-05",65,58.1904761904762
"2017-03-06",32,68.2380952380952
"2017-03-07",32,62.8372093023256
"2017-03-08",0,60.2
"2017-03-09",0,67.7560975609756
"2017-03-10",0,68.55
"2017-03-11",49,52.3414634146341
"2017-03-12",32,47.3513513513514
"2017-03-13",0,50
"2017-03-14",32,48.46875
"2017-03-15",33,48.1842105263158
"2017-03-16",34,56.4594594594595
"2017-03-17",38,68.1282051282051
"2017-03-18",36,70.1666666666667
"2017-03-19",0,69.3243243243243
"2017-03-20",32,74.5121951219512
"2017-03-21",32,70.5
"2017-03-22",33,68.1891891891892
"2017-03-23",33,71.9117647058823
"2017-03-24",38,71.9607843137255
"2017-03-25",0,66.7428571428571
"2017-03-26",0,69.030303030303
"2017-03-27",32,72.75
"2017-03-28",34,75.4054054054054
"2017-03-29",0,69.7045454545455
"2017-03-30",37,63.4242424242424
"2017-03-31",39,68.4375
"2017-04-01",39,71.96875
"2017-04-02",69,63.5555555555556
"2017-04-03",0,66.0681818181818
"2017-04-04",66,71.59375
"2017-04-05",34,62.8235294117647
"2017-04-06",0,59.71875
"2017-04-07",38,60.96875
"2017-04-08",37,67.03125
"2017-04-09",0,70.5588235294118
"2017-04-10",32,71.945945945946
"2017-04-11",32,67.3035714285714
"2017-04-12",33,69.8666666666667
"2017-04-13",35,71.7575757575758
"2017-04-14",0,70.6176470588235
"2017-04-15",38,71.7297297297297
"2017-04-16",32,73.5609756097561
"2017-04-17",0,72.9736842105263
"2017-04-18",0,72.2926829268293
"2017-04-19",33,73.425
"2017-04-20",36,74.5
"2017-04-21",39,75.1555555555556
"2017-04-22",0,63.0877192982456
"2017-04-23",32,58.225
"2017-04-24",33,63.5
"2017-04-25",33,70.2424242424242
"2017-04-26",33,68.6851851851852
"2017-04-27",0,61.9090909090909
"2017-04-28",0,76.1190476190476
"2017-04-29",0,77.94
"2017-04-30",33,61
"2017-05-01",0,63.4516129032258
"2017-05-02",0,70.53125
"2017-05-03",0,66.4615384615385
"2017-05-04",34,61.3939393939394
"2017-05-05",0,64.90625
"2017-05-06",38,65.75
"2017-05-07",33,69.84375
"2017-05-08",32,71.53125
"2017-05-09",0,72.5625
"2017-05-10",33,74.1351351351351
"2017-05-11",34,74.2291666666667
"2017-05-12",39,68.9111111111111
"2017-05-13",0,69.1025641025641
"2017-05-14",33,70.59375
"2017-05-15",33,73.875
"2017-05-16",33,75.28125
"2017-05-17",66,77.2352941176471
"2017-05-18",34,78.9210526315789
"2017-05-19",0,80.5
"2017-05-20",38,73.7551020408163
"2017-05-21",33,67.3333333333333
"2017-05-22",33,62.8
"2017-05-23",0,65.0652173913043
"2017-05-24",34,63.6666666666667
"2017-05-25",35,71.4848484848485
"2017-05-26",39,78.1052631578947
"2017-05-27",38,81.1578947368421
"2017-05-28",34,72.6714285714286
"2017-05-29",33,72.0454545454545
"2017-05-30",33,72.4516129032258
"2017-05-31",0,74.304347826087
"2017-06-01",35,74.0606060606061
"2017-06-02",39,74.9090909090909
"2017-06-03",0,76.725
"2017-06-04",0,73.5593220338983
"2017-06-05",33,75.9512195121951
"2017-06-06",0,76.9772727272727
"2017-06-07",33,78.21875
"2017-06-08",35,74.09375
"2017-06-09",38,72.59375
"2017-06-10",0,77.40625
"2017-06-11",32,79.7878787878788
"2017-06-12",31,78.6734693877551
"2017-06-13",0,79.5869565217391
"2017-06-14",32,80.9523809523809
"2017-06-15",35,82.775
"2017-06-16",38,83.4375
"2017-06-17",38,81.65
"2017-06-18",49,82.5365853658537
"2017-06-19",0,81.6341463414634
"2017-06-20",0,82.1875
"2017-06-21",33,78.3111111111111
"2017-06-22",0,77.3564356435644
"2017-06-23",0,81.3207547169811
"2017-06-24",37,76.6444444444444
"2017-06-25",32,75.1081081081081
"2017-06-26",0,77.1875
"2017-06-27",33,79.46875
"2017-06-28",33,80.3125
"2017-06-29",35,80.2682926829268
"2017-06-30",0,84.7878787878788
"2017-07-01",0,78.1363636363636
