"date","gtrend.hits","temperature"
"2017-01-01",66,33.5333333333333
"2017-01-02",37,46.0535714285714
"2017-01-03",36,43.1739130434783
"2017-01-04",27,23.4583333333333
"2017-01-05",72,19.2156862745098
"2017-01-06",82,12.5882352941176
"2017-01-07",44,13.375
"2017-01-08",59,18.7916666666667
"2017-01-09",52,33.9615384615385
"2017-01-10",26,51.8461538461538
"2017-01-11",43,49.6774193548387
"2017-01-12",52,36.6470588235294
"2017-01-13",80,29.6
"2017-01-14",30,33.0357142857143
"2017-01-15",29,35.5128205128205
"2017-01-16",26,46.8059701492537
"2017-01-17",50,45.8666666666667
"2017-01-18",25,42.1923076923077
"2017-01-19",51,45.3666666666667
"2017-01-20",66,50.7894736842105
"2017-01-21",29,57
"2017-01-22",67,48.9117647058824
"2017-01-23",59,41.4666666666667
"2017-01-24",25,44.04
"2017-01-25",25,45.5769230769231
"2017-01-26",25,33.6
"2017-01-27",92,31.037037037037
"2017-01-28",30,35.9615384615385
"2017-01-29",43,34.7096774193548
"2017-01-30",50,37.7692307692308
"2017-01-31",50,46.7916666666667
"2017-02-01",49,40.0833333333333
"2017-02-02",51,29.9259259259259
"2017-02-03",26,27.4166666666667
"2017-02-04",43,30.4583333333333
"2017-02-05",85,41.625
"2017-02-06",62,50
"2017-02-07",50,60.0625
"2017-02-08",50,32.4838709677419
"2017-02-09",51,23.7083333333333
"2017-02-10",26,47.0833333333333
"2017-02-11",68,58.1
"2017-02-12",57,49.825
"2017-02-13",49,37.2083333333333
"2017-02-14",38,48
"2017-02-15",38,39.7916666666667
"2017-02-16",62,49.0833333333333
"2017-02-17",63,60.4166666666667
"2017-02-18",86,52.625
"2017-02-19",86,52.8888888888889
"2017-02-20",42,63.2083333333333
"2017-02-21",25,59.3684210526316
"2017-02-22",74,54
"2017-02-23",25,58.5333333333333
"2017-02-24",39,56.2222222222222
"2017-02-25",58,33.125
"2017-02-26",47,37.6153846153846
"2017-02-27",32,52.625
"2017-02-28",41,63.5555555555556
"2017-03-01",48,50.4516129032258
"2017-03-02",72,40.1304347826087
"2017-03-03",26,35.75
"2017-03-04",42,52.375
"2017-03-05",56,53.75
"2017-03-06",36,61.8333333333333
"2017-03-07",47,53.448275862069
"2017-03-08",25,54
"2017-03-09",25,58.5925925925926
"2017-03-10",26,39.5416666666667
"2017-03-11",29,31.6923076923077
"2017-03-12",81,36.5416666666667
"2017-03-13",34,34.5882352941176
"2017-03-14",50,29.9444444444444
"2017-03-15",58,27.25
"2017-03-16",42,39.4
"2017-03-17",26,52.6923076923077
"2017-03-18",76,48.2916666666667
"2017-03-19",56,46.4166666666667
"2017-03-20",33,63.9166666666667
"2017-03-21",33,53.3333333333333
"2017-03-22",25,43.875
"2017-03-23",33,48.1666666666667
"2017-03-24",52,66.1851851851852
"2017-03-25",58,60.0425531914894
"2017-03-26",28,55.2758620689655
"2017-03-27",50,54.025641025641
"2017-03-28",100,55.40625
"2017-03-29",25,58.71875
"2017-03-30",38,60.3421052631579
"2017-03-31",52,48
"2017-04-01",29,49.9259259259259
"2017-04-02",29,56.75
"2017-04-03",62,62.2083333333333
"2017-04-04",50,58.5757575757576
"2017-04-05",0,53.44
"2017-04-06",63,50.52
"2017-04-07",39,50.8333333333333
"2017-04-08",29,60.3333333333333
"2017-04-09",29,70.3333333333333
"2017-04-10",51,69.6470588235294
"2017-04-11",63,54.1
"2017-04-12",51,57.7083333333333
"2017-04-13",53,68.5416666666667
"2017-04-14",38,71.9230769230769
"2017-04-15",30,74.625
"2017-04-16",60,68.4074074074074
"2017-04-17",39,59.4583333333333
"2017-04-18",25,65.0833333333333
"2017-04-19",37,74.6666666666667
"2017-04-20",100,72.48
"2017-04-21",52,52.5
"2017-04-22",87,51.0833333333333
"2017-04-23",37,57
"2017-04-24",99,57.7307692307692
"2017-04-25",25,67.25
"2017-04-26",37,61.9777777777778
"2017-04-27",25,52.2432432432432
"2017-04-28",43,57.093023255814
"2017-04-29",59,61.3478260869565
"2017-04-30",29,61.9130434782609
"2017-05-01",54,52.4166666666667
"2017-05-02",25,59.25
"2017-05-03",50,48.8571428571429
"2017-05-04",75,49.8333333333333
"2017-05-05",77,56.3333333333333
"2017-05-06",29,60
"2017-05-07",86,56.1818181818182
"2017-05-08",50,67.2916666666667
"2017-05-09",25,75.125
"2017-05-10",42,75.3928571428571
"2017-05-11",63,69.0227272727273
"2017-05-12",39,64.8333333333333
"2017-05-13",44,62.4545454545455
"2017-05-14",29,71.4583333333333
"2017-05-15",39,75.0416666666667
"2017-05-16",27,77.2916666666667
"2017-05-17",45,77.2083333333333
"2017-05-18",67,80
"2017-05-19",56,69.7142857142857
"2017-05-20",31,66.7083333333333
"2017-05-21",78,63.4230769230769
"2017-05-22",40,62.75
"2017-05-23",26,63.6129032258064
"2017-05-24",36,61.1851851851852
"2017-05-25",46,65.2916666666667
"2017-05-26",29,72.2083333333333
"2017-05-27",65,70.925
"2017-05-28",54,69.7857142857143
"2017-05-29",42,70.15625
"2017-05-30",44,64.2888888888889
"2017-05-31",43,71.125
"2017-06-01",27,71.625
"2017-06-02",75,76.5833333333333
"2017-06-03",47,79.28
"2017-06-04",46,77.2666666666667
"2017-06-05",27,73.6734693877551
"2017-06-06",51,72.8333333333333
"2017-06-07",61,70.3703703703704
"2017-06-08",26,69.125
"2017-06-09",27,73.25
"2017-06-10",32,76.9583333333333
"2017-06-11",31,80.3333333333333
"2017-06-12",43,83.2
"2017-06-13",52,85.5416666666667
"2017-06-14",27,80.7027027027027
"2017-06-15",27,75.2285714285714
"2017-06-16",28,80.9642857142857
"2017-06-17",32,80.875
"2017-06-18",47,74.6444444444444
"2017-06-19",44,76.7916666666667
"2017-06-20",76,79.5416666666667
"2017-06-21",42,83.2916666666667
"2017-06-22",77,80.0606060606061
"2017-06-23",27,79.1666666666667
"2017-06-24",62,71.5833333333333
"2017-06-25",63,72.5
"2017-06-26",27,67
"2017-06-27",46,69.4074074074074
"2017-06-28",55,77.0833333333333
"2017-06-29",27,81.5555555555556
"2017-06-30",56,77.7037037037037
"2017-07-01",20,78.2916666666667
"2017-07-02",0,77.9166666666667
"2017-07-03",27,79.75
