"date","latitude","longitude","name","temperature","source"
"2017-01-01T00:38:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","38",7
"2017-01-01T00:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","38",7
"2017-01-01T01:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","38",4
"2017-01-01T01:37:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","37",7
"2017-01-01T01:52:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","36",6
"2017-01-01T01:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","35",7
"2017-01-01T02:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","35",7
"2017-01-01T03:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","35",7
"2017-01-01T04:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","35",4
"2017-01-01T04:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","34",7
"2017-01-01T05:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","33",7
"2017-01-01T06:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","33",7
"2017-01-01T07:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","33",4
"2017-01-01T07:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","33",7
"2017-01-01T08:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","32",7
"2017-01-01T09:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","33",7
"2017-01-01T10:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","33",4
"2017-01-01T10:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","34",7
"2017-01-01T11:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","36",7
"2017-01-01T12:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","37",7
"2017-01-01T13:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","37",4
"2017-01-01T13:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","38",7
"2017-01-01T14:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","37",7
"2017-01-01T15:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","37",7
"2017-01-01T16:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","37",4
"2017-01-01T16:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","34",7
"2017-01-01T17:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","28",7
"2017-01-01T18:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","29",7
"2017-01-01T19:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","29",4
"2017-01-01T19:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","27",7
"2017-01-01T20:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","26",7
"2017-01-01T21:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","25",7
"2017-01-01T22:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","25",4
"2017-01-01T22:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","24",7
"2017-01-01T23:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","22",7
"2017-01-01T23:59:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","",6
"2017-01-02T00:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","21",7
"2017-01-02T01:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","21",4
"2017-01-02T01:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","21",7
"2017-01-02T02:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","22",7
"2017-01-02T03:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","22",7
"2017-01-02T04:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","22",4
"2017-01-02T04:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","21",7
"2017-01-02T05:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","21",7
"2017-01-02T06:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","21",7
"2017-01-02T07:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","21",4
"2017-01-02T07:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","19",7
"2017-01-02T08:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","22",7
"2017-01-02T09:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","26",7
"2017-01-02T10:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","26",4
"2017-01-02T10:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","29",7
"2017-01-02T11:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","31",7
"2017-01-02T12:52:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","34",6
"2017-01-02T12:54:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","33",7
"2017-01-02T13:00:00",43.1111,-76.1038,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","33",4
