"","date","hits","geo","time","keyword","gprop","category"
"1",2017-01-01,92,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"2",2017-01-02,76,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"3",2017-01-03,86,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"4",2017-01-04,46,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"5",2017-01-05,43,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"6",2017-01-06,32,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"7",2017-01-07,54,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"8",2017-01-08,34,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"9",2017-01-09,44,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"10",2017-01-10,47,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"11",2017-01-11,58,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"12",2017-01-12,54,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"13",2017-01-13,27,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"14",2017-01-14,81,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"15",2017-01-15,53,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"16",2017-01-16,59,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"17",2017-01-17,17,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"18",2017-01-18,61,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"19",2017-01-19,53,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"20",2017-01-20,54,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"21",2017-01-21,47,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"22",2017-01-22,39,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"23",2017-01-23,52,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"24",2017-01-24,46,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"25",2017-01-25,29,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"26",2017-01-26,41,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"27",2017-01-27,48,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"28",2017-01-28,75,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"29",2017-01-29,40,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"30",2017-01-30,51,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"31",2017-01-31,40,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"32",2017-02-01,39,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"33",2017-02-02,44,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"34",2017-02-03,36,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"35",2017-02-04,26,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"36",2017-02-05,29,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"37",2017-02-06,34,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"38",2017-02-07,23,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"39",2017-02-08,43,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"40",2017-02-09,75,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"41",2017-02-10,48,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"42",2017-02-11,40,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"43",2017-02-12,29,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"44",2017-02-13,59,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"45",2017-02-14,69,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"46",2017-02-15,70,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"47",2017-02-16,51,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"48",2017-02-17,40,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"49",2017-02-18,40,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"50",2017-02-19,33,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"51",2017-02-20,23,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"52",2017-02-21,51,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"53",2017-02-22,51,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"54",2017-02-23,43,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"55",2017-02-24,42,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"56",2017-02-25,60,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"57",2017-02-26,29,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"58",2017-02-27,42,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"59",2017-02-28,34,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"60",2017-03-01,28,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"61",2017-03-02,42,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"62",2017-03-03,41,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"63",2017-03-04,26,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"64",2017-03-05,57,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"65",2017-03-06,44,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"66",2017-03-07,43,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"67",2017-03-08,39,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"68",2017-03-09,34,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"69",2017-03-10,65,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"70",2017-03-11,78,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"71",2017-03-12,74,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"72",2017-03-13,32,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"73",2017-03-14,28,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
"74",2017-03-15,57,"US-FL-539","2017-01-01 2017-06-30",NA,"web",1236
