"date","gtrend.hits","temperature"
"2017-01-01",0,49
"2017-01-02",40,46.5
"2017-01-03",26,50.25
"2017-01-04",26,53.2083333333333
"2017-01-05",27,54.375
"2017-01-06",29,52.8
"2017-01-07",0,53.625
"2017-01-08",0,59.9565217391304
"2017-01-09",26,61.2916666666667
"2017-01-10",25,55.0833333333333
"2017-01-11",26,53.8333333333333
"2017-01-12",40,54.32
"2017-01-13",73,54.7083333333333
"2017-01-14",58,55.7058823529412
"2017-01-15",25,48.3684210526316
"2017-01-16",0,48.5581395348837
"2017-01-17",75,49.8461538461538
"2017-01-18",25,49.75
"2017-01-19",52,50.1153846153846
"2017-01-20",29,50.304347826087
"2017-01-21",28,48.1944444444444
"2017-01-22",25,47.4166666666667
"2017-01-23",25,53.2857142857143
"2017-01-24",50,43.75
"2017-01-25",25,40.1666666666667
"2017-01-26",26,40.5
"2017-01-27",29,42.24
"2017-01-28",43,43.2083333333333
"2017-01-29",25,53.2592592592593
"2017-01-30",33,57.1666666666667
"2017-01-31",25,54.1666666666667
"2017-02-01",25,54.5416666666667
"2017-02-02",43,56.0416666666667
"2017-02-03",29,57.0416666666667
"2017-02-04",29,56.7391304347826
"2017-02-05",25,59.7916666666667
"2017-02-06",0,57.6071428571429
"2017-02-07",25,55.2916666666667
"2017-02-08",25,58.7083333333333
"2017-02-09",0,63.1666666666667
"2017-02-10",43,68.0833333333333
"2017-02-11",43,67.3846153846154
"2017-02-12",26,61.4838709677419
"2017-02-13",26,57.5357142857143
"2017-02-14",0,56.2692307692308
"2017-02-15",26,59.4666666666667
"2017-02-16",26,57.4583333333333
"2017-02-17",0,61
"2017-02-18",29,57.0294117647059
"2017-02-19",25,51.2
"2017-02-20",25,54.1052631578947
"2017-02-21",37,57.875
"2017-02-22",25,63.9166666666667
"2017-02-23",26,54.6666666666667
"2017-02-24",85,46.9583333333333
"2017-02-25",0,49.8333333333333
"2017-02-26",0,56.8148148148148
"2017-02-27",49,57.5555555555556
"2017-02-28",41,59.3333333333333
"2017-03-01",24,54.0416666666667
"2017-03-02",26,59.12
"2017-03-03",86,65.3333333333333
"2017-03-04",0,67.6428571428571
"2017-03-05",32,64.7083333333333
"2017-03-06",49,55.72
"2017-03-07",37,57.0833333333333
"2017-03-08",38,64.375
"2017-03-09",0,67.0416666666667
"2017-03-10",86,70.5833333333333
"2017-03-11",28,69.9166666666667
"2017-03-12",41,68.0833333333333
"2017-03-13",98,70.5
"2017-03-14",25,71.2083333333333
"2017-03-15",25,72.25
"2017-03-16",34,72
"2017-03-17",28,72.9583333333333
"2017-03-18",0,74.25
"2017-03-19",25,74.625
"2017-03-20",37,77.625
"2017-03-21",25,75.6
