"date","gtrend.hits","temperature"
"2017-01-01",0,62.325
"2017-01-02",0,62.0526315789474
"2017-01-03",73,51.1785714285714
"2017-01-04",0,38.3548387096774
"2017-01-05",37,39.8333333333333
"2017-01-06",0,25.9666666666667
"2017-01-07",40,25.625
"2017-01-08",41,34.2916666666667
"2017-01-09",0,51.2142857142857
"2017-01-10",0,67.88
"2017-01-11",36,69.969696969697
"2017-01-12",0,71.6129032258064
"2017-01-13",37,67.3414634146341
"2017-01-14",41,55.3050847457627
"2017-01-15",0,62.3157894736842
"2017-01-16",35,62.0571428571429
"2017-01-17",0,50.7407407407407
"2017-01-18",0,51.3137254901961
"2017-01-19",0,54.0454545454545
"2017-01-20",0,61.4074074074074
"2017-01-21",40,59.5333333333333
"2017-01-22",0,56.4444444444444
"2017-01-23",35,52.7916666666667
"2017-01-24",35,64.44
"2017-01-25",0,57.5862068965517
"2017-01-26",0,42.2916666666667
"2017-01-27",0,42.9166666666667
"2017-01-28",41,45.9583333333333
"2017-01-29",100,51.125
"2017-01-30",35,57.375
"2017-01-31",35,60.0416666666667
"2017-02-01",0,63.76
"2017-02-02",35,51.8918918918919
"2017-02-03",0,46.96
"2017-02-04",60,46.8333333333333
"2017-02-05",40,56.8095238095238
"2017-02-06",0,68.325
"2017-02-07",35,69.76
"2017-02-08",0,61.0416666666667
"2017-02-09",0,49.0416666666667
"2017-02-10",36,60
"2017-02-11",0,73.7142857142857
"2017-02-12",0,70.258064516129
"2017-02-13",0,62.0689655172414
"2017-02-14",35,49.2826086956522
"2017-02-15",35,49.3703703703704
"2017-02-16",0,49.68
"2017-02-17",0,55.3076923076923
"2017-02-18",40,63.7272727272727
"2017-02-19",80,68.5263157894737
"2017-02-20",52,58.7272727272727
"2017-02-21",0,60.4210526315789
"2017-02-22",34,64.4166666666667
"2017-02-23",35,69.5
"2017-02-24",36,60.1785714285714
"2017-02-25",40,46.625
"2017-02-26",39,56.3461538461538
"2017-02-27",0,69.8235294117647
"2017-02-28",0,74.0882352941177
"2017-03-01",33,64.1935483870968
"2017-03-02",0,53.52
"2017-03-03",0,55.4583333333333
"2017-03-04",39,52.4
"2017-03-05",0,57.8205128205128
"2017-03-06",66,71.3125
"2017-03-07",0,63.3225806451613
"2017-03-08",34,60
"2017-03-09",34,68.7
"2017-03-10",71,69.7368421052632
"2017-03-11",0,56.5128205128205
"2017-03-12",37,44.9189189189189
"2017-03-13",0,50.7692307692308
"2017-03-14",34,49.3333333333333
"2017-03-15",34,52.9583333333333
"2017-03-16",52,60.3793103448276
"2017-03-17",73,69.8181818181818
"2017-03-18",40,68.46875
"2017-03-19",0,70.7407407407407
"2017-03-20",0,73.75
"2017-03-21",0,69.7142857142857
"2017-03-22",0,68.7931034482759
"2017-03-23",35,70.9117647058823
"2017-03-24",54,66.0612244897959
"2017-03-25",0,63.0714285714286
"2017-03-26",0,68.8846153846154
"2017-03-27",34,71.1666666666667
"2017-03-28",35,71.9210526315789
"2017-03-29",35,66.0769230769231
"2017-03-30",35,61.4166666666667
"2017-03-31",36,67.5416666666667
"2017-04-01",0,69.875
"2017-04-02",40,63.6271186440678
"2017-04-03",0,62.9705882352941
"2017-04-04",34,71.6923076923077
"2017-04-05",34,57.7241379310345
"2017-04-06",35,59.7083333333333
"2017-04-07",36,61.6666666666667
"2017-04-08",40,67.1666666666667
"2017-04-09",41,71.2692307692308
"2017-04-10",0,71
"2017-04-11",0,66.4117647058823
"2017-04-12",0,66.0232558139535
"2017-04-13",37,69.0294117647059
"2017-04-14",0,70.2083333333333
"2017-04-15",0,69.84375
"2017-04-16",0,72.28125
"2017-04-17",36,71.0857142857143
"2017-04-18",34,70.2333333333333
"2017-04-19",0,71.1666666666667
"2017-04-20",0,73.1428571428571
"2017-04-21",0,74.1034482758621
"2017-04-22",0,60.4705882352941
"2017-04-23",39,58.1666666666667
"2017-04-24",34,63.625
"2017-04-25",34,71.9310344827586
"2017-04-26",34,66.3488372093023
"2017-04-27",34,62.0833333333333
"2017-04-28",0,77.1515151515152
