"date","gtrend.hits","temperature"
"2017-01-01",42,42.1142857142857
"2017-01-02",0,49.7884615384615
"2017-01-03",0,28.96875
"2017-01-04",33,21.5
"2017-01-05",35,16.25
"2017-01-06",38,13.8571428571429
"2017-01-07",55,18.6428571428571
"2017-01-08",33,28.6428571428571
"2017-01-09",32,37.6071428571429
"2017-01-10",33,52.3571428571429
"2017-01-11",33,43.7241379310345
"2017-01-12",34,23.4285714285714
"2017-01-13",37,25.46875
"2017-01-14",37,31.1794871794872
"2017-01-15",33,33.2727272727273
"2017-01-16",32,38.9387755102041
"2017-01-17",0,39.2666666666667
"2017-01-18",48,42.6785714285714
"2017-01-19",34,45.5818181818182
"2017-01-20",37,43.1016949152542
"2017-01-21",72,41.4642857142857
"2017-01-22",32,45.3103448275862
"2017-01-23",32,40.2142857142857
"2017-01-24",32,45.8965517241379
"2017-01-25",0,33.8666666666667
"2017-01-26",34,30.1111111111111
"2017-01-27",0,34.3703703703704
"2017-01-28",55,40.1785714285714
"2017-01-29",32,44.3571428571429
"2017-01-30",64,47.2222222222222
"2017-01-31",32,46.5714285714286
"2017-02-01",33,39.3928571428571
"2017-02-02",33,27.2857142857143
"2017-02-03",74,29.8571428571429
"2017-02-04",55,40.1071428571429
"2017-02-05",0,37.72
"2017-02-06",48,51.4285714285714
"2017-02-07",32,46.8
"2017-02-08",0,28.8666666666667
"2017-02-09",33,31.7857142857143
"2017-02-10",37,55.0357142857143
"2017-02-11",0,58.6071428571429
"2017-02-12",33,45.25
"2017-02-13",33,42.7142857142857
"2017-02-14",0,42.8571428571429
"2017-02-15",33,42.7142857142857
"2017-02-16",34,48.75
"2017-02-17",74,51.5
"2017-02-18",37,53.5666666666667
"2017-02-19",32,53.1739130434783
"2017-02-20",32,57.1891891891892
"2017-02-21",0,53.4285714285714
"2017-02-22",32,56.8620689655172
"2017-02-23",34,54.5294117647059
"2017-02-24",0,34.5625
"2017-02-25",36,30.6071428571429
"2017-02-26",63,41.25
"2017-02-27",32,49.4722222222222
"2017-02-28",42,57.3658536585366
"2017-03-01",0,44.3103448275862
"2017-03-02",33,44.6785714285714
"2017-03-03",55,50.5
"2017-03-04",54,54.25
"2017-03-05",32,56.78125
"2017-03-06",32,64.9393939393939
"2017-03-07",0,47.2857142857143
"2017-03-08",33,52.5357142857143
"2017-03-09",34,58.2333333333333
"2017-03-10",0,41.0357142857143
"2017-03-11",0,37.5
"2017-03-12",32,35.1428571428571
"2017-03-13",32,33.2333333333333
"2017-03-14",32,33.5357142857143
"2017-03-15",0,39
"2017-03-16",34,55.8928571428571
"2017-03-17",37,60.4166666666667
"2017-03-18",36,59.2857142857143
"2017-03-19",32,72.5
"2017-03-20",64,71.5
"2017-03-21",31,59.8571428571429
"2017-03-22",32,52.0606060606061
"2017-03-23",33,65.0606060606061
"2017-03-24",37,63.4634146341463
"2017-03-25",37,44.4516129032258
"2017-03-26",32,49.7111111111111
"2017-03-27",0,50.4375
"2017-03-28",33,51.7755102040816
"2017-03-29",34,52.6458333333333
"2017-03-30",0,44.9722222222222
"2017-03-31",0,49.0833333333333
"2017-04-01",39,48.6451612903226
