"interest_over_time.date","interest_over_time.hits","interest_over_time.geo","interest_over_time.time","interest_over_time.keyword","interest_over_time.gprop","interest_over_time.category"
2015-02-15,33,"US-AL-606","today+5-y",NA,"web",1236
2015-02-22,33,"US-AL-606","today+5-y",NA,"web",1236
2015-03-01,33,"US-AL-606","today+5-y",NA,"web",1236
2015-03-08,0,"US-AL-606","today+5-y",NA,"web",1236
2015-03-15,33,"US-AL-606","today+5-y",NA,"web",1236
2015-03-22,71,"US-AL-606","today+5-y",NA,"web",1236
2015-03-29,34,"US-AL-606","today+5-y",NA,"web",1236
2015-04-05,68,"US-AL-606","today+5-y",NA,"web",1236
2015-04-12,0,"US-AL-606","today+5-y",NA,"web",1236
2015-04-19,33,"US-AL-606","today+5-y",NA,"web",1236
2015-04-26,0,"US-AL-606","today+5-y",NA,"web",1236
2015-05-03,0,"US-AL-606","today+5-y",NA,"web",1236
2015-05-10,33,"US-AL-606","today+5-y",NA,"web",1236
2015-05-17,33,"US-AL-606","today+5-y",NA,"web",1236
2015-05-24,0,"US-AL-606","today+5-y",NA,"web",1236
2015-05-31,33,"US-AL-606","today+5-y",NA,"web",1236
2015-06-07,32,"US-AL-606","today+5-y",NA,"web",1236
2015-06-14,0,"US-AL-606","today+5-y",NA,"web",1236
2015-06-21,33,"US-AL-606","today+5-y",NA,"web",1236
2015-06-28,33,"US-AL-606","today+5-y",NA,"web",1236
2015-07-05,33,"US-AL-606","today+5-y",NA,"web",1236
2015-07-12,67,"US-AL-606","today+5-y",NA,"web",1236
2015-07-19,67,"US-AL-606","today+5-y",NA,"web",1236
2015-07-26,49,"US-AL-606","today+5-y",NA,"web",1236
2015-08-02,0,"US-AL-606","today+5-y",NA,"web",1236
2015-08-09,33,"US-AL-606","today+5-y",NA,"web",1236
2015-08-16,0,"US-AL-606","today+5-y",NA,"web",1236
2015-08-23,64,"US-AL-606","today+5-y",NA,"web",1236
2015-08-30,32,"US-AL-606","today+5-y",NA,"web",1236
2015-09-06,32,"US-AL-606","today+5-y",NA,"web",1236
2015-09-13,62,"US-AL-606","today+5-y",NA,"web",1236
2015-09-20,31,"US-AL-606","today+5-y",NA,"web",1236
2015-09-27,46,"US-AL-606","today+5-y",NA,"web",1236
2015-10-04,31,"US-AL-606","today+5-y",NA,"web",1236
2015-10-11,0,"US-AL-606","today+5-y",NA,"web",1236
2015-10-18,0,"US-AL-606","today+5-y",NA,"web",1236
2015-10-25,30,"US-AL-606","today+5-y",NA,"web",1236
2015-11-01,30,"US-AL-606","today+5-y",NA,"web",1236
2015-11-08,0,"US-AL-606","today+5-y",NA,"web",1236
2015-11-15,30,"US-AL-606","today+5-y",NA,"web",1236
2015-11-22,30,"US-AL-606","today+5-y",NA,"web",1236
2015-11-29,40,"US-AL-606","today+5-y",NA,"web",1236
2015-12-06,30,"US-AL-606","today+5-y",NA,"web",1236
2015-12-13,31,"US-AL-606","today+5-y",NA,"web",1236
2015-12-20,34,"US-AL-606","today+5-y",NA,"web",1236
2015-12-27,0,"US-AL-606","today+5-y",NA,"web",1236
2016-01-03,65,"US-AL-606","today+5-y",NA,"web",1236
2016-01-10,0,"US-AL-606","today+5-y",NA,"web",1236
2016-01-17,32,"US-AL-606","today+5-y",NA,"web",1236
2016-01-24,42,"US-AL-606","today+5-y",NA,"web",1236
2016-01-31,32,"US-AL-606","today+5-y",NA,"web",1236
2016-02-07,32,"US-AL-606","today+5-y",NA,"web",1236
2016-02-14,47,"US-AL-606","today+5-y",NA,"web",1236
2016-02-21,62,"US-AL-606","today+5-y",NA,"web",1236
2016-02-28,31,"US-AL-606","today+5-y",NA,"web",1236
2016-03-06,94,"US-AL-606","today+5-y",NA,"web",1236
2016-03-13,31,"US-AL-606","today+5-y",NA,"web",1236
2016-03-20,0,"US-AL-606","today+5-y",NA,"web",1236
2016-03-27,32,"US-AL-606","today+5-y",NA,"web",1236
2016-04-03,74,"US-AL-606","today+5-y",NA,"web",1236
2016-04-10,42,"US-AL-606","today+5-y",NA,"web",1236
2016-04-17,32,"US-AL-606","today+5-y",NA,"web",1236
2016-04-24,0,"US-AL-606","today+5-y",NA,"web",1236
2016-05-01,65,"US-AL-606","today+5-y",NA,"web",1236
2016-05-08,53,"US-AL-606","today+5-y",NA,"web",1236
2016-05-15,0,"US-AL-606","today+5-y",NA,"web",1236
2016-05-22,0,"US-AL-606","today+5-y",NA,"web",1236
2016-05-29,32,"US-AL-606","today+5-y",NA,"web",1236
2016-06-05,32,"US-AL-606","today+5-y",NA,"web",1236
2016-06-12,32,"US-AL-606","today+5-y",NA,"web",1236
2016-06-19,33,"US-AL-606","today+5-y",NA,"web",1236
2016-06-26,100,"US-AL-606","today+5-y",NA,"web",1236
2016-07-03,34,"US-AL-606","today+5-y",NA,"web",1236
2016-07-10,67,"US-AL-606","today+5-y",NA,"web",1236
2016-07-17,0,"US-AL-606","today+5-y",NA,"web",1236
2016-07-24,69,"US-AL-606","today+5-y",NA,"web",1236
2016-07-31,68,"US-AL-606","today+5-y",NA,"web",1236
2016-08-07,36,"US-AL-606","today+5-y",NA,"web",1236
2016-08-14,72,"US-AL-606","today+5-y",NA,"web",1236
2016-08-21,35,"US-AL-606","today+5-y",NA,"web",1236
2016-08-28,0,"US-AL-606","today+5-y",NA,"web",1236
2016-09-04,33,"US-AL-606","today+5-y",NA,"web",1236
2016-09-11,0,"US-AL-606","today+5-y",NA,"web",1236
2016-09-18,98,"US-AL-606","today+5-y",NA,"web",1236
2016-09-25,65,"US-AL-606","today+5-y",NA,"web",1236
2016-10-02,32,"US-AL-606","today+5-y",NA,"web",1236
2016-10-09,0,"US-AL-606","today+5-y",NA,"web",1236
2016-10-16,0,"US-AL-606","today+5-y",NA,"web",1236
2016-10-23,32,"US-AL-606","today+5-y",NA,"web",1236
2016-10-30,49,"US-AL-606","today+5-y",NA,"web",1236
2016-11-06,47,"US-AL-606","today+5-y",NA,"web",1236
2016-11-13,32,"US-AL-606","today+5-y",NA,"web",1236
2016-11-20,63,"US-AL-606","today+5-y",NA,"web",1236
2016-11-27,30,"US-AL-606","today+5-y",NA,"web",1236
2016-12-04,45,"US-AL-606","today+5-y",NA,"web",1236
2016-12-11,31,"US-AL-606","today+5-y",NA,"web",1236
2016-12-18,66,"US-AL-606","today+5-y",NA,"web",1236
2016-12-25,33,"US-AL-606","today+5-y",NA,"web",1236
2017-01-01,32,"US-AL-606","today+5-y",NA,"web",1236
2017-01-08,0,"US-AL-606","today+5-y",NA,"web",1236
2017-01-15,60,"US-AL-606","today+5-y",NA,"web",1236
2017-01-22,59,"US-AL-606","today+5-y",NA,"web",1236
2017-01-29,29,"US-AL-606","today+5-y",NA,"web",1236
2017-02-05,29,"US-AL-606","today+5-y",NA,"web",1236
2017-02-12,58,"US-AL-606","today+5-y",NA,"web",1236
2017-02-19,29,"US-AL-606","today+5-y",NA,"web",1236
2017-02-26,48,"US-AL-606","today+5-y",NA,"web",1236
2017-03-05,43,"US-AL-606","today+5-y",NA,"web",1236
2017-03-12,57,"US-AL-606","today+5-y",NA,"web",1236
2017-03-19,59,"US-AL-606","today+5-y",NA,"web",1236
2017-03-26,58,"US-AL-606","today+5-y",NA,"web",1236
2017-04-02,59,"US-AL-606","today+5-y",NA,"web",1236
2017-04-09,41,"US-AL-606","today+5-y",NA,"web",1236
2017-04-16,59,"US-AL-606","today+5-y",NA,"web",1236
2017-04-23,29,"US-AL-606","today+5-y",NA,"web",1236
2017-04-30,30,"US-AL-606","today+5-y",NA,"web",1236
2017-05-07,29,"US-AL-606","today+5-y",NA,"web",1236
2017-05-14,63,"US-AL-606","today+5-y",NA,"web",1236
2017-05-21,32,"US-AL-606","today+5-y",NA,"web",1236
2017-05-28,32,"US-AL-606","today+5-y",NA,"web",1236
2017-06-04,31,"US-AL-606","today+5-y",NA,"web",1236
2017-06-11,94,"US-AL-606","today+5-y",NA,"web",1236
2017-06-18,61,"US-AL-606","today+5-y",NA,"web",1236
2017-06-25,48,"US-AL-606","today+5-y",NA,"web",1236
2017-07-02,53,"US-AL-606","today+5-y",NA,"web",1236
2017-07-09,0,"US-AL-606","today+5-y",NA,"web",1236
2017-07-16,32,"US-AL-606","today+5-y",NA,"web",1236
2017-07-23,0,"US-AL-606","today+5-y",NA,"web",1236
2017-07-30,51,"US-AL-606","today+5-y",NA,"web",1236
2017-08-06,31,"US-AL-606","today+5-y",NA,"web",1236
2017-08-13,31,"US-AL-606","today+5-y",NA,"web",1236
2017-08-20,30,"US-AL-606","today+5-y",NA,"web",1236
2017-08-27,31,"US-AL-606","today+5-y",NA,"web",1236
2017-09-03,30,"US-AL-606","today+5-y",NA,"web",1236
2017-09-10,60,"US-AL-606","today+5-y",NA,"web",1236
2017-09-17,30,"US-AL-606","today+5-y",NA,"web",1236
2017-09-24,60,"US-AL-606","today+5-y",NA,"web",1236
2017-10-01,0,"US-AL-606","today+5-y",NA,"web",1236
2017-10-08,29,"US-AL-606","today+5-y",NA,"web",1236
2017-10-15,29,"US-AL-606","today+5-y",NA,"web",1236
2017-10-22,58,"US-AL-606","today+5-y",NA,"web",1236
2017-10-29,29,"US-AL-606","today+5-y",NA,"web",1236
2017-11-05,43,"US-AL-606","today+5-y",NA,"web",1236
2017-11-12,29,"US-AL-606","today+5-y",NA,"web",1236
2017-11-19,28,"US-AL-606","today+5-y",NA,"web",1236
