"","date","hits","geo","time","keyword","gprop","category"
"1",2018-01-01,31,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"2",2018-01-02,41,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"3",2018-01-03,69,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"4",2018-01-04,60,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"5",2018-01-05,41,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"6",2018-01-06,50,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"7",2018-01-07,44,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"8",2018-01-08,68,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"9",2018-01-09,34,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"10",2018-01-10,54,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"11",2018-01-11,49,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"12",2018-01-12,53,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"13",2018-01-13,39,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"14",2018-01-14,27,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"15",2018-01-15,63,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"16",2018-01-16,71,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"17",2018-01-17,33,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"18",2018-01-18,48,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"19",2018-01-19,55,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"20",2018-01-20,33,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"21",2018-01-21,32,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"22",2018-01-22,66,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"23",2018-01-23,66,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"24",2018-01-24,47,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"25",2018-01-25,43,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"26",2018-01-26,40,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"27",2018-01-27,50,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"28",2018-01-28,38,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"29",2018-01-29,28,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"30",2018-01-30,71,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"31",2018-01-31,52,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"32",2018-02-01,72,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"33",2018-02-02,37,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"34",2018-02-03,66,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"35",2018-02-04,38,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"36",2018-02-05,29,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"37",2018-02-06,52,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"38",2018-02-07,38,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"39",2018-02-08,48,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"40",2018-02-09,59,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"41",2018-02-10,44,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"42",2018-02-11,44,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"43",2018-02-12,63,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"44",2018-02-13,63,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"45",2018-02-14,43,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"46",2018-02-15,49,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"47",2018-02-16,38,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"48",2018-02-17,44,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"49",2018-02-18,57,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"50",2018-02-19,48,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"51",2018-02-20,43,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"52",2018-02-21,71,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"53",2018-02-22,43,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"54",2018-02-23,59,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"55",2018-02-24,38,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"56",2018-02-25,53,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"57",2018-02-26,75,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"58",2018-02-27,47,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"59",2018-02-28,79,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"60",2018-03-01,46,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"61",2018-03-02,54,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"62",2018-03-03,81,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"63",2018-03-04,53,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"64",2018-03-05,32,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"65",2018-03-06,75,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"66",2018-03-07,47,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"67",2018-03-08,48,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"68",2018-03-09,74,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"69",2018-03-10,76,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"70",2018-03-11,65,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"71",2018-03-12,56,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"72",2018-03-13,52,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"73",2018-03-14,28,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"74",2018-03-15,33,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"75",2018-03-16,34,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"76",2018-03-17,38,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"77",2018-03-18,64,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"78",2018-03-19,43,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"79",2018-03-20,33,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"80",2018-03-21,38,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"81",2018-03-22,62,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"82",2018-03-23,81,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"83",2018-03-24,28,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"84",2018-03-25,33,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"85",2018-03-26,65,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"86",2018-03-27,19,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"87",2018-03-28,69,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"88",2018-03-29,76,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"89",2018-03-30,32,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"90",2018-03-31,67,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"91",2018-04-01,68,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"92",2018-04-02,76,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"93",2018-04-03,38,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"94",2018-04-04,57,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"95",2018-04-05,39,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"96",2018-04-06,85,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"97",2018-04-07,83,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"98",2018-04-08,49,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"99",2018-04-09,52,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"100",2018-04-10,65,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"101",2018-04-11,80,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"102",2018-04-12,53,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"103",2018-04-13,60,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"104",2018-04-14,61,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"105",2018-04-15,82,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"106",2018-04-16,47,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"107",2018-04-17,43,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"108",2018-04-18,63,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"109",2018-04-19,54,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"110",2018-04-20,40,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"111",2018-04-21,39,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"112",2018-04-22,72,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"113",2018-04-23,65,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"114",2018-04-24,35,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"115",2018-04-25,28,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"116",2018-04-26,48,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"117",2018-04-27,25,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"118",2018-04-28,51,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"119",2018-04-29,50,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"120",2018-04-30,59,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"121",2018-05-01,51,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"122",2018-05-02,38,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"123",2018-05-03,36,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"124",2018-05-04,50,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"125",2018-05-05,56,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"126",2018-05-06,44,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"127",2018-05-07,67,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"128",2018-05-08,57,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"129",2018-05-09,48,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
"130",2018-05-10,49,"US-FL-528","2018-01-01 2018-06-30",NA,"web",1236
