"","date","hits","geo","time","keyword","gprop","category"
"1",2018-01-01,29,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"2",2018-01-02,81,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"3",2018-01-03,55,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"4",2018-01-04,55,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"5",2018-01-05,81,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"6",2018-01-06,79,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"7",2018-01-07,26,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"8",2018-01-08,54,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"9",2018-01-09,76,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"10",2018-01-10,46,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"11",2018-01-11,23,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"12",2018-01-12,36,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"13",2018-01-13,78,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"14",2018-01-14,43,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"15",2018-01-15,30,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"16",2018-01-16,22,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"17",2018-01-17,38,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"18",2018-01-18,38,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"19",2018-01-19,87,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"20",2018-01-20,52,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"21",2018-01-21,26,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"22",2018-01-22,45,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"23",2018-01-23,67,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"24",2018-01-24,30,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"25",2018-01-25,53,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"26",2018-01-26,39,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"27",2018-01-27,26,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"28",2018-01-28,78,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"29",2018-01-29,60,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"30",2018-01-30,38,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"31",2018-01-31,53,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"32",2018-02-01,54,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"33",2018-02-02,39,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"34",2018-02-03,61,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"35",2018-02-04,39,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"36",2018-02-05,78,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"37",2018-02-06,66,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"38",2018-02-07,56,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"39",2018-02-08,76,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"40",2018-02-09,39,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"41",2018-02-10,39,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"42",2018-02-11,78,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"43",2018-02-12,46,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"44",2018-02-13,31,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"45",2018-02-14,31,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"46",2018-02-15,47,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"47",2018-02-16,36,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
"48",2018-02-17,39,"US-MN-613","2018-01-01 2018-06-30",NA,"web",1236
